Date,Close
2009-12-01,1542.14001465
2009-12-02,1560.39001465
2009-12-03,1560.39001465
2009-12-04,1566.64001465
2009-12-07,1570.72998047
2009-12-08,1570.72998047
2009-12-09,1570.72998047
2009-12-10,1570.72998047
2009-12-11,1570.72998047
2009-12-14,1570.72998047
2009-12-15,1577.69995117
2009-12-16,1577.69995117
2009-12-17,1577.69995117
2009-12-18,1577.69995117
2009-12-21,1577.69995117
2009-12-22,1577.69995117
2009-12-23,1615.58996582
2009-12-24,1615.58996582
2009-12-29,1615.58996582
2009-12-30,1615.58996582
2009-12-31,1615.58996582
2010-01-04,1615.58996582
2010-01-05,1644.51000977
2010-01-06,1644.51000977
2010-01-07,1652.43994141
2010-01-08,1652.61999512
2010-01-11,1644.55004883
2010-01-12,1636.41003418
2010-01-13,1636.41003418
2010-01-14,1636.41003418
2010-01-15,1622
2010-01-18,1622
2010-01-19,1622
2010-01-20,1622
2010-01-21,1622
2010-01-22,1589.18994141
2010-01-25,1561.32995605
2010-01-26,1568.58996582
2010-01-27,1548.56994629
2010-01-28,1548.56994629
2010-01-29,1548.56994629
2010-02-01,1567.36999512
2010-02-02,1567.36999512
2010-02-03,1567.36999512
2010-02-04,1553.48999023
2010-02-05,1553.48999023
2010-02-08,1553.48999023
2010-02-09,1557.15002441
2010-02-10,1557.15002441
2010-02-11,1557.15002441
2010-02-12,1557.15002441
2010-02-15,1557.15002441
2010-02-16,1581.75
2010-02-17,1593.09997559
2010-02-18,1593.09997559
2010-02-19,1593.09997559
2010-02-22,1625.38000488
2010-02-23,1612.18005371
2010-02-24,1612.18005371
2010-02-25,1619.17004395
2010-02-26,1646.2800293
2010-03-01,1684.80004883
2010-03-02,1705.82995605
2010-03-03,1701.44995117
2010-03-04,1695.39001465
2010-03-05,1708.43994141
2010-03-08,1722.61999512
2010-03-09,1733.4699707
2010-03-10,1733.4699707
2010-03-11,1733.4699707
2010-03-12,1733.4699707
2010-03-15,1730.39001465
2010-03-16,1736.04003906
2010-03-17,1736.04003906
2010-03-18,1736.04003906
2010-03-19,1750.31994629
2010-03-22,1747.85998535
2010-03-23,1747.85998535
2010-03-24,1770.31005859
2010-03-25,1783.98999023
2010-03-26,1783.98999023
2010-03-29,1776.06994629
2010-03-30,1776.06994629
2010-03-31,1776.06994629
2010-04-01,1757.05004883
2010-04-06,1757.05004883
2010-04-07,1762.84997559
2010-04-08,1749.39001465
2010-04-09,1759.07995605
2010-04-12,1767.23999023
2010-04-13,1759.73999023
2010-04-14,1770.60998535
2010-04-15,1770.60998535
2010-04-16,1751.04003906
2010-04-19,1751.04003906
2010-04-20,1771.17004395
2010-04-21,1756.47998047
2010-04-22,1739.40002441
2010-04-23,1758.33996582
2010-04-26,1758.33996582
2010-04-27,1758.33996582
2010-04-28,1734.18994141
2010-04-29,1734.18994141
2010-04-30,1745.06005859
2010-05-04,1745.06005859
2010-05-05,1693.55004883
