Date,Close
2014-12-08,10000
2014-12-09,8903
2014-12-10,8678
2014-12-11,8647
2014-12-12,7873
2014-12-15,7129
2014-12-16,7615
2014-12-17,7493.32910156
2014-12-18,8243.640625
2014-12-19,7947.02685547
2014-12-22,8066.58007812
2014-12-23,8406.43457031
2014-12-29,8173.74804688
2014-12-30,7855.72607422
2015-01-02,8178.15820312
2015-01-05,7035.19287109
2015-01-06,6697.37402344
2015-01-07,6610.77294922
2015-01-08,7189.65722656
2015-01-09,6089.14892578
2015-01-12,6252.23193359
2015-01-13,6673.03808594
2015-01-14,6389.68017578
2015-01-15,6689.52587891
2015-01-16,6797.12011719
2015-01-19,7131.91992188
2015-01-20,7502.19921875
2015-01-21,7658.50488281
2015-01-22,8152.95605469
2015-01-23,7943.07714844
2015-01-26,8003.79101562
2015-01-27,7613.55615234
2015-01-28,6913.71484375
2015-01-29,7125.65185547
2015-01-30,6878.32177734
2015-02-02,6987.85205078
2015-02-03,7760.80712891
2015-02-04,7756.74316406
2015-02-05,7468.91699219
2015-02-06,7598.28613281
2015-02-09,7106.77783203
2015-02-10,7427.6328125
2015-02-11,7330.79882812
2015-02-12,7964.12402344
2015-02-13,8691.90527344
2015-02-16,8692.515625
2015-02-17,8765.36035156
2015-02-18,9398.90625
2015-02-19,9556.890625
2015-02-20,9624.61523438
2015-02-23,9847.48632812
2015-02-24,10068.34375
2015-02-25,9620.72753906
2015-02-26,10013.0322266
2015-02-27,10201.9394531
2015-03-02,10192.1640625
2015-03-03,9569.65917969
2015-03-04,9827.20214844
2015-03-05,10145.0761719
2015-03-06,10287.6699219
2015-03-09,10229.8232422
2015-03-10,9825.12792969
2015-03-11,10334.8691406
2015-03-12,10399.9052734
2015-03-13,10494.140625
2015-03-16,10904.2285156
2015-03-17,10546.2275391
2015-03-18,10258.7089844
2015-03-19,10528.0546875
2015-03-20,11353.8037109
2015-03-23,11514.1425781
2015-03-24,12172.4648438
2015-03-25,11787.7773438
2015-03-26,11607.4912109
2015-03-27,11634.3251953
2015-03-30,12290.4814453
2015-03-31,12084.4335938
2015-04-01,12438.84375
2015-04-02,12621.3535156
2015-04-07,12922.4541016
2015-04-08,12698.7792969
2015-04-09,12829.6230469
2015-04-10,12710.1210938
2015-04-13,13014.4912109
2015-04-14,12279.0546875
2015-04-15,12636.9785156
2015-04-16,11827.1220703
2015-04-17,10803.7900391
2015-04-20,11284.1943359
2015-04-21,11058.6972656
2015-04-22,11504.3017578
2015-04-23,11474.8505859
2015-04-24,11956.6796875
2015-04-27,12393.5439453
2015-04-28,12104.0117188
2015-04-29,11260.0234375
2015-04-30,11311.1005859
2015-05-05,10514.2792969
2015-05-06,10807.8085938
2015-05-07,11127.7744141
2015-05-08,11731.6982422
2015-05-11,11771.2177734
2015-05-12,11447.6230469
2015-05-13,11640.0693359
2015-05-14,12035.6630859
2015-05-15,11862.046875
2015-05-18,11714.1357422
2015-05-19,12347.4414062
2015-05-20,12553.1640625
2015-05-21,12424.5898438
2015-05-22,12436.3652344
2015-05-26,11463.0439453
2015-05-27,12229.7148438
2015-05-28,11907.5371094
2015-05-29,11366.1298828
2015-06-01,11219.3603516
2015-06-02,11593.7890625
2015-06-03,11952.2724609
2015-06-04,11727.1845703
2015-06-05,11125.2353516
2015-06-08,10748.9111328
2015-06-09,10712.6445312
2015-06-10,11411.8662109
2015-06-11,11632.5820312
2015-06-12,11199.4960938
2015-06-15,10325.5009766
2015-06-16,10366.3681641
2015-06-17,10123.4580078
2015-06-18,10317.0087891
2015-06-19,10588.0517578
2015-06-22,12082.5849609
2015-06-23,12322.3300781
2015-06-24,12026.4199219
2015-06-25,12230.6347656
2015-06-26,12523.2675781
2015-06-29,10329.0195312
2015-06-30,10236.5195312
2015-07-01,11011.4833984
2015-07-02,10572.1982422
2015-07-03,10387.2636719
2015-07-06,9174.81933594
2015-07-07,8433.56640625
2015-07-08,8789.3359375
2015-07-09,9732.29199219
2015-07-10,10793.3525391
2015-07-13,11477.1992188
2015-07-14,11520.4306641
2015-07-15,11716.7324219
2015-07-16,12342.2910156
2015-07-17,12244.4453125
2015-07-20,12545.6503906
2015-07-21,12166.3818359
2015-07-22,12235.8291016
2015-07-23,12257.3496094
2015-07-24,11891.8417969
2015-07-27,10999.9892578
2015-07-28,11551.9140625
2015-07-29,11356.1005859
2015-07-30,11417.0322266
2015-07-31,11628.8671875
