Date,Close
2012-12-13,299.727996826
2012-12-14,290.924987793
2012-12-17,302.87399292
2012-12-18,316.928985596
2012-12-19,311.846984863
2012-12-20,312.716003418
2012-12-21,302.635986328
2012-12-24,300.315002441
2012-12-27,291.812988281
2012-12-28,283.053009033
2012-12-31,300.770996094
2013-01-02,329.735992432
2013-01-03,324.593994141
2013-01-04,321.803009033
2013-01-07,321.640014648
2013-01-08,319.680999756
2013-01-09,322.808990479
2013-01-10,328.657012939
2013-01-11,330.100006104
2013-01-14,325.509002686
2013-01-15,320.946014404
2013-01-16,325.084014893
2013-01-17,329.492004395
2013-01-18,328.062988281
2013-01-22,329.032012939
2013-01-23,334.755004883
2013-01-24,320.684997559
2013-01-25,325.32598877
2013-01-28,327.294006348
2013-01-29,327.733001709
2013-01-30,325.973999023
2013-01-31,323.388000488
2013-02-01,334.885009766
2013-02-04,317.283996582
2013-02-05,331.311004639
2013-02-06,328.196990967
2013-02-07,328.782012939
2013-02-08,339.196014404
2013-02-11,338.872009277
2013-02-12,334.470001221
2013-02-13,338.523986816
2013-02-14,337.661010742
2013-02-15,335.207000732
2013-02-19,342.200012207
2013-02-20,326.399993896
2013-02-21,316.217010498
2013-02-22,325.196990967
2013-02-25,312.188995361
2013-02-26,316.355010986
2013-02-27,326.253997803
2013-02-28,325.278015137
2013-03-01,328.523986816
2013-03-04,332.687988281
2013-03-05,347.029998779
2013-03-06,344.665008545
2013-03-07,347.212005615
2013-03-08,348.911987305
2013-03-11,351.765991211
2013-03-12,347.597991943
2013-03-13,346.832000732
2013-03-14,350.014007568
2013-03-15,347.040008545
2013-03-18,344.37701416
2013-03-19,342.497009277
2013-03-20,349.345001221
2013-03-21,337.733001709
2013-03-22,347.188995361
2013-03-25,342.898986816
2013-03-26,349.263000488
2013-03-27,350.62600708
2013-03-28,353.863006592
2013-04-02,354.441009521
2013-04-03,344.773010254
2013-04-04,344.911987305
2013-04-05,336.311004639
2013-04-08,341.493988037
2013-04-09,348.287994385
2013-04-10,368.595001221
2013-04-11,368.518005371
2013-04-12,367.493988037
2013-04-15,344.653015137
2013-04-16,359.760986328
2013-04-17,338.282012939
2013-04-18,323.658996582
2013-04-19,337.277008057
2013-04-22,347.988006592
2013-04-23,357.364013672
2013-04-24,356.869995117
2013-04-25,362.339996338
2013-04-26,359.294006348
2013-04-29,369.246002197
2013-04-30,377.156005859
2013-05-01,371.609985352
2013-05-02,386.24899292
2013-05-03,399.808013916
2013-05-07,403.145996094
2013-05-08,409.424987793
2013-05-09,407.183013916
2013-05-10,415.368011475
2013-05-13,415.791992188
2013-05-14,422.178009033
2013-05-15,425
2013-05-16,423.582000732
2013-05-17,436.121002197
2013-05-20,432.613006592
2013-05-21,435.04598999
2013-05-22,423.238006592
2013-05-23,419.963012695
2013-05-24,419.759002686
2013-05-28,428.471984863
2013-05-29,421.191009521
2013-05-30,428.359985352
2013-05-31,415.502990723
2013-06-03,419.358001709
2013-06-04,412.144012451
2013-06-05,396.936004639
2013-06-06,402.24899292
2013-06-07,418.82800293
2013-06-10,418.596008301
2013-06-11,405.70300293
2013-06-12,392.160003662
2013-06-13,406.930999756
2013-06-14,399.084991455
2013-06-17,410.183990479
2013-06-18,420.444000244
2013-06-19,405.016998291
2013-06-20,376.595001221
2013-06-21,371.731994629
2013-06-24,360.141998291
2013-06-25,367.062011719
2013-06-26,377.653015137
2013-06-27,382.803009033
2013-06-28,383.871002197
2013-07-01,391.144989014
2013-07-02,392.049987793
2013-07-03,396.755004883
2013-07-05,405.535003662
2013-07-08,406.675994873
2013-07-09,414.147003174
2013-07-10,421.065002441
2013-07-11,445.794006348
2013-07-12,454.343994141
2013-07-15,454.611999512
2013-07-16,453.531005859
2013-07-17,456.958007812
2013-07-18,453.618011475
2013-07-19,439.049987793
2013-07-22,443.432006836
2013-07-23,433.032989502
2013-07-24,437.209991455
2013-07-25,446.033996582
2013-07-26,452.369995117
2013-07-29,449.17098999
2013-07-30,456.372009277
2013-07-31,458.5
2013-08-01,474.549987793
2013-08-02,482.364990234
2013-08-05,482.510009766
2013-08-06,472.861999512
2013-08-07,471.282989502
2013-08-08,477.303985596
2013-08-09,471.992004395
2013-08-12,475.25100708
2013-08-13,482.675994873
2013-08-14,477.45401001
2013-08-15,453.071014404
2013-08-16,452.022003174
2013-08-19,450.132995605
2013-08-20,455.664001465
2013-08-21,450.891998291
2013-08-22,464.261993408
2013-08-23,474.315002441
2013-08-27,444.820007324
2013-08-28,450.341003418
2013-08-29,459.631988525
2013-08-30,451.062011719
2013-09-03,458.861999512
2013-09-04,473.459014893
2013-09-05,475.886993408
2013-09-06,477.428985596
2013-09-09,494.111999512
2013-09-10,501.165008545
2013-09-11,498.781005859
2013-09-12,496.757995605
2013-09-13,498.00201416
2013-09-16,493.415985107
2013-09-17,503.74899292
2013-09-18,522.892028809
2013-09-19,525.922973633
2013-09-20,519.619995117
2013-09-23,516.927978516
2013-09-24,516.570983887
2013-09-25,511.713012695
2013-09-26,523.971984863
2013-09-27,522.17199707
2013-09-30,516.34197998
2013-10-01,533.359985352
2013-10-02,533.434997559
2013-10-03,514.015014648
2013-10-04,527.778015137
2013-10-07,514.568969727
2013-10-08,484.878997803
2013-10-09,479.716003418
2013-10-10,510.971984863
2013-10-11,521.916992188
2013-10-14,532.577026367
2013-10-15,526.974975586
2013-10-16,544.976013184
2013-10-17,554.731994629
2013-10-18,581.215026855
2013-10-21,584.916992188
2013-10-22,587.887023926
2013-10-23,576.942016602
2013-10-24,585.354980469
2013-10-25,596.528015137
2013-10-28,595.822998047
2013-10-29,600.692993164
2013-10-30,597.320007324
2013-10-31,593.257995605
2013-11-01,594.297973633
2013-11-04,596.854980469
2013-11-05,599.383972168
2013-11-06,598.445983887
2013-11-07,564.557983398
2013-11-08,587.693969727
2013-11-11,585.577026367
2013-11-12,586.901000977
2013-11-13,608.062988281
2013-11-14,613.432983398
2013-11-15,617.409973145
2013-11-18,599.072021484
2013-11-19,594.281982422
2013-11-20,588.648986816
2013-11-21,607.325012207
2013-11-22,617.617004395
2013-11-25,620.523010254
2013-11-26,630.424987793
2013-11-27,644.182006836
2013-11-29,653.770996094
2013-12-02,649.916015625
2013-12-03,648.867004395
2013-12-04,650.922973633
2013-12-05,647.929016113
2013-12-06,662.723022461
2013-12-09,669.390991211
2013-12-10,668.232971191
2013-12-11,642.534973145
2013-12-12,637.697021484
2013-12-13,635.531982422
2013-12-16,646.12902832
2013-12-17,642.484008789
2013-12-18,664.864990234
2013-12-19,658.57800293
2013-12-20,676.932006836
2013-12-23,698.796020508
2013-12-24,700.926025391
2013-12-27,701.585998535
2013-12-30,699.309020996
2013-12-31,712.151000977
2014-01-02,695.505004883
2014-01-03,680.929016113
2014-01-06,674.028991699
2014-01-07,691.726013184
2014-01-08,697.357971191
2014-01-09,688.54901123
2014-01-10,695.786987305
