Date,Close
1985-12-31,1412.59997559
1986-01-02,1417.30004883
1986-01-03,1424.59997559
1986-01-06,1431
1986-01-07,1421.19995117
1986-01-08,1408.80004883
1986-01-09,1389.19995117
1986-01-10,1395.69995117
1986-01-13,1397.30004883
1986-01-14,1381
1986-01-15,1384.5
1986-01-16,1391.69995117
1986-01-17,1395.69995117
1986-01-20,1391.09997559
1986-01-21,1379.40002441
1986-01-22,1385.59997559
1986-01-23,1380.30004883
1986-01-24,1389.19995117
1986-01-27,1400.59997559
1986-01-28,1420.5
1986-01-29,1425
1986-01-30,1437.5
1986-01-31,1449.5
1986-02-03,1444.69995117
1986-02-04,1444.19995117
1986-02-05,1448.80004883
1986-02-06,1454.09997559
1986-02-07,1464.90002441
1986-02-10,1480.59997559
1986-02-11,1483.90002441
1986-02-12,1494.69995117
1986-02-13,1503.69995117
1986-02-14,1507
1986-02-17,1505.69995117
1986-02-18,1517.59997559
1986-02-19,1524.5
1986-02-20,1527.90002441
1986-02-21,1539.69995117
1986-02-24,1563.19995117
1986-02-25,1568.40002441
1986-02-26,1568.30004883
1986-02-27,1576.69995117
1986-02-28,1575.09997559
1986-03-03,1573.5
1986-03-04,1575.30004883
1986-03-05,1588.90002441
1986-03-06,1593
1986-03-07,1594.40002441
1986-03-10,1606.69995117
1986-03-11,1629.30004883
1986-03-12,1631.40002441
1986-03-13,1658.5
1986-03-14,1668
1986-03-17,1677.30004883
1986-03-18,1675.59997559
1986-03-19,1701.80004883
1986-03-20,1714.5
1986-03-21,1718
1986-03-24,1705.30004883
1986-03-25,1678
1986-03-26,1689.90002441
1986-03-27,1695.80004883
1986-04-01,1715.30004883
1986-04-02,1730.40002441
1986-04-03,1750.09997559
1986-04-04,1759.09997559
1986-04-07,1739.09997559
1986-04-08,1737.09997559
1986-04-09,1729
1986-04-10,1735.80004883
1986-04-11,1741.5
1986-04-14,1747.69995117
1986-04-15,1725.09997559
1986-04-16,1727.19995117
1986-04-17,1741.90002441
1986-04-18,1745
1986-04-21,1748.69995117
1986-04-22,1749.09997559
1986-04-23,1735.19995117
1986-04-24,1713.5
1986-04-25,1711.09997559
1986-04-28,1722.69995117
1986-04-29,1746.40002441
1986-04-30,1755.19995117
1986-05-01,1740.90002441
1986-05-02,1749.09997559
1986-05-06,1748.40002441
1986-05-07,1748.19995117
1986-05-08,1704.19995117
1986-05-09,1693.30004883
1986-05-12,1690.69995117
1986-05-13,1703.19995117
1986-05-14,1694.69995117
1986-05-15,1688.90002441
1986-05-16,1668.09997559
1986-05-19,1669.59997559
1986-05-20,1673.5
1986-05-21,1680.59997559
1986-05-22,1685.09997559
1986-05-23,1693.40002441
1986-05-27,1694
1986-05-28,1707.40002441
1986-05-29,1702.19995117
1986-05-30,1696.5
1986-06-02,1696.80004883
1986-06-03,1705.40002441
1986-06-04,1705.90002441
1986-06-05,1713.59997559
1986-06-06,1713.30004883
1986-06-09,1721.69995117
1986-06-10,1712.19995117
1986-06-11,1695.80004883
1986-06-12,1701.30004883
1986-06-13,1703.19995117
1986-06-16,1712.40002441
1986-06-17,1717.30004883
1986-06-18,1730
1986-06-19,1730.30004883
1986-06-20,1746.5
1986-06-23,1746
1986-06-24,1741
1986-06-25,1750.59997559
1986-06-26,1760.5
1986-06-27,1761.40002441
1986-06-30,1771
1986-07-01,1788.19995117
1986-07-02,1792
1986-07-03,1788.80004883
1986-07-04,1785.40002441
1986-07-07,1780.40002441
1986-07-08,1756.09997559
1986-07-09,1753.69995117
1986-07-10,1766
1986-07-11,1765.19995117
1986-07-14,1751.80004883
1986-07-15,1741.59997559
1986-07-16,1741.30004883
1986-07-17,1749.5
1986-07-18,1741.30004883
1986-07-21,1710.5
1986-07-22,1705.69995117
1986-07-23,1711.5
1986-07-24,1699.19995117
1986-07-25,1683.80004883
1986-07-28,1681.80004883
1986-07-29,1677.19995117
1986-07-30,1693.09997559
1986-07-31,1690.19995117
1986-08-01,1691.69995117
1986-08-04,1688.59997559
1986-08-05,1690.59997559
1986-08-06,1678.30004883
1986-08-07,1660.69995117
1986-08-08,1658.40002441
1986-08-11,1662.80004883
1986-08-12,1680.19995117
1986-08-13,1696.40002441
1986-08-14,1704.40002441
1986-08-15,1717.59997559
1986-08-18,1730.19995117
1986-08-19,1733.09997559
1986-08-20,1730.30004883
1986-08-21,1737.19995117
1986-08-22,1734.09997559
1986-08-26,1741
1986-08-27,1746.69995117
1986-08-28,1754.90002441
1986-08-29,1763.09997559
1986-09-01,1779.5
1986-09-02,1785.69995117
1986-09-03,1788.90002441
1986-09-04,1796.69995117
1986-09-05,1803.80004883
1986-09-08,1794.30004883
1986-09-09,1794.59997559
1986-09-10,1791.19995117
1986-09-11,1782.30004883
1986-09-12,1735.90002441
1986-09-15,1750.19995117
1986-09-16,1727
1986-09-17,1723.69995117
1986-09-18,1728.59997559
1986-09-19,1714.80004883
1986-09-22,1721.40002441
1986-09-23,1720.09997559
1986-09-24,1718.19995117
1986-09-25,1705
1986-09-26,1683.09997559
1986-09-29,1665.59997559
1986-09-30,1665.5
1986-10-01,1671.40002441
1986-10-02,1673.19995117
1986-10-03,1661.90002441
1986-10-06,1670.69995117
1986-10-07,1681
1986-10-08,1682.59997559
1986-10-09,1697.69995117
1986-10-10,1695.69995117
1986-10-13,1702.59997559
1986-10-14,1701.19995117
1986-10-15,1713.30004883
1986-10-16,1724.19995117
1986-10-17,1730.69995117
1986-10-20,1727
1986-10-21,1727
1986-10-22,1727.59997559
1986-10-23,1717.30004883
1986-10-24,1713.5
1986-10-27,1718.19995117
1986-10-28,1719.59997559
1986-10-29,1731.09997559
1986-10-30,1745.30004883
1986-10-31,1751.90002441
1986-11-03,1761
1986-11-04,1760.40002441
1986-11-05,1760.69995117
1986-11-06,1769.59997559
1986-11-07,1776.59997559
1986-11-10,1785
1986-11-11,1786.80004883
1986-11-12,1795
1986-11-13,1776.5
1986-11-14,1779.30004883
1986-11-17,1767.59997559
1986-11-18,1766.90002441
1986-11-19,1747.09997559
1986-11-20,1754.30004883
1986-11-21,1761.90002441
1986-11-24,1771
1986-11-25,1771.09997559
1986-11-26,1781.90002441
1986-11-27,1790.5
1986-11-28,1798
