strategy,cagr,ann_volatility,sharpe,max_drawdown,end_$,rebalances,pct_days_cash,family,variant_id,params,calmar,trading_costs_total,funding_costs_total,pct_days_1x,pct_days_2x,pct_days_3x,tier2_entries,tier3_entries,lead_only_days,guard_blocked_days,pct_cash,pct_cash_sessions
Buy & hold 1x,0.1417021767630089,0.1776229011881009,0.6987941793906342,-0.41607983364672635,3036.886195083781,0,0.0,baseline,buy_hold,{},,,,,,,,,,,,
SMA20 1x/cash,0.19222587412644154,0.1259473300106907,3.608646946488487,-0.23419402667363026,9171.822652014675,745,43.866687239623516,baseline,sma20,{},,,,,,,,,,,,
Guarded A5/B25 SMA20 Lead (max 1x),0.1857035477218163,0.1367564968018044,3.1758361716798658,-0.21624578345293655,7963.241711086046,703,32.093812683227895,baseline,guarded_default,{},0.8587614738958949,14074.950927910917,0.0,67.9061873167721,0.0,0.0,10.0,2.0,814.0,1964.0,32.093812683227895,
Guarded ATR trail k=1.5 (entry>SMA20),0.18468566252762164,0.13579750674993807,3.2838918789077516,-0.2163713241578579,7789.016357513986,735,32.03209381268323,atr_trail,atr_k1.5,"{""atr_k"": 1.5}",0.8535588680544407,,,,,,,,,,,32.03209381268323
Guarded ATR trail k=2.0 (entry>SMA20),0.18446455214030322,0.13716815077504416,3.101766567428742,-0.21631365157202231,7751.657580994635,683,31.229748495602532,atr_trail,atr_k2.0,"{""atr_k"": 2.0}",0.8527642652219994,,,,,,,,,,,31.229748495602532
Guarded ATR trail k=2.5 (entry>SMA20),0.18803090628947872,0.13879238300574248,2.937886857678298,-0.21641326575991118,8375.787659446489,629,30.257676284523992,atr_trail,atr_k2.5,"{""atr_k"": 2.5}",0.8688511105325685,,,,,,,,,,,30.257676284523992
Guarded ATR trail k=3.0 (entry>SMA20),0.18182206905478449,0.1405425206978319,2.7936202672555575,-0.21096630110200387,7318.301928466632,605,29.31646350871779,atr_trail,atr_k3.0,"{""atr_k"": 3.0}",0.8618536140844223,,,,,,,,,,,29.316463508717792
SMA30 1x/cash,0.1703317963148585,0.13147862384206369,2.9681749500565986,-0.2061103884271952,5690.075785027976,625,43.85125752198735,longer_sma,sma30_simple,"{""sma_window"": 30}",0.8264105347364631,,,,,,,,,,,43.85125752198735
Guarded SMA30 base,0.1610000314072697,0.1385407076445118,2.7886720267945613,-0.24143654564012393,4629.822880627804,633,33.451627835210616,longer_sma,sma30_guarded,"{""sma_window"": 30}",0.6668420101041794,,,,,,,,,,,33.451627835210616
SMA50 1x/cash,0.15549222914884497,0.13392264494660855,2.358770798390752,-0.19724600049727684,4096.090219739241,477,42.123129146736616,longer_sma,sma50_simple,"{""sma_window"": 50}",0.7883162586659986,,,,,,,,,,,42.123129146736616
Guarded SMA50 base,0.1305837084778989,0.14109923297511232,2.1642522911482103,-0.2835236157091782,2336.6343416901013,511,34.0225273877488,longer_sma,sma50_guarded,"{""sma_window"": 50}",0.46057436221413023,,,,,,,,,,,34.0225273877488
SMA100 1x/cash,0.14718482054842252,0.14230464994925873,1.719170836267513,-0.16982876490553536,3401.37271182424,317,35.580928869001696,longer_sma,sma100_simple,"{""sma_window"": 100}",0.866666024629525,,,,,,,,,,,35.580928869001696
Guarded SMA100 base,0.14859180434449337,0.14644340136351142,1.6772184702653488,-0.25838011139700146,3510.472660516327,311,30.087949390526152,longer_sma,sma100_guarded,"{""sma_window"": 100}",0.575089946130497,,,,,,,,,,,30.087949390526152
SMA200 1x/cash,0.13861946643540501,0.14905354055070263,1.3095999719254339,-0.2620528636919976,2804.2607048688133,204,29.270174355809285,longer_sma,sma200_simple,"{""sma_window"": 200}",0.5289752017300244,,,,,,,,,,,29.27017435580929
Guarded SMA200 base,0.14104257994501124,0.15099616402739088,1.2467258381085398,-0.2513516629874175,2962.09578354457,178,25.87563647585249,longer_sma,sma200_guarded,"{""sma_window"": 200}",0.5611364502970156,,,,,,,,,,,25.87563647585249
Guarded + weekly>SMA20 gate,0.1872418391048667,0.13638367058383577,3.171278966976872,-0.21645342048408175,8233.668571269644,693,32.69557167103842,dual_timeframe,weekly_sma20_gate,,0.8650444917253534,,,,,,,,,,,32.69557167103842
