scenario,cagr,ann_volatility,sharpe,start_$,end_$,max_drawdown,risk_off_days,rebalances
Baseline (no pause),0.4852062485712254,0.32945421261829,3.7586118900357235,100.0,14077733.40455974,-0.43885569830026244,0,868
-20% DD -> cash 5 sessions,0.3468410548675691,0.25158567806319254,3.266342298373003,100.0,749194.3753537891,-0.24927521132309624,2595,578
