date,sleeve_value,cash_bucket,total_equity,leverage_state
1996-05-28,97.0,0.0,97.0,3.0
1996-05-29,93.52198383995744,0.0,93.52198383995744,3.0
1996-05-30,96.32536274448113,0.0,96.32536274448113,3.0
1996-05-31,99.7614854141357,0.0,99.7614854141357,3.0
1996-06-03,98.34750387241776,0.0,98.34750387241776,3.0
1996-06-04,99.72063362882636,0.0,99.72063362882636,3.0
1996-06-05,102.5617260409511,0.0,102.5617260409511,3.0
1996-06-06,96.98496091520612,0.0,96.98496091520612,3.0
1996-06-07,98.80808822118061,0.0,98.80808822118061,3.0
1996-06-10,97.63012955432087,0.0,97.63012955432087,3.0
1996-06-11,98.47047827306707,0.0,98.47047827306707,3.0
1996-06-12,101.05563592106772,0.0,101.05563592106772,3.0
1996-06-13,98.67319242943148,0.0,98.67319242943148,3.0
1996-06-14,93.9693764380788,0.0,93.9693764380788,3.0
1996-06-17,92.80409811394344,0.0,92.80409811394344,3.0
1996-06-18,87.5881606305709,0.0,87.5881606305709,3.0
1996-06-19,88.19285659749417,0.0,88.19285659749417,3.0
1996-06-20,86.84581699558741,0.0,86.84581699558741,3.0
1996-06-21,89.93147373050468,0.0,89.93147373050468,3.0
1996-06-24,91.73435088382351,0.0,91.73435088382351,3.0
1996-06-25,87.92762231685694,0.0,87.92762231685694,3.0
1996-06-26,84.54497166268816,0.0,84.54497166268816,3.0
1996-06-27,88.83225951146396,0.0,88.83225951146396,3.0
1996-06-28,91.20760322579874,0.0,91.20760322579874,3.0
1996-07-01,95.05191520758949,0.0,95.05191520758949,3.0
1996-07-02,92.11092106885425,0.0,92.11092106885425,3.0
1996-07-03,89.46882167340819,0.0,89.46882167340819,3.0
1996-07-05,82.83184973866881,0.0,82.83184973866881,3.0
1996-07-08,82.15304651530268,0.0,82.15304651530268,3.0
1996-07-09,83.88632020362652,0.0,83.88632020362652,3.0
1996-07-10,82.57663911179382,0.0,82.57663911179382,3.0
1996-07-11,74.09992983699374,0.0,74.09992983699374,3.0
1996-07-12,73.80993842457815,0.0,73.80993842457815,3.0
1996-07-15,63.513676680182435,0.0,63.513676680182435,3.0
1996-07-16,65.76358598235225,0.0,65.76358598235225,3.0
1996-07-17,71.05395077073901,0.0,71.05395077073901,3.0
1996-07-18,75.13525268004976,0.0,75.13525268004976,3.0
1996-07-19,71.29147801839828,0.0,71.29147801839828,3.0
1996-07-22,68.16355641537098,0.0,68.16355641537098,3.0
1996-07-23,59.36279635027308,0.0,59.36279635027308,3.0
1996-07-24,61.306425553752234,0.0,61.306425553752234,3.0
1996-07-25,65.81938789289569,0.0,65.81938789289569,3.0
1996-07-26,69.83651826662147,0.0,69.83651826662147,3.0
1996-07-29,65.45284876528382,0.0,65.45284876528382,3.0
1996-07-30,68.47379947116848,0.0,68.47379947116848,3.0
1996-07-31,70.2757620129099,0.0,70.2757620129099,3.0
1996-08-01,75.11365926093205,0.0,75.11365926093205,3.0
1996-08-02,80.73057554357203,0.0,80.73057554357203,3.0
1996-08-05,78.1912925955732,0.0,78.1912925955732,3.0
1996-08-06,81.87707612123663,0.0,81.87707612123663,3.0
1996-08-07,85.67944240015886,0.0,85.67944240015886,3.0
1996-08-08,83.79676613088762,0.0,83.79676613088762,3.0
1996-08-09,84.04775563046,0.0,84.04775563046,3.0
1996-08-12,84.40671221933789,0.0,84.40671221933789,3.0
1996-08-13,80.47099905913278,0.0,80.47099905913278,3.0
1996-08-14,83.30733294989113,0.0,83.30733294989113,3.0
1996-08-15,83.23607530844822,0.0,83.23607530844822,3.0
1996-08-16,81.40801281423718,0.0,81.40801281423718,3.0
1996-08-19,80.62763077055484,0.0,80.62763077055484,3.0
1996-08-20,77.89478948523325,0.0,77.89478948523325,3.0
1996-08-21,79.44916752090887,0.0,79.44916752090887,3.0
1996-08-22,84.37642765706457,0.0,84.37642765706457,3.0
1996-08-23,82.81781116971061,0.0,82.81781116971061,3.0
1996-08-26,81.05947484355413,0.0,81.05947484355413,3.0
1996-08-27,83.21392802687947,0.0,83.21392802687947,3.0
1996-08-28,83.39995831144832,0.0,83.39995831144832,3.0
1996-08-29,80.1631180953294,0.0,80.1631180953294,3.0
