date,sleeve_value,cash_bucket,total_equity,leverage_state
1996-05-28,97.0,0.0,97.0,3.0
1996-05-29,95.0778394624683,0.0,95.0778394624683,3.0
1996-05-30,96.63101104602917,0.0,96.63101104602917,3.0
1996-05-31,95.46476249709049,0.0,95.46476249709049,3.0
1996-06-03,94.79870905512448,0.0,94.79870905512448,3.0
1996-06-04,96.81424746374296,0.0,96.81424746374296,3.0
1996-06-05,99.28243012116543,0.0,99.28243012116543,3.0
1996-06-06,96.83818225933123,0.0,96.83818225933123,3.0
1996-06-07,96.90977005654511,0.0,96.90977005654511,3.0
1996-06-10,96.36279371182087,0.0,96.36279371182087,3.0
1996-06-11,95.80090237170725,0.0,95.80090237170725,3.0
1996-06-12,94.92294416332892,0.0,94.92294416332892,3.0
1996-06-13,94.39719170768987,0.0,94.39719170768987,3.0
1996-06-14,93.46864215721513,0.0,93.46864215721513,3.0
1996-06-17,93.130482130065,0.0,93.130482130065,3.0
1996-06-18,91.7750545561207,0.0,91.7750545561207,3.0
1996-06-19,91.68673839729635,0.0,91.68673839729635,3.0
1996-06-20,91.698097381049,0.0,91.698097381049,3.0
1996-06-21,93.60689709620178,0.0,93.60689709620178,3.0
1996-06-24,94.4032522105922,0.0,94.4032522105922,3.0
1996-06-25,94.1989013102951,0.0,94.1989013102951,3.0
1996-06-26,92.41178441088876,0.0,92.41178441088876,3.0
1996-06-27,94.09057504874559,0.0,94.09057504874559,3.0
1996-06-28,94.91916085785,0.0,94.91916085785,3.0
1996-07-01,97.08331180121931,0.0,97.08331180121931,3.0
1996-07-02,96.05228722334489,0.0,96.05228722334489,3.0
1996-07-03,95.48527690385137,0.0,95.48527690385137,3.0
1996-07-05,88.92146380887787,0.0,88.92146380887787,3.0
1996-07-08,86.87286201782844,0.0,86.87286201782844,3.0
1996-07-09,87.70803243632051,0.0,87.70803243632051,3.0
1996-07-10,88.18877067320184,0.0,88.18877067320184,3.0
1996-07-11,83.88737673891023,0.0,83.88737673891023,3.0
1996-07-12,84.0469406546746,0.0,84.0469406546746,3.0
1996-07-15,77.44569629627651,0.0,77.44569629627651,3.0
1996-07-16,76.87693336282659,0.0,76.87693336282659,3.0
1996-07-17,78.91039485531299,0.0,78.91039485531299,3.0
1996-07-18,82.36008952972975,0.0,82.36008952972975,3.0
1996-07-19,80.44958510623924,0.0,80.44958510623924,3.0
1996-07-22,78.51897486218107,0.0,78.51897486218107,3.0
