asset,variant,params,start_date,end_date,years,cagr,max_dd,end_value,sharpe,pct_time_3x,num_switches,cash_bucket_final_pct,n_skim,n_redeploy,sleeve_trading_costs,benchmark
SPX,A_trend_hwm_skim,skim=10%,1996-05-28,2026-05-22,29.982203969883642,0.19403589158185564,-0.3422333859803951,20377.49711876562,0.7453312879709085,66.68433607209117,139,11.696380733273694,787,0,7713.000607763304,False
SPX,A_trend_hwm_skim,skim=20%,1996-05-28,2026-05-22,29.982203969883642,0.1786445962942611,-0.32004325564895947,13810.70190856584,0.7484806460735176,66.68433607209117,139,23.413873041971588,797,0,5203.520513013947,False
SPX,A_trend_hwm_skim,skim=30%,1996-05-28,2026-05-22,29.982203969883642,0.16348525096990385,-0.29858682099234896,9368.20069041141,0.7528957999656752,66.68433607209117,139,35.163665406702705,825,0,3508.7096110348107,False
SPX,A_trend_hwm_skim,skim=40%,1996-05-28,2026-05-22,29.982203969883642,0.1485822878003087,-0.2827683748922723,6364.917757867137,0.7582807993877563,66.68433607209117,139,46.952504652122826,933,0,2362.2260866897536,False
SPX,C_guarded_recovery,skim=30%_above_YTD20%; redeploy=50%/10%dd,1996-05-28,2026-05-22,29.982203969883642,0.12116348406819744,-0.3433754890145179,3084.497514360708,0.7645937879251818,11.343758282533793,130,1.771875835686902,67,19,2282.7649303933663,False
SPX,D_pyramid_skim,skim=50%_on_double,1996-05-28,2026-05-22,29.982203969883642,0.08845631542259347,-0.7262953773598874,1269.6236895211136,0.4626223253060837,61.1979856877816,151,63.12259714168963,5,0,760.0501249148273,False
SPX,B_vol_quarterly_skim,skim=30%,1996-05-28,2026-05-22,29.982203969883642,0.047851755451676414,-0.7084290951669192,393.91800931312343,0.3403001706017567,72.87304532202491,403,80.5364583536796,73,0,789.5826838609962,False
SPX,B_vol_quarterly_skim,skim=20%,1996-05-28,2026-05-22,29.982203969883642,0.045337441828842806,-0.7891926291451031,366.54241007818433,0.3031951707706632,72.87304532202491,403,69.74393560922893,71,0,1037.7960130939196,False
NDX,C_guarded_recovery,skim=30%_above_YTD20%; redeploy=50%/10%dd,1996-05-28,2026-05-22,29.982203969883642,0.293796493194439,-0.26202567116444025,225937.50035734114,1.052656880010395,26.199310893188443,338,7.383248856931525,294,42,233785.93122953366,False
NDX,A_trend_hwm_skim,skim=10%,1996-05-28,2026-05-22,29.982203969883642,0.2718959440426849,-0.6830088050265626,135421.8207162258,0.7598237219265795,67.54571958653591,127,11.585589671761875,596,0,20566.62286375566,False
NDX,A_trend_hwm_skim,skim=20%,1996-05-28,2026-05-22,29.982203969883642,0.24650011063003907,-0.6101806109239548,73971.8870921825,0.759359215171073,67.54571958653591,127,23.23437750273164,611,0,11685.075080348812,False
NDX,A_trend_hwm_skim,skim=30%,1996-05-28,2026-05-22,29.982203969883642,0.22160981512164124,-0.5391810141904376,40404.37092869512,0.7606796364586218,67.54571958653591,127,35.01111607514189,620,0,6693.424825762825,False
NDX,A_trend_hwm_skim,skim=40%,1996-05-28,2026-05-22,29.982203969883642,0.197172315072351,-0.47045437873413104,22044.94780527409,0.7631525508621289,67.54571958653591,127,47.010804792588715,641,0,3848.4962771946944,False
NDX,D_pyramid_skim,skim=50%_on_double,1996-05-28,2026-05-22,29.982203969883642,0.08194650110600188,-0.5871514852386923,1060.6323675268134,0.4489212353229244,45.2160084813146,175,74.85628036884745,5,0,831.9959292119827,False
NDX,B_vol_quarterly_skim,skim=30%,1996-05-28,2026-05-22,29.982203969883642,0.029338894445445574,-0.8771665309217288,230.8339818061957,0.22045215443963045,60.05830903790088,815,94.56348909783509,68,0,627.3810169720999,False
NDX,B_vol_quarterly_skim,skim=20%,1996-05-28,2026-05-22,29.982203969883642,0.021020020131455652,-0.8883440109675592,180.9833798923776,0.20685338148533933,60.05830903790088,815,91.33485835377074,68,0,762.6854391622588,False
