date,sleeve_value,cash_bucket,total_equity,leverage_state
1996-05-28,97.0,0.0,97.0,3.0
1996-05-29,94.1087806634818,0.0,94.1087806634818,0.0
1996-05-30,92.7767382491761,0.0,92.7767382491761,3.0
1996-05-31,90.01143478878494,0.0,90.01143478878494,0.0
1996-06-03,86.70192610475831,0.0,86.70192610475831,3.0
1996-06-04,84.11782198846704,0.0,84.11782198846704,0.0
1996-06-05,83.6744522859919,0.0,83.6744522859919,3.0
1996-06-06,81.1805481857784,0.0,81.1805481857784,0.0
1996-06-07,78.80334421787737,0.0,78.80334421787737,3.0
1996-06-10,76.45483507004724,0.0,76.45483507004724,0.0
1996-06-11,73.72875620362302,0.0,73.72875620362302,3.0
1996-06-12,71.53142393365026,0.0,71.53142393365026,0.0
1996-06-13,69.00117384447397,0.0,69.00117384447397,3.0
1996-06-14,66.94460453724845,0.0,66.94460453724845,0.0
1996-06-17,64.7013336033238,0.0,64.7013336033238,3.0
1996-06-18,62.77292036900589,0.0,62.77292036900589,0.0
1996-06-19,60.83113788882852,0.0,60.83113788882852,3.0
1996-06-20,59.018192313927884,0.0,59.018192313927884,0.0
1996-06-21,58.43932112160887,0.0,58.43932112160887,3.0
1996-06-24,56.69765867200549,0.0,56.69765867200549,0.0
1996-06-25,54.87767971805844,0.0,54.87767971805844,3.0
1996-06-26,53.836554742499594,0.0,53.836554742499594,3.0
1996-06-27,54.814571828224494,0.0,54.814571828224494,3.0
1996-06-28,55.297283049039876,0.0,55.297283049039876,3.0
1996-07-01,56.558057651288614,0.0,56.558057651288614,3.0
1996-07-02,55.95741119173319,0.0,55.95741119173319,3.0
1996-07-03,55.627086630860646,0.0,55.627086630860646,3.0
1996-07-05,51.80319030357104,0.0,51.80319030357104,3.0
1996-07-08,50.60973144794461,0.0,50.60973144794461,3.0
1996-07-09,51.09627868043336,0.0,51.09627868043336,3.0
1996-07-10,51.37634350735629,0.0,51.37634350735629,3.0
1996-07-11,48.87047013321051,0.0,48.87047013321051,3.0
1996-07-12,48.96342766606996,0.0,48.96342766606996,3.0
1996-07-15,45.117724917929536,0.0,45.117724917929536,3.0
