strategy,cagr,ann_volatility,sharpe,sortino,max_drawdown,end_value,trades,pct_cash,leverage
Buy & Hold SPY 1x,0.1300624142055835,0.19308167671869805,0.605803017865395,0.7785927263048303,-0.5246226629712667,3912.193482467081,2,0.013246787653993907,1.0
Buy & Hold SSO 2x,0.152496098078728,0.3769160792263854,0.4877619555855278,0.6281533479612009,-0.8516382317816235,7054.987683461493,2,0.013246787653993907,2.0
Buy & Hold UPRO 3x,0.15489493899914897,0.5715516506708452,0.4509500952359587,0.5777891933050215,-0.9752498427638434,7509.015237283784,2,0.013246787653993907,3.0
SMA200 1x,0.102867123823148,0.11872966467080118,0.7068055826949939,0.7698100045635983,-0.19678236767130058,1884.0246312518875,206,28.228904490661016,1.0
SMA50/200 Cross 1x,0.06158279486482088,0.001289502160678005,17.459665231340978,1289.4274008239404,-1.4563404595391139e-05,599.8947204211904,1,100.0,1.0
EMA200 1x,0.10428671001106116,0.12240656657241467,0.7262350925500941,0.8177333433641427,-0.25968060576093,1958.1408420642256,238,24.506557159888725,1.0
MACD 19/39/12 1x,0.06158279486482088,0.001289502160678005,17.459665231340978,1289.4274008239404,-1.4563404595391139e-05,599.8947204211904,1,100.0,1.0
RSI 25/75 1x,0.06158279486482088,0.001289502160678005,17.459665231340978,1289.4274008239404,-1.4563404595391139e-05,599.8947204211904,1,100.0,1.0
SMA200 2x,0.12354720684333165,0.23249234470653096,0.5572663814105894,0.6084022022997349,-0.45315832038311116,3289.2543165609195,206,28.228904490661016,2.0
SMA50/200 Cross 2x,0.1539585190011179,0.26996842987090497,0.6046562300682007,0.6396291838187431,-0.5934106544753612,7328.515596135761,30,28.21565770300702,2.0
EMA200 2x,0.12662292634492478,0.23886024621263352,0.5882546121508124,0.6640725984389995,-0.4812553450394119,3570.3466681753657,238,24.506557159888725,2.0
MACD 19/39/12 2x,0.08908156241247789,0.22154020301772978,0.45530633146578947,0.42932028408535877,-0.5708399398143044,1291.8897757133398,429,47.820903430918,2.0
RSI 25/75 2x,0.10718952369350854,0.3470722037285383,0.36796387680236037,0.4234970125265526,-0.839623659728914,2118.5704611663086,22,20.89018413034839,2.0
SMA200 3x,0.1358064198156106,0.34857757922169097,0.510394266117385,0.5579021318109846,-0.6666899128685639,4554.7855910079315,206,28.228904490661016,3.0
SMA50/200 Cross 3x,0.17430775505160812,0.4048562640240552,0.566856847004104,0.6012318553633794,-0.7681682246404172,12380.459898130159,30,28.21565770300702,3.0
EMA200 3x,0.13878570919020894,0.3580970734436131,0.5420269485444268,0.6124501162461462,-0.6377631488030968,4927.129168727067,238,24.506557159888725,3.0
MACD 19/39/12 3x,0.08915169615190877,0.3370723711987702,0.3989827910858923,0.3737687552438142,-0.864622687605838,1294.3875855583265,429,47.820903430918,3.0
RSI 25/75 3x,0.09796802520324488,0.5274264865674257,0.3310038185624543,0.37868942682786594,-0.9717475557566023,1648.5023909801748,22,20.89018413034839,3.0
SMA200 ±2% Band 1x,0.11467185226905241,0.11922694019950027,0.778955845794378,0.8598337731990924,-0.19038861581656993,2592.882874802016,58,28.772022784474764,1.0
SMA200 ±2% Band 2x,0.14845782335963098,0.23347905204202188,0.6315399147859164,0.6991128623631067,-0.377847833703825,6349.947363360179,58,28.772022784474764,2.0
SMA200 ±2% Band 3x,0.1740755550320856,0.35001409529800676,0.5881854589476431,0.6514074627107391,-0.5530044443039001,12307.239108600226,58,28.772022784474764,3.0
SMA200 ±3% Band 1x,0.12314306588922119,0.11997785204899317,0.8470770999557676,0.9337820046418158,-0.19406361408067796,3253.949197950098,32,28.785269572128758,1.0
SMA200 ±3% Band 2x,0.16634588557367724,0.23496871220445,0.7009351925464259,0.7744881562507927,-0.38428214573525027,10095.129477580042,32,28.785269572128758,2.0
SMA200 ±3% Band 3x,0.20104633399876826,0.35241890011309224,0.6565489400141356,0.726154473166838,-0.5318810619823431,24323.810574102736,32,28.785269572128758,3.0
SMA200 ±5% Band 1x,0.12162838524478525,0.12400132125532827,0.8103142866350432,0.8744546198689038,-0.23835122789511778,3124.859644228703,22,28.41435951781693,1.0
