strategy,start,end,years,start_$,end_$,cagr,max_dd,vol,sharpe,pct_cash,pct_1x,pct_2x,rebal
SPX 2x  SMA20 non-guarded,2010-03-18,2026-06-15,16.2,100.0,80.62432299546634,-0.012560420288568075,-0.8020035376519151,0.19813202312043904,1.8736104424153253,33.21096426823299,0.0,66.78903573176702,447
SPX 2x  SMA20 GUARDED (cap 2x),2010-03-18,2026-06-15,16.2,100.0,159.11498911746074,0.02964268080477983,-0.6956183091781737,0.199277259528903,1.6296646319770476,27.484092021536956,18.45325501713167,54.062652961331366,403
SPX 2x  Buy&Hold (ref),2010-03-18,2026-06-15,16.2,100.0,3954.135287595785,0.2548364009410642,-0.5931336132989133,0.3160224464785129,0.803563568794667,0.024473813020068527,0.0,99.97552618697993,2
SPX 1x  Buy&Hold (ref),2010-03-18,2026-06-15,16.2,100.0,1411.0437897416996,0.17770693945258298,-0.3371725667223692,0.17150727830752732,0.8544611189705895,0.024473813020068527,99.97552618697993,0.0,2
NDX 2x  SMA20 non-guarded,2008-01-02,2026-06-15,18.5,100.0,137.31039231507458,0.01788805299112939,-0.6088091424341581,0.2581344121308786,1.9206987900286714,34.87720809995692,0.0,65.12279190004308,503
NDX 2x  SMA20 GUARDED (cap 2x),2008-01-02,2026-06-15,18.5,100.0,150.74657346286338,0.023051464092727736,-0.6288006965055877,0.27085174899284353,1.63842668233206,28.52218871176217,12.042223179663939,59.43558810857389,489
NDX 2x  Buy&Hold (ref),2008-01-02,2026-06-15,18.5,100.0,16716.25890420817,0.3204727856605327,-0.699760637783071,0.3992704786112773,0.8184945523861753,0.021542438604049977,0.0,99.97845756139596,2
NDX 1x  Buy&Hold (ref),2008-01-02,2026-06-15,18.5,100.0,3061.778718459583,0.2044132150874467,-0.49694649004545893,0.22400960719564264,0.7936632979126441,0.021542438604049977,99.97845756139596,0.0,2
