Strategy,cagr,volatility,sharpe,sortino,max_drawdown,calmar,final_value,pct_days_at_3x,rebalances,trading_costs,borrowing_costs,total_costs
Buy & Hold 1x,0.19253480013700108,0.1911660874354627,0.5188605167299722,0.6662512660118379,-0.4857631397702356,0.396355310590403,19670.60829654066,0.0,0,0.0,0.0,0.0
MACD 12/26/9 @ 3x,0.10659019618091237,0.3752965848632594,1.365688143169224,1.9159720914544043,-0.8360124571170647,0.1274983348316146,2086.526496261035,50.51669316375199,647,6397.395278572762,457.94405285689675,6855.339331429659
MACD 8/21/5 @ 3x (tuned),0.2152781371533481,0.2554666915857128,0.6438216849027962,0.837587694873452,-0.4843175765768526,0.44449788230881454,34667.52252963484,3.2988871224165344,48,2481.785707288268,117.50543103541665,2599.2911383236847
"MACD 8/21/5 @ 1x (tuned, no leverage)",0.19253480013700108,0.1911660874354627,0.5188605167299722,0.6662512660118379,-0.4857631397702356,0.396355310590403,19670.60829654066,0.0,0,0.0,0.0,0.0
