dd_trigger_pct,pause_days,cagr,cagr_vs_baseline,cagr_drag_pp,max_drawdown,mdd_improve_pp,sharpe,risk_off_days,rebalances,end_$
10.0,5,0.27388259394509085,0.5644663372567563,-21.132365462613457,-0.4788633842563624,-4.000768595609994,3.403114255716738,545,860,140956.64624312115
10.0,10,0.26499513510427386,0.5461494691888209,-22.021111346695154,-0.45065766053592965,-1.1801962235667207,3.277061315580074,1010,794,114256.67933264
10.0,15,0.28531478591477133,0.5880278474461749,-19.98914626564541,-0.46510257852240855,-2.6246880222146105,3.2110505592003262,1410,738,184277.63259888504
10.0,21,0.22546052800808924,0.4646694651439407,-25.974572056313615,-0.5077412993154353,-6.888560101517288,3.0624620032747427,1827,700,44081.096171035504
10.0,30,0.2576235152403725,0.5309567137665477,-22.758273333085288,-0.3278692354581469,11.098646284211554,3.0326853655234793,2248,633,95883.9332007267
10.0,42,0.20999479799290977,0.4327949168240849,-27.521145057831564,-0.3164191985252914,12.243649977497107,2.8068218184959144,2814,570,30116.21003778236
12.0,5,0.35906323721353806,0.740021873730733,-12.614301135768734,-0.43243251111576453,0.6423187184497914,3.5280386546014144,355,846,982376.4818184566
12.0,10,0.3194164492978895,0.6583106673470653,-16.57897992733359,-0.39529860007039586,4.355709822986658,3.4211763330675335,680,816,404201.2369653959
12.0,15,0.3020692948470858,0.6225585423447897,-18.313695372413964,-0.38698904289539426,5.186665540486818,3.3654666730881337,1005,788,271761.13343962486
12.0,21,0.28887394472257144,0.5953631998211302,-19.633230384865396,-0.48358697406057033,-4.473127576030789,3.2886871198478875,1344,740,200214.67820160842
12.0,30,0.28642698135816347,0.5903200591533967,-19.877926721306196,-0.3625577386859673,7.629795961429514,3.2373195742339926,1710,702,189121.1867519795
12.0,42,0.22284415870437968,0.45927718235406745,-26.236208986684574,-0.3491097331086082,8.974596519165424,2.998965848265893,2268,636,41343.741970018804
14.0,5,0.37883883661638773,0.7807789733375134,-10.636741195483769,-0.4198354796553772,1.9020218644885234,3.597444311157422,240,866,1515191.284358392
14.0,10,0.3625732764094107,0.7472559916057782,-12.263297216181467,-0.41820141712840475,2.0654281171857694,3.5452153888286633,470,838,1061400.823189323
14.0,15,0.3379258414691588,0.6964581401501744,-14.728040710206658,-0.43280315492162524,0.6052543378637198,3.495014281815048,720,816,613871.1557336869
14.0,21,0.3122765268646046,0.6435954355166641,-17.29297217066208,-0.39429876164389904,4.45569366563634,3.4381159502635583,966,794,343487.79226505116
14.0,30,0.26266746372876004,0.5413521868323631,-22.253878484246535,-0.3593733048419832,7.948239345827924,3.3296283740154795,1258,761,108115.73776556394
14.0,42,0.23265520655755156,0.4794975481924346,-25.255104201367384,-0.37572270873312547,6.313298956713698,3.247484482368339,1708,719,52542.47930072327
16.0,5,0.4589086242629643,0.945801142533306,-2.6297624308261103,-0.4688267172339722,-2.9971018933709734,3.693222791297949,135,856,8237668.594377906
16.0,10,0.442365782546315,0.9117066893695996,-4.284046602491043,-0.4803415090440579,-4.148581074379548,3.647197089683719,270,842,5851190.4969411185
16.0,15,0.43126348143670246,0.8888250773905595,-5.394276713452295,-0.46420022725954757,-2.5344528959285126,3.620565631152183,405,834,4640699.01623433
