Date,equity
2004-11-18,100.46717171869093
2004-11-19,98.06815661157817
2004-11-22,99.10713770038043
2004-11-23,98.99831367049306
2004-11-24,100.21681960343093
2004-11-25,100.23860886465378
2004-11-26,100.42124955031164
2004-11-29,99.96144626075328
2004-11-30,99.21053887085667
2004-12-01,102.11940176470814
2004-12-02,102.22271200147432
2004-12-03,102.48643333114866
2004-12-06,102.46650484111528
2004-12-07,100.03142311622804
2004-12-08,100.87787981901259
2004-12-09,101.57066985548221
2004-12-10,101.37799903660465
2004-12-13,103.13143902634503
2004-12-14,103.89494096966342
2004-12-15,104.30950457324323
2004-12-16,103.56407035929567
2004-12-17,102.18802797717471
2004-12-20,102.3274832481822
2004-12-21,104.12045275809164
2004-12-22,104.18103490138876
2004-12-23,104.38947822563976
2004-12-24,104.36546425704068
2004-12-27,103.72039781285527
2004-12-28,104.8383536913029
2004-12-29,104.85357868898373
2004-12-30,104.84501990756308
2004-12-31,104.79963788728593
2005-01-03,113.29422478301011
2005-01-04,111.84972174460567
2005-01-05,111.68076345598092
2005-01-06,111.70329547548783
2005-01-07,111.82438263279707
2005-01-10,111.81505848626868
2005-01-11,111.81106793103784
2005-01-12,111.88151777763935
2005-01-13,112.00557438600111
2005-01-14,112.21093579016791
2005-01-17,112.28474843873678
2005-01-18,112.16062838236326
2005-01-19,111.20620345462714
2005-01-20,111.22122120287409
2005-01-21,111.25151569776797
2005-01-24,111.21759947282558
2005-01-25,111.11155744108501
2005-01-26,111.38561863577034
2005-01-27,111.37022175062626
2005-01-28,111.41652508366744
2005-01-31,111.44410070500925
2005-02-01,112.28363121389532
2005-02-02,112.2639056879166
2005-02-03,111.37381393382964
2005-02-04,112.98998262540101
2005-02-07,112.83405263356681
2005-02-08,113.11210547177876
2005-02-09,111.78224517568286
2005-02-10,112.22593387779654
2005-02-11,113.26447672934485
2005-02-14,113.85954533741531
2005-02-15,114.46288673128555
2005-02-16,114.07596435806676
2005-02-17,112.68547684478898
2005-02-18,112.82263899281944
2005-02-21,112.65358970491822
2005-02-22,111.38202707467167
2005-02-23,111.00426509200932
2005-02-24,112.06181552684203
2005-02-25,113.49935599756728
2005-02-28,112.44822690339906
2005-03-01,113.40887682589077
2005-03-02,112.98451405469228
2005-03-03,112.57551372372484
2005-03-04,114.16084390933841
2005-03-07,115.22316862726687
2005-03-08,114.27440452153812
2005-03-09,112.9968224263473
2005-03-10,113.06937511959921
2005-03-11,111.94708836724395
2005-03-14,112.085089243661
2005-03-15,111.00953800526159
2005-03-16,110.085443679061
2005-03-17,109.87643635971767
2005-03-18,109.9846857263303
2005-03-21,109.83712727732163
2005-03-22,109.773739179449
2005-03-23,109.5999926790563
2005-03-24,109.61203997975592
2005-03-28,109.62409730447726
2005-03-29,109.63615595550434
2005-03-30,109.98267890287981
2005-03-31,109.56772411826809
2005-04-01,109.52157320364441
2005-04-04,109.34977941913897
2005-04-05,108.52528244362844
2005-04-06,108.82470199196688
2005-04-07,110.07879910719507
2005-04-08,108.93516524775885
2005-04-11,108.37255157052127
2005-04-12,109.32754288539093
2005-04-13,107.61959453264096
2005-04-14,106.24483934596874
2005-04-15,105.94137753814292
2005-04-18,106.0653154719659
2005-04-19,106.30728683771146
2005-04-20,106.36439747976983
2005-04-21,106.60361073890294
2005-04-22,106.51979208947844
2005-04-25,106.5624201796549
2005-04-26,105.65725953252382
2005-04-27,105.49423385172219
2005-04-28,105.42550251674763
2005-04-29,105.69872029784382
2005-05-02,105.8243565717509
2005-05-03,105.68966817163906
2005-05-04,107.48344787929688
2005-05-05,107.3007693392515
2005-05-06,107.24666182300638
2005-05-09,107.99429230663847
2005-05-10,106.32549058915178
2005-05-11,106.85126595573605
2005-05-12,105.4074964158721
2005-05-13,105.2737006576661
2005-05-16,106.42130682917525
2005-05-17,107.32850846661384
2005-05-18,109.11976816824628
2005-05-19,110.1303148516075
2005-05-20,110.16105394623088
2005-05-23,110.89719817395559
2005-05-24,111.05594416403494
2005-05-25,110.43489101533507
2005-05-26,111.85532447542627
2005-05-27,112.11315920256742
2005-05-31,111.22517294593747
2005-06-01,112.80770506552923
2005-06-02,113.49788124498252
2005-06-03,112.12283848157495
2005-06-06,112.50426613289861
2005-06-07,112.04270029618824
2005-06-08,111.61516974627887
2005-06-09,112.45932711682559
2005-06-10,111.97578837437422
2005-06-13,112.65414708102935
2005-06-14,112.67701189217001
2005-06-15,113.12012625653308
2005-06-16,114.26835092798186
2005-06-17,115.09790529878512
2005-06-20,114.79475480635537
2005-06-21,114.46259850061706
2005-06-22,114.64715368512245
2005-06-23,113.10787483542624
2005-06-24,112.00127647544446
2005-06-27,111.96089821932877
2005-06-28,111.93920537122263
2005-06-29,111.82814802659672
2005-06-30,110.96643429738171
2005-07-01,110.43895761746576
2005-07-04,110.40878643368711
2005-07-05,111.19115896534578
2005-07-06,110.57603034637597
2005-07-07,110.25742052963946
2005-07-08,112.71324934162794
2005-07-11,114.11070596595295
2005-07-12,114.69916873665892
2005-07-13,114.84088382408343
2005-07-14,115.63668451999865
2005-07-15,115.71077190869886
2005-07-18,114.77542931020518
2005-07-19,116.23935804413543
2005-07-20,117.16405931781523
2005-07-21,116.6861474519782
2005-07-22,117.15960887283855
2005-07-25,116.41799086619616
2005-07-26,116.73828582429246
2005-07-27,117.93406307247174
2005-07-28,119.0763269370476
2005-07-29,117.90977848006213
2005-08-01,118.58943548981443
2005-08-02,120.21476559797654
2005-08-03,120.47898735874702
2005-08-04,118.997981150898
2005-08-05,117.64684005930555
2005-08-08,116.96249051551574
2005-08-09,118.3730885639208
2005-08-10,117.99536370680534
2005-08-11,118.71211796577923
2005-08-12,117.67735207617116
2005-08-15,118.21934830586424
2005-08-16,116.57183983281026
2005-08-17,116.2413673440553
2005-08-18,115.87354473562317
2005-08-19,115.72077626214795
2005-08-22,115.04964315209087
2005-08-23,114.21684872619194
2005-08-24,114.15467511196213
