strategy,lead_pct_below_sma20,x_return,y_return,cagr,ann_volatility,sharpe,max_drawdown,end_$,rebalances,trading_costs_total,funding_costs_total,tier2_entries,tier3_entries,lead_only_days,guard_blocked_days,pct_days_cash,pct_days_1x,pct_days_2x,pct_days_3x,simulation
Lead 0.75 selected X/Y,0.0075,0.4,0.15,0.34716079289290125,0.23712819599261742,3.1463162074781694,-0.3157203791827682,1756.5168796776727,266,2798.2132840271756,67.63891205175646,4,3,269,495,29.20634920634921,23.015873015873016,36.42857142857142,11.34920634920635,28
Original strict SMA20,0.0,0.25,0.3333333333333333,0.2226674109822886,0.254736984857145,3.3016502086358614,-0.31899951019802186,689.0350566108052,328,2287.4493464858556,56.313654551275015,2,2,0,573,40.833333333333336,29.404761904761905,1.4682539682539681,28.293650793650794,29
Lead 0.75 default X/Y,0.0075,0.25,0.3333333333333333,0.2702908728733331,0.27989407979291125,3.0059324126226916,-0.35631283693701976,996.3154571607596,312,2590.6433027289627,86.71015161489971,2,2,301,428,34.48412698412698,27.6984126984127,4.246031746031746,33.57142857142857,29
Lead 0.75 selected X/Y,0.0075,0.4,0.15,0.24188140647867917,0.2848899051404367,2.936530357696624,-0.3563128369370193,800.9314212366536,308,2547.5887477561528,90.86410389345625,4,2,301,519,31.9047619047619,17.976190476190474,28.968253968253972,21.150793650793652,29
Original strict SMA20,0.0,0.25,0.3333333333333333,0.2589049766891365,0.23768716545549182,3.4487520443304938,-0.3830021127683411,913.3969600665847,315,2173.941696391117,83.22908912376877,4,2,0,597,37.65873015873016,25.71428571428571,13.174603174603176,23.452380952380953,30
Lead 0.75 default X/Y,0.0075,0.25,0.3333333333333333,0.34650411906090905,0.25983134582018286,3.112232718324939,-0.34559422042811827,1748.271019130428,279,2820.3632859216846,146.086932453885,4,2,269,433,31.150793650793652,25.67460317460317,15.793650793650793,27.380952380952383,30
Lead 0.75 selected X/Y,0.0075,0.4,0.15,0.3424000758149819,0.2507044087055835,3.128401151554934,-0.23974839953504395,1697.5178588721235,278,2662.3953835741495,130.6091770083065,5,3,269,476,30.634920634920636,20.912698412698415,30.912698412698415,17.539682539682538,30
Original strict SMA20,0.0,0.25,0.3333333333333333,0.2913962345545986,0.30424106630944164,3.4993008144946214,-0.3504311568003095,1168.0519086125341,282,3869.7755837779246,174.78774517746191,1,1,0,1006,42.65873015873016,5.873015873015873,0.07936507936507936,51.388888888888886,31
Lead 0.75 default X/Y,0.0075,0.25,0.3333333333333333,0.35786384712263475,0.34126474876244567,3.0530408594952387,-0.3659889138580126,1895.9222909127823,254,4658.326065341959,305.31907197088265,1,1,255,767,33.17460317460317,5.833333333333333,0.3968253968253968,60.59523809523809,31
Lead 0.75 selected X/Y,0.0075,0.4,0.15,0.35582762954221403,0.3257598468305661,3.0875766481367886,-0.36620069502656705,1868.6612747059855,256,4419.0463309013685,263.2575997801482,3,2,255,767,33.17460317460317,5.833333333333333,10.238095238095237,50.75396825396825,31
Original strict SMA20,0.0,0.25,0.3333333333333333,0.32508097035177363,0.22301671913811721,3.4114985225936505,-0.19078489179611863,1497.5711820856566,315,2496.1116996725423,37.28347523950585,2,1,0,495,36.78571428571429,37.93650793650794,19.8015873015873,5.476190476190476,32
Lead 0.75 default X/Y,0.0075,0.25,0.3333333333333333,0.3648585697502702,0.23959954748165463,3.1949291620133495,-0.20277645886796394,1992.3051186222651,298,2455.1039924192096,52.037309912275255,2,1,265,378,32.142857142857146,37.93650793650794,21.547619047619047,8.373015873015872,32
Lead 0.75 selected X/Y,0.0075,0.4,0.15,0.3683927158936693,0.2468049899138043,3.0844132778566227,-0.20277645886796394,2042.654100111694,300,2416.5283995826708,47.74224676186133,3,1,265,380,32.142857142857146,36.86507936507937,26.706349206349206,4.285714285714286,32
Original strict SMA20,0.0,0.25,0.3333333333333333,0.4253305524954809,0.21705003703420883,3.9358288058045368,-0.2139323921968734,3027.3518790351227,277,5823.342347363169,220.0168170565063,4,2,0,582,37.73809523809524,26.984126984126984,17.857142857142858,17.42063492063492,33
Lead 0.75 default X/Y,0.0075,0.25,0.3333333333333333,0.4485235749893217,0.23847582524714692,3.7132719500117957,-0.3286409806553993,3537.6561891273873,285,5660.046178560695,251.40724448876787,4,2,256,425,32.10317460317461,27.61904761904762,19.603174603174605,20.674603174603174,33
Lead 0.75 selected X/Y,0.0075,0.4,0.15,0.48349030226973033,0.23293244950640277,3.822064020389544,-0.3071121579759093,4453.392087497245,275,6621.295085674456,290.0108603494663,6,2,256,497,30.833333333333336,18.015873015873016,38.17460317460317,12.976190476190478,33
Original strict SMA20,0.0,0.25,0.3333333333333333,0.32395440285120913,0.24687655660815186,3.404037772264521,-0.3221719512773878,1485.3285555580555,303,2878.771264042889,73.2981030170818,3,2,0,711,40.23809523809524,21.26984126984127,24.285714285714285,14.206349206349206,34
