scenario,cagr,ann_volatility,sharpe,start_$,end_$,max_drawdown,risk_off_days,rebalances,pct_sessions_invested,pct_sessions_tbills
Baseline (no DD pause),0.3593396464787164,0.32945421261829,3.7586118900357235,100.0,988387.3029001536,-0.49155796013065955,0,868,62.90408055113937,37.09591944886063
-20% vs session peak -> 30 sessions cash -> reset peak,0.3027337468950484,0.31415246248001627,3.6190954955344448,100.0,275951.91646008485,-0.6824816903151052,480,816,59.41971383147854,40.58028616852146
