strategy,median_cagr,p10_cagr,p90_cagr,median_max_drawdown,p10_max_drawdown,p90_max_drawdown,median_sharpe,median_end_$,prob_max_dd_worse_35pct,prob_max_dd_worse_40pct,prob_max_dd_worse_50pct,median_pct_days_2x,median_pct_days_3x
Lead 0.75 A10/B20 X40/Y15,0.3235879347791617,0.2275889804806672,0.42816904982952875,-0.29485739015630047,-0.46868116859793546,-0.20558837004573557,3.1519551972043054,1481.3707517804278,0.255,0.18,0.075,31.448412698412696,15.952380952380953
Lead 0.75 A5/B25 X40/Y15,0.3444986891079186,0.23412449129308485,0.46048232668080025,-0.2826964479266392,-0.4427384970617384,-0.21882445131875763,3.209165033549392,1723.312753045495,0.23,0.165,0.055,52.97619047619048,8.908730158730158
Original strict SMA20 A10/B20 X25/Y33,0.2791882091142984,0.18987245113322068,0.38869264968391887,-0.3103558585851929,-0.46333892883434996,-0.20701954509818568,3.495779378025329,1065.740418727049,0.36,0.24,0.06,14.880952380952381,20.039682539682538
