strategy,trigger_a,trigger_b,lead_pct_below_sma20,x_return,y_return,cagr,ann_volatility,sharpe,max_drawdown,end_$,rebalances,trading_costs_total,funding_costs_total,tier2_entries,tier3_entries,lead_only_days,pct_days_cash,pct_days_1x,pct_days_2x,pct_days_3x,simulation
Lead 0.75 A10/B20 X40/Y15,0.1,0.2,0.0075,0.4,0.15,0.20530590754519595,0.2646248210291676,2.86529232775866,-0.5021620773719551,600.2040648646714,289,1871.5303434998154,0.0,3,2,297,33.730158730158735,14.761904761904763,35.833333333333336,15.674603174603174,3
Lead 0.75 A5/B25 X40/Y15,0.05,0.25,0.0075,0.4,0.15,0.19149666874383842,0.27560187148010334,2.8828597918535244,-0.6055897700371295,537.0334527117085,283,2182.014294351611,0.0,4,2,297,31.626984126984127,2.380952380952381,53.095238095238095,12.896825396825399,3
Original strict SMA20 A10/B20 X25/Y33,0.1,0.2,0.0,0.25,0.3333333333333333,0.25799018088469516,0.1910331688193935,3.6316151872330504,-0.17142359871777493,907.0114586021181,330,1989.9335587918808,0.0,1,1,0,37.73809523809524,40.11904761904762,12.5,9.642857142857144,4
Lead 0.75 A10/B20 X40/Y15,0.1,0.2,0.0075,0.4,0.15,0.2502536313245127,0.21934005325673073,3.213698179517069,-0.22392432737387075,854.5878732449396,326,1800.7656898327277,0.0,1,2,268,33.095238095238095,34.64285714285714,21.150793650793652,11.11111111111111,4
Lead 0.75 A5/B25 X40/Y15,0.05,0.25,0.0075,0.4,0.15,0.312764381681931,0.2573295880635411,3.2276952015240217,-0.22392432737387094,1368.5065342301075,285,3217.088477879162,0.0,5,2,268,28.809523809523807,9.206349206349207,51.11111111111111,10.873015873015873,4
Original strict SMA20 A10/B20 X25/Y33,0.1,0.2,0.0,0.25,0.3333333333333333,0.27397236676241676,0.22148002137578718,3.511684717057163,-0.41619623293675845,1024.5341574415281,301,3003.4125599236854,0.0,2,1,0,38.69047619047619,28.49206349206349,15.873015873015872,16.944444444444446,5
Lead 0.75 A10/B20 X40/Y15,0.1,0.2,0.0075,0.4,0.15,0.29595828993962026,0.2081396445300628,3.0913592258102174,-0.21139469672545033,1208.4887564031062,275,2129.9081639005185,0.0,3,1,277,33.65079365079365,27.857142857142858,35.35714285714286,3.134920634920635,5
Lead 0.75 A5/B25 X40/Y15,0.05,0.25,0.0075,0.4,0.15,0.26989443724475115,0.22386579086512454,3.1761117845135853,-0.21139469672545078,993.3187170412624,278,2239.13604799362,0.0,3,0,277,30.119047619047617,11.865079365079364,58.01587301587302,0.0,5
Original strict SMA20 A10/B20 X25/Y33,0.1,0.2,0.0,0.25,0.3333333333333333,0.258833684932003,0.23203878407602843,3.639345035387314,-0.26834060499008555,912.8978820405521,302,2284.813802860552,0.0,4,1,0,40.27777777777778,14.920634920634921,29.365079365079367,15.436507936507937,6
Lead 0.75 A10/B20 X40/Y15,0.1,0.2,0.0075,0.4,0.15,0.2379518960912539,0.26073087152688446,2.986670500907884,-0.2726086352683225,776.8053882459114,278,1549.7636404674984,0.0,3,1,263,31.825396825396822,13.373015873015873,39.76190476190476,15.03968253968254,6
Lead 0.75 A5/B25 X40/Y15,0.05,0.25,0.0075,0.4,0.15,0.2560191774942939,0.2704598556227471,3.043279071864537,-0.27260863526832246,893.3891619632212,275,1843.2005226783017,0.0,4,1,263,30.634920634920636,5.952380952380952,48.37301587301587,15.03968253968254,6
Original strict SMA20 A10/B20 X25/Y33,0.1,0.2,0.0,0.25,0.3333333333333333,0.29167583910645867,0.278061983689567,3.675461337864754,-0.3223630221362434,1170.4949032934298,332,2723.1671515516014,0.0,5,2,0,41.11111111111111,12.698412698412698,12.619047619047619,33.57142857142857,7
Lead 0.75 A10/B20 X40/Y15,0.1,0.2,0.0075,0.4,0.15,0.3397849115691012,0.29134742436947947,3.1506996682771633,-0.33006043835936316,1665.870066555845,283,2423.9158129627735,0.0,4,2,255,32.420634920634924,9.285714285714286,33.214285714285715,25.07936507936508,7
Lead 0.75 A5/B25 X40/Y15,0.05,0.25,0.0075,0.4,0.15,0.30329783068382143,0.28535882308682575,3.1236814790528413,-0.31598676098832323,1276.182944717901,286,2126.7349833561548,0.0,4,2,255,32.301587301587304,8.015873015873016,39.76190476190476,19.92063492063492,7
Original strict SMA20 A10/B20 X25/Y33,0.1,0.2,0.0,0.25,0.3333333333333333,0.24089439748930563,0.29887443450157886,3.0595701549172842,-0.3373505692211456,794.8091484112432,306,2249.27407474517,0.0,2,1,0,38.76984126984127,15.515873015873016,15.873015873015872,29.841269841269842,8
Lead 0.75 A10/B20 X40/Y15,0.1,0.2,0.0075,0.4,0.15,0.22761618143689977,0.2719373885516799,2.8801841928610576,-0.2905396950529691,716.4264680180574,300,1481.544619917501,0.0,3,2,262,30.317460317460316,15.793650793650793,41.07142857142857,12.817460317460316,8
