strategy,trigger_a,trigger_b,lead_pct_below_sma20,x_return,y_return,cagr,ann_volatility,sharpe,max_drawdown,end_$,rebalances,trading_costs_total,funding_costs_total,tier2_entries,tier3_entries,lead_only_days,pct_days_cash,pct_days_1x,pct_days_2x,pct_days_3x
Original strict SMA20 A10/B20 X25/Y33,0.1,0.2,0.0,0.25,0.3333333333333333,0.28105599384491686,0.2634649220351218,3.225458865301131,-0.3864679385148614,166815.6608378205,878,227554.62882130378,0.0,8,5,0,37.01642819289878,26.21886592474828,10.307366189719131,26.45733969263381
Lead 0.75 A10/B20 X40/Y15,0.1,0.2,0.0075,0.4,0.15,0.37971553031579397,0.2907905678049116,3.0349566379399127,-0.3418465861984296,1544356.977621098,769,1348911.0332118275,0.0,10,4,751,29.557498675145734,14.970853206147325,31.584525702172762,23.887122416534183
Lead 0.75 A5/B25 X40/Y15,0.05,0.25,0.0075,0.4,0.15,0.37091898857653316,0.27686188097675735,3.1298833205016092,-0.27892785779423723,1274753.679277132,774,1182104.4940169884,0.0,10,4,751,28.815580286168522,8.9957604663487,48.569157392686805,13.619501854795974
