simulation,cagr,ann_volatility,sharpe,max_drawdown,end_$,rebalances,pct_days_cash,pct_days_1x,pct_days_2x,pct_days_3x,tier2_entries,tier3_entries,worst_daily_return
0,0.20765942897793543,0.2119542684320665,3.237838084227463,-0.2935295140041346,611.6107522773499,296,41.34920634920635,19.761904761904763,38.88888888888889,0.0,4,0,-0.10056427255092848
1,0.18027847967041977,0.29060524242737723,3.6888434082497765,-0.3847876575994817,490.17597903704797,337,44.08730158730159,4.801587301587302,4.007936507936508,47.1031746031746,1,1,-0.09008440147406649
2,0.20601284825634614,0.21809775321762248,3.1526927548425236,-0.24480149090659858,603.6101506821985,341,38.69047619047619,39.64285714285714,10.317460317460316,11.34920634920635,2,1,-0.12842637692605857
3,0.3938756756834958,0.29763651407734876,2.994797722102922,-0.22113720475003681,2440.7901436367456,267,38.2936507936508,27.3015873015873,11.468253968253968,22.936507936507937,2,1,-0.1581090394291522
4,0.29744390181085256,0.17997137257676946,3.2691246331569292,-0.18345983215449801,1221.9250732020232,287,35.317460317460316,49.404761904761905,15.277777777777779,0.0,2,0,-0.1786146935707959
5,0.33052293562609214,0.24346527554759131,3.6208587163823256,-0.2607802106536534,1557.9934226396292,312,40.15873015873016,20.833333333333336,19.72222222222222,19.28571428571429,5,2,-0.10543308670169749
6,0.351572809994406,0.2292349820244365,3.2311742980450915,-0.24370605658532538,1812.8286275446117,315,36.86507936507937,43.65079365079365,12.182539682539682,7.301587301587302,3,1,-0.10368545402974558
7,0.2571945580041455,0.21964792540680317,3.7200496001514747,-0.31974970271252406,901.4903804897855,321,37.26190476190476,27.18253968253968,20.1984126984127,15.357142857142858,4,2,-0.08831117018718058
8,0.26484119899311787,0.26039855867830786,3.406411412741162,-0.3574783821167947,955.8217509275806,336,41.74603174603175,26.547619047619047,11.944444444444445,19.761904761904763,3,3,-0.104513253819224
9,0.2974414423876508,0.17125881506580376,3.554988653732315,-0.31952855910898015,1221.902719235881,297,31.785714285714285,58.84920634920635,0.992063492063492,8.373015873015872,1,1,-0.07470452090832667
10,0.19673753011003603,0.17028384572573,3.70350362609826,-0.30512774719777047,560.2692116266801,317,36.98412698412699,46.38888888888889,7.4603174603174605,9.166666666666666,1,1,-0.10259228166928906
11,0.2608307762854307,0.27116214372097225,3.5617905304093993,-0.29442201667122114,926.9714011445424,308,40.595238095238095,22.22222222222222,0.0,37.182539682539684,0,1,-0.0856205524746332
12,0.3149843618739132,0.2027238238022814,3.513193273918771,-0.21304182962543358,1391.0052062744462,307,39.72222222222222,34.72222222222222,21.19047619047619,4.365079365079365,3,1,-0.0892952436107991
13,0.3084763849784955,0.2245386567989507,3.462098153446497,-0.34673196534493694,1325.9706713984417,315,38.37301587301587,33.49206349206349,17.976190476190474,10.158730158730158,3,1,-0.10539306332320157
14,0.3148824060282287,0.20187387186711492,3.4368972402402678,-0.2152539092312314,1389.9647027623157,286,39.76190476190476,35.35714285714286,15.158730158730158,9.722222222222223,3,1,-0.09620415519423187
15,0.3545186488064733,0.21490506294248285,3.655581053186493,-0.24666895279033213,1851.3226231069284,277,40.55555555555556,22.460317460317462,29.96031746031746,7.023809523809524,5,1,-0.08749355871114782
16,0.32062295310776845,0.24599460503860998,3.6677283803538425,-0.18195224652290026,1449.6481826504441,325,40.15873015873016,20.357142857142858,23.730158730158728,15.753968253968253,4,1,-0.08889918697225317
17,0.32979553136196627,0.1819285138921733,3.6414795437761494,-0.17487291892360785,1549.7925283843106,299,35.43650793650794,45.07936507936508,19.484126984126984,0.0,3,0,-0.05923646856404207
18,0.2855748407882652,0.18795241976148244,3.571788523974093,-0.25913779302744694,1118.2156622394743,286,37.023809523809526,29.20634920634921,33.76984126984127,0.0,4,0,-0.07053258245730389
19,0.28203863203463264,0.2877912488627851,3.7171877134675544,-0.30230827314491293,1088.8815260631804,302,47.579365079365076,5.119047619047619,1.4285714285714286,45.87301587301587,2,2,-0.10583369511396025
20,0.30938616222113,0.3582008647933205,3.4955463752833875,-0.38912876151110226,1334.895060052071,321,45.476190476190474,0.2380952380952381,0.873015873015873,53.41269841269841,1,1,-0.15810903942915153
21,0.17398732226988667,0.1939827366276145,3.587813168672485,-0.30843851412910595,465.53404117832457,309,37.53968253968254,28.65079365079365,14.246031746031745,19.563492063492063,2,2,-0.10539306332320135
22,0.17156166920500993,0.32753183689261156,3.1275692090106832,-0.4611077523030449,456.33362672272636,316,43.76984126984127,8.015873015873016,0.0,48.214285714285715,0,1,-0.15810903942915153
23,0.1505369248233186,0.2517477828197357,3.499714835200436,-0.5100524263081659,383.1615175004052,344,43.492063492063494,16.428571428571427,14.96031746031746,25.11904761904762,2,1,-0.09008440147406616
24,0.35396514148238123,0.2038434351055345,3.5585688379591454,-0.16522896532691644,1844.034396387669,305,37.182539682539684,46.230158730158735,4.642857142857143,11.944444444444445,2,2,-0.07653173172482862
25,0.2456677673077945,0.2168749681363375,3.7275304572383954,-0.38628187383826806,824.8117475053391,305,39.32539682539682,20.873015873015873,22.6984126984127,17.103174603174605,4,2,-0.10543308670169749
26,0.2682666119231907,0.28072381848467115,3.4554544454518283,-0.35832587552497974,981.0981631537334,319,42.06349206349206,17.77777777777778,4.246031746031746,35.91269841269841,3,2,-0.07653173172482884
27,0.23023371014804184,0.2365651771217725,3.535331334684369,-0.27014970591798115,731.3056161179605,316,43.214285714285715,15.634920634920634,22.460317460317462,18.69047619047619,2,1,-0.10543308670169749
28,0.31542664352966043,0.21202534710117335,3.3710738028920835,-0.20522802092282044,1395.5269703147978,301,36.388888888888886,28.968253968253972,34.64285714285714,0.0,4,0,-0.10056427255092848
29,0.3758575652820708,0.21133107094943127,3.193655838085709,-0.13858211660052644,2152.7682770991805,263,36.62698412698413,39.08730158730159,17.3015873015873,6.984126984126984,3,1,-0.10706047503365122
30,0.3112956378974314,0.2531447689415481,3.194434589086533,-0.3458923084133905,1353.8012231537343,293,38.2936507936508,34.8015873015873,7.023809523809524,19.88095238095238,1,1,-0.15810903942915186
31,0.22562545174358428,0.2862394477343397,3.326736952157734,-0.6156943127787297,705.2926050641514,313,43.57142857142857,12.182539682539682,15.515873015873016,28.730158730158728,3,1,-0.11482686346025912
32,0.4252166880515966,0.29689452701584573,3.135778849167133,-0.30462106891895624,3025.0186666602117,308,36.74603174603175,26.626984126984127,12.896825396825399,23.730158730158728,3,2,-0.15810903942915186
33,0.28857400792808274,0.28287791013437497,3.5339741002521112,-0.2890356817648277,1143.6478782340148,272,44.642857142857146,3.015873015873016,6.865079365079366,45.476190476190474,1,1,-0.10583369511395992
34,0.26782781501506925,0.19321027729328952,3.779083317818239,-0.33123355972930457,977.8271332761793,285,39.04761904761905,27.18253968253968,23.49206349206349,10.277777777777777,3,1,-0.10543308670169749
35,0.3888859063741559,0.20427647246772887,3.4527501893413914,-0.16329882212522323,2357.7591111282345,285,39.523809523809526,31.19047619047619,27.73809523809524,1.5476190476190477,7,1,-0.069665978736661
36,0.29463561025984664,0.2416942372890026,3.6607464907496308,-0.2380505320362331,1196.637656198567,312,40.87301587301587,15.158730158730158,20.03968253968254,23.92857142857143,3,3,-0.08423210223565195
37,0.21835397545841384,0.21141833651338252,3.732496569322128,-0.25470615591290746,665.9299982218074,336,42.34126984126984,21.944444444444443,22.896825396825395,12.817460317460316,4,1,-0.08560806080788405
38,0.21388397151544947,0.18673791895758204,3.9736423938727587,-0.19464750624475002,642.7213602360827,306,38.25396825396825,24.761904761904763,27.81746031746032,9.166666666666666,1,1,-0.06568893625296668
39,0.3299496506063584,0.2662598046694202,3.634884652113757,-0.2814696154102861,1551.5268601811945,270,42.023809523809526,12.341269841269842,8.174603174603174,37.46031746031746,3,2,-0.06616684146146741
40,0.2848975166234604,0.2192204499819666,3.17775825450538,-0.16819967919271364,1112.5427750523952,284,38.25396825396825,34.04761904761905,14.047619047619047,13.65079365079365,2,1,-0.10420345304201437
41,0.41484478195530095,0.2629058742424752,3.0968365805998865,-0.2881967979592025,2819.1251008160366,279,36.904761904761905,32.182539682539684,22.023809523809522,8.88888888888889,3,1,-0.13247991004269574
42,0.3252088160911186,0.2880505069311823,3.639213700153534,-0.34231053143314893,1498.9662053895304,294,44.84126984126984,9.166666666666666,3.2539682539682544,42.738095238095234,1,1,-0.10583369511396025
43,0.277858469917037,0.22372600180435276,4.011741553876829,-0.4864823330497796,1055.0964985242185,334,38.01587301587301,18.69047619047619,26.23015873015873,17.063492063492063,3,1,-0.05823932054276108
44,0.37230690277317513,0.297793033505129,3.7149217746357284,-0.2802130337077032,2099.7459142711905,304,42.65873015873016,7.579365079365079,8.015873015873016,41.74603174603175,2,2,-0.07433817586243903
45,0.14277381083591778,0.1779606659646053,3.7930095804784827,-0.33911133251272196,358.9264337136857,351,40.3968253968254,23.61111111111111,35.91269841269841,0.07936507936507936,3,1,-0.05707229953335608
