strategy,cagr,ann_volatility,sharpe,sortino,max_drawdown,calmar,end_$,rebalances,trading_costs_total,funding_costs_total,win_rate,profit_factor,beta,alpha,pct_days_cash,pct_days_1x,pct_days_2x,pct_days_3x,avg_leverage,total_trades,simulation
SMA200 ±3% Band + RSI>30 Exit 3x,-0.030635100393820447,0.39814734893504333,-0.0752699366043619,-0.07261489942531758,-0.8518523481185494,-0.03596292298950975,73.98698852826791,24,9.577288874354092,0.0,0.7524831148192292,0.9807328932453849,,,47.73809523809524,0.0,0.0,52.261904761904766,3.0,23,0
SMA200 ±3% Band + RSI>30 Exit 3x,0.16371476574951016,0.4365482715363804,0.36988523871372314,0.368368596450102,-0.5545306341234124,0.29523123823142106,431.564278665113,17,9.516409085422978,0.0,0.7306317044100119,1.0940491070671168,,,42.698412698412696,0.0,0.0,57.3015873015873,3.0,16,1
SMA200 ±3% Band + RSI>30 Exit 3x,0.0722371954428016,0.4112947809117282,0.17890417896581268,0.18484071576299668,-0.7211412232112815,0.10017066438266475,195.8395308546118,21,14.770329423578504,0.0,0.6807157057654075,1.0400193270202496,,,30.753968253968257,0.0,0.0,69.24603174603175,3.0,20,2
SMA200 ±3% Band + RSI>30 Exit 3x,-0.10075610614151687,0.44167156855097567,-0.18505800468064948,-0.1823084588106733,-0.7728479588703089,-0.13036989356715722,35.84600168336402,25,5.278174643795232,0.0,0.7044100119189511,0.9581489370175585,,,37.976190476190474,0.0,0.0,62.023809523809526,3.0,24,3
SMA200 ±3% Band + RSI>30 Exit 3x,0.05691909542740947,0.3508620241941716,0.10028354839824258,0.0898496618736808,-0.6583228832416237,0.0864607578991273,170.44746120225278,20,6.219107185393567,0.0,0.7684670373312152,1.026663078696167,,,51.82539682539683,0.0,0.0,48.17460317460318,3.0,19,4
SMA200 ±3% Band + RSI>30 Exit 3x,0.15087478531484422,0.45067111949146454,0.3516301967817821,0.3599425068043068,-0.6814809118828207,0.22139253306156703,387.7419631578825,20,7.875027232731218,0.0,0.7125248508946322,1.0819976558394504,,,36.19047619047619,0.0,0.0,63.8095238095238,3.0,19,5
SMA200 ±3% Band + RSI>30 Exit 3x,0.19279307910032628,0.3918943171726533,0.4266904479011672,0.4149531371659274,-0.6072237997395832,0.31749921393563363,547.6329276757448,20,27.92297662859582,0.0,0.7432432432432432,1.1109623711610894,,,45.63492063492063,0.0,0.0,54.36507936507936,3.0,19,6
SMA200 ±3% Band + RSI>30 Exit 3x,0.12670608645230885,0.38750745437130235,0.28158821064470835,0.27523547265511367,-0.6170070887078363,0.2053559655492166,315.9264898153664,16,14.031207999475168,0.0,0.7571542130365659,1.072590663560794,,,48.61111111111111,0.0,0.0,51.388888888888886,3.0,15,7
SMA200 ±3% Band + RSI>30 Exit 3x,0.12803662666048088,0.4784960466132964,0.3135847314888438,0.345912503729204,-0.5197514880446072,0.24634201076013512,319.54551567486175,20,6.177154115595033,0.0,0.694942254082039,1.0758254962953873,,,36.03174603174603,0.0,0.0,63.96825396825396,3.0,19,8
SMA200 ±3% Band + RSI>30 Exit 3x,0.3595395866839446,0.48966853566569885,0.6871216790477207,0.7888551946697968,-0.6214403539051062,0.5785584801897918,1936.0660662220293,15,45.70873338195856,0.0,0.6443914081145584,1.1572065335546122,,,24.00793650793651,0.0,0.0,75.9920634920635,3.0,14,9
SMA200 ±3% Band + RSI>30 Exit 3x,0.09134254999148461,0.43589246206636206,0.23360488907557678,0.2067470671354281,-0.7541517256239054,0.12111959289878631,232.2336057928941,24,6.24306994122758,0.0,0.7605409705648369,1.0653220113133786,,,49.76190476190476,0.0,0.0,50.23809523809524,3.0,23,10
SMA200 ±3% Band + RSI>30 Exit 3x,0.18011918819647477,0.36126651500709495,0.39487730411686706,0.38785296156129506,-0.5189533476689498,0.3470816577357859,493.98824310298136,11,5.4809784498058605,0.0,0.7589356632247816,1.1002400162819745,,,47.460317460317455,0.0,0.0,52.539682539682545,3.0,10,11
SMA200 ±3% Band + RSI>30 Exit 3x,0.09597546771941956,0.43634204929756126,0.24038868914913197,0.23674144839649933,-0.8076166148704192,0.11883790644254968,241.92475162514958,22,9.954919843230385,0.0,0.732724384432089,1.0594097065338786,,,41.54761904761905,0.0,0.0,58.452380952380956,3.0,21,12
