strategy,sell_pct_above_sma20,sell_label,cagr,ann_volatility,sharpe,max_drawdown,calmar,end_$,rebalances,trading_costs_total,pct_days_cash,pct_cash_sessions,profit_exits,cross_reentries,delta_cagr_pp,delta_max_dd_pp,delta_sharpe,delta_end_$,beats_baseline_cagr,beats_baseline_sharpe,beats_baseline_calmar,better_risk_adj
SMA20 1x/cash (x_0p0000),0.0,+0.00% above SMA20,-0.00646221722804563,0.07583815176075343,1.5603682502921166,-0.4971922999954617,-0.012997420169428642,83.77443118292797,601,559.292802488489,88.24255516124056,88.24255516124055,300,299,-19.868809135448718,-26.299827332183146,-2.0482786961963706,-9088.048220831746,False,False,False,False
SMA20 1x/cash (x_0p0800),0.08,+8.00% above SMA20,0.14839836318455624,0.1666738192211729,0.8371995443433169,-0.4065946775569448,0.36497861722199404,3495.275911095748,28,339.65428510200906,3.5488350563184694,3.5488350563184694,13,13,-4.382751094188531,-17.240065088331452,-2.77144740214517,-5676.546740918926,False,False,False,False
SMA20 1x/cash (x_0p0100),0.01,+1.00% above SMA20,0.0033508469940792818,0.08664147362604252,0.8152939720093498,-0.43713846976552106,0.007665413194763343,107.90871936426278,422,437.22112641780774,74.75698194723036,74.75698194723037,210,210,-18.887502713236227,-20.294444309189082,-2.793352974479137,-9063.913932650412,False,False,False,False
SMA20 1x/cash (x_0p0900),0.09,+9.00% above SMA20,0.14910688560716734,0.1689566260655011,0.8136416738866632,-0.40682238165749723,0.36651593503697655,3551.2478006085325,20,229.07681156394617,2.515043974695263,2.515043974695263,9,9,-4.31189885192742,-17.262835498386696,-2.7950052726018235,-5620.5748514061415,False,False,False,False
SMA20 1x/cash (x_0p1000),0.1,+10.00% above SMA20,0.1494852759368568,0.17088050692621445,0.7957111472425944,-0.4073889958176023,0.36693498712907036,3581.4917819127895,14,149.85110947726685,1.851566116340071,1.851566116340071,6,6,-4.2740598189584755,-17.319496914397202,-2.8129357992458925,-5590.330870101885,False,False,False,False
SMA20 1x/cash (x_0p0350),0.035,+3.50% above SMA20,0.06505424091323331,0.12767434286746063,0.793611877163179,-0.4264924564865023,0.1525331572078864,501.95860939832806,180,577.5956627309861,35.411201975003856,35.411201975003856,89,89,-12.717163321320823,-19.229842981287206,-2.815035069325308,-8669.864042616346,False,False,False,False
SMA20 1x/cash (x_0p0700),0.07,+7.00% above SMA20,0.13511992424300012,0.1631728349438777,0.7906193337805743,-0.40057442703416596,0.33731540289134687,2590.5024374219975,36,307.5098522429032,5.415830890294707,5.415830890294708,17,17,-5.710594988344142,-16.63804003605357,-2.8180276127079127,-6581.320214592677,False,False,False,False
SMA20 1x/cash (x_0p0500),0.05,+5.00% above SMA20,0.10052623079130041,0.14374505857664963,0.786167739017398,-0.4148968711767675,0.2422920917821794,1167.2551077238243,96,503.1165924318532,19.85804659774726,19.85804659774726,47,47,-9.169964333514113,-18.07028445031372,-2.8224792074710887,-8004.5675442908505,False,False,False,False
SMA20 1x/cash (x_0p0300),0.03,+3.00% above SMA20,0.047396978744070895,0.11940340842916015,0.7438887636587618,-0.44671711164489863,0.10610065634053298,326.32959668002354,224,494.6548585782462,44.91590803888289,44.91590803888289,111,111,-14.482889538237064,-21.252308497126837,-2.8647581828297253,-8845.493055334651,False,False,False,False
SMA20 1x/cash (x_0p0200),0.02,+2.00% above SMA20,0.022900721578206218,0.10158290345994937,0.742153833761943,-0.4643241069617697,0.04932055268044,177.3875569276509,316,447.39022733975753,61.41027619194569,61.410276191945684,157,157,-16.93251525482353,-23.013008028813942,-2.866493112726544,-8994.435095087023,False,False,False,False
SMA20 1x/cash (x_0p0600),0.06,+6.00% above SMA20,0.11687726222983508,0.15812701692977998,0.7378274768319096,-0.3987629714173316,0.29309958699127897,1706.6527754549923,54,330.26195787071134,10.029316463508717,10.029316463508717,26,26,-7.5348611896606466,-16.45689447437013,-2.870819469656577,-7465.169876559682,False,False,False,False
SMA20 1x/cash (x_0p1200),0.12,+12.00% above SMA20,0.14509636375659807,0.17587409134229712,0.7258133134896833,-0.4158084547671292,0.3489500083346269,3245.418491700739,4,70.62934484961058,0.3548835056318469,0.35488350563184695,1,1,-4.7129510369843475,-18.161442809349893,-2.882833632998804,-5926.404160313936,False,False,False,False
SMA20 1x/cash (x_0p0400),0.04,+4.00% above SMA20,0.07254151375411522,0.1339174416506651,0.7211332314634585,-0.4753303282411085,0.15261284509773373,601.2190692783565,142,504.50673118512617,28.359821015275422,28.359821015275422,70,70,-11.968436037232632,-24.113630156747824,-2.8875137150250283,-8570.603582736318,False,False,False,False
SMA20 1x/cash (x_0p0250),0.025,+2.50% above SMA20,0.035634905814967865,0.11221853578432518,0.7058969176990144,-0.46687608687277593,0.07632626047236042,243.96318464136527,260,444.8414224249277,51.5506866224348,51.55068662243481,129,129,-15.659096831147368,-23.268206019914565,-2.9027500287894723,-8927.85946737331,False,False,False,False
SMA20 1x/cash (x_0p1500),0.15,+15.00% above SMA20,0.14177481983985052,0.17755719357121488,0.6999232816252442,-0.4158084547671292,0.3409618496556319,3011.448552223037,2,1.994238437938141,0.29316463508717794,0.2931646350871779,0,0,-5.045105428659102,-18.161442809349893,-2.908723664863243,-6160.3740997916375,False,False,False,False
SMA20 1x/cash (x_0p1800),0.18,+18.00% above SMA20,0.14177481983985052,0.17755719357121488,0.6999232816252442,-0.4158084547671292,0.3409618496556319,3011.448552223037,2,1.994238437938141,0.29316463508717794,0.2931646350871779,0,0,-5.045105428659102,-18.161442809349893,-2.908723664863243,-6160.3740997916375,False,False,False,False
SMA20 1x/cash (x_0p2000),0.2,+20.00% above SMA20,0.14177481983985052,0.17755719357121488,0.6999232816252442,-0.4158084547671292,0.3409618496556319,3011.448552223037,2,1.994238437938141,0.29316463508717794,0.2931646350871779,0,0,-5.045105428659102,-18.161442809349893,-2.908723664863243,-6160.3740997916375,False,False,False,False
SMA20 1x/cash (x_0p2500),0.25,+25.00% above SMA20,0.14177481983985052,0.17755719357121488,0.6999232816252442,-0.4158084547671292,0.3409618496556319,3011.448552223037,2,1.994238437938141,0.29316463508717794,0.2931646350871779,0,0,-5.045105428659102,-18.161442809349893,-2.908723664863243,-6160.3740997916375,False,False,False,False
SMA20 1x/cash (x_0p3000),0.3,+30.00% above SMA20,0.14177481983985052,0.17755719357121488,0.6999232816252442,-0.4158084547671292,0.3409618496556319,3011.448552223037,2,1.994238437938141,0.29316463508717794,0.2931646350871779,0,0,-5.045105428659102,-18.161442809349893,-2.908723664863243,-6160.3740997916375,False,False,False,False
SMA20 1x/cash (x_0p4000),0.4,+40.00% above SMA20,0.14177481983985052,0.17755719357121488,0.6999232816252442,-0.4158084547671292,0.3409618496556319,3011.448552223037,2,1.994238437938141,0.29316463508717794,0.2931646350871779,0,0,-5.045105428659102,-18.161442809349893,-2.908723664863243,-6160.3740997916375,False,False,False,False
SMA20 1x/cash (x_0p5000),0.5,+50.00% above SMA20,0.14177481983985052,0.17755719357121488,0.6999232816252442,-0.4158084547671292,0.3409618496556319,3011.448552223037,2,1.994238437938141,0.29316463508717794,0.2931646350871779,0,0,-5.045105428659102,-18.161442809349893,-2.908723664863243,-6160.3740997916375,False,False,False,False
SMA20 1x/cash (x_0p7500),0.75,+75.00% above SMA20,0.14177481983985052,0.17755719357121488,0.6999232816252442,-0.4158084547671292,0.3409618496556319,3011.448552223037,2,1.994238437938141,0.29316463508717794,0.2931646350871779,0,0,-5.045105428659102,-18.161442809349893,-2.908723664863243,-6160.3740997916375,False,False,False,False
SMA20 1x/cash (x_1p0000),1.0,+100.00% above SMA20,0.14177481983985052,0.17755719357121488,0.6999232816252442,-0.4158084547671292,0.3409618496556319,3011.448552223037,2,1.994238437938141,0.29316463508717794,0.2931646350871779,0,0,-5.045105428659102,-18.161442809349893,-2.908723664863243,-6160.3740997916375,False,False,False,False
