strategy,cagr,ann_volatility,sharpe,max_drawdown,end_$,rebalances,pct_days_cash,calmar,trading_costs_total,funding_costs_total,pct_days_1x,pct_days_2x,pct_days_3x,tier2_entries,tier3_entries,lead_only_days,guard_blocked_days,pct_cash
Buy & hold 1x,0.12376060820588264,0.2708988752263263,0.49225018224210554,-0.6582821742252556,1491.7614803470758,2,0.0,,,,,,,,,,,
SMA20 1x/cash,0.05895204444122126,0.1648852384300131,0.3258888894549109,-0.5175145580834057,376.6690419955906,708,41.715265866209265,,,,,,,,,,,
Guarded A5/B25 SMA20 Lead (max 1x),0.06463301855992709,0.1760030449841705,0.3724185063095607,-0.5705403177933046,426.38274835586697,692,32.95025728987993,0.11328387590540508,167.84243882560443,0.0,67.04974271012006,0.0,0.0,13.0,6.0,540.0,1838.0,32.96740994854203
