strategy,confirmation_days,cagr,ann_volatility,sharpe,max_drawdown,end_$,rebalances,trading_costs_total,funding_costs_total,tier2_entries,tier3_entries,guard_blocked_days,pct_days_cash,pct_days_1x,pct_days_2x,pct_days_3x,cagr_delta_pp_vs_no_wait,max_dd_delta_pp_vs_no_wait,sharpe_delta_vs_no_wait
Guarded A10/B20 SMA20 (no wait),1,0.2939071807732214,0.26651366472273896,3.2324703826054373,-0.343715123153074,224886.27532881335,878,347030.44909552886,17261.059054272304,8,5,1734,37.07433417251888,26.15608851199152,10.308731946468795,26.460845369020802,0.0,0.0,0.0
Guarded A10/B20 SMA20 (2 closes above),2,0.07390535742354931,0.23336818098286333,2.0758153794378176,-0.6585667344360046,840.2403099131732,663,3550.2941517633376,144.88948432788374,8,5,1998,42.82496356168014,23.320524711806016,9.606466145488273,24.248045581025572,-22.00018233496721,-31.485161128293054,-1.1566550031676197
Guarded A10/B20 SMA20 (3 closes above),3,0.03878870119881972,0.22172602965716612,1.6368373860979897,-0.850558043600112,309.9835075449073,570,1597.9840998610457,68.91938599650808,6,2,2133,47.14456075261693,23.41327679872797,6.43964489201007,23.002517556645024,-25.51184795744017,-50.684292044703795,-1.5956329965074476
Guarded A10/B20 SMA20 (4 closes above),4,0.03525541245823427,0.20947230885332227,1.4494855701010299,-0.7935501236298764,279.87073733030184,511,1234.6457789061249,51.22273153508094,5,2,2240,50.88114482575858,23.42652709685968,4.372598383463628,21.319729693918113,-25.865176831498715,-44.983500047680245,-1.7829848125044074
Guarded A10/B20 SMA20 (5 closes above),5,0.02726355736735875,0.20153656577646561,1.3035564545722274,-0.8200052401548206,221.82560996185407,466,1135.6957175497,47.670959541726894,5,2,2376,54.2334702530807,21.889492513581555,4.067841526434345,19.809195706903402,-26.664362340586266,-47.62901170017466,-1.92891392803321
