strategy,cagr,ann_volatility,sharpe,max_drawdown,end_$,rebalances,pct_days_cash,calmar,trading_costs_total,funding_costs_total,pct_days_1x,pct_days_2x,pct_days_3x,tier2_entries,tier3_entries,lead_only_days
Buy & hold 1x,0.12925442800061737,0.19299069647654438,0.6002712948081376,-0.5242609272823754,3832.986249690904,0,0.0,,,,,,,,,
Buy & hold 2x,0.13424483160752287,0.3684154018955251,0.4126472663517235,-0.8965808689763287,4331.265398939474,1,0.0,,,,,,,,,
Buy & hold 3x,0.12287025194448598,0.5561646096316688,0.29032208626419254,-0.9840683877637656,3168.886408218039,1,0.0,,,,,,,,,
SMA20 1x/cash,0.16079882147313307,0.10989114911313208,3.9144135075691815,-0.16919120234237028,8671.176121800972,868,37.01642819289878,,,,,,,,,
SMA20 2x/cash,0.27050326943057845,0.21796953913352882,3.8482041222754835,-0.41896708653855746,130161.2763200731,868,37.01642819289878,,,,,,,,,
SMA20 3x/cash,0.3295559254870706,0.32473257319944454,3.735476049279008,-0.6258747751244067,508540.39535772457,868,37.01642819289878,,,,,,,,,
Guarded A5/B25 SMA20 Lead,0.37091902811929667,0.27686186595950735,3.129883574237062,-0.27892785779423707,1274754.782195777,774,28.815580286168522,1.3298027348452257,1182105.3170931374,0.0,8.9957604663487,48.569157392686805,13.619501854795974,10.0,4.0,751.0
Original Guarded A10/B20 SMA20,0.2810558730021604,0.26346490683195134,3.2254585197533596,-0.38646782120930917,166815.1888285419,878,37.01642819289878,0.7272426255896266,227553.95455893574,0.0,26.21886592474828,10.307366189719131,26.45733969263381,8.0,5.0,0.0
