Strategy,Leverage_Max,CAGR_pct,Vol_pct,Sharpe,Sortino,Calmar,MaxDD_pct,End_Value,Start_Date,End_Date,Years,Pct_Cash_Time,Trades_Per_Year,Total_Trades,Avg_Leverage,Beat_BH_Sharpe,Beat_BH_Calmar,Beat_BH_DD,Beat_BH_CAGR,Trading_Cost_Pct,Beat_BH_Sortino,Beat_BH_Vol
SMA200 +-3% Band + VIX Scale 1-2x,2.0,7.7,19.01,0.282,0.27,0.12,-63.97,1732.69,1987-12-30,2026-06-18,38.47,31.2,6.0,232,1.08,0,0,1,0,0.2,0,1
SMA200 +-3% Band + RSI>30 Exit + RSI Scale 1-2x,2.0,9.68,16.48,0.385,0.387,0.16,-60.35,3483.63,1987-12-30,2026-06-18,38.47,31.2,2.8,107,1.01,1,1,1,0,0.2,0,1
SMA200 +-3% Band + RSI>30 Exit + VIX Scale 1-2x,2.0,7.7,19.01,0.282,0.27,0.12,-63.97,1732.69,1987-12-30,2026-06-18,38.47,31.2,6.0,232,1.08,0,0,1,0,0.2,0,1
SMA50 1x/cash,1.0,6.18,13.62,0.36,0.402,0.151,-40.99,1002.67,1987-12-30,2026-06-18,38.47,36.0,17.1,656,1.0,1,1,1,0,0.2,0,1
SMA50 2x/cash,2.0,4.59,27.23,0.343,0.384,0.059,-78.27,561.78,1987-12-30,2026-06-18,38.47,36.0,17.1,656,2.0,0,0,0,0,0.2,0,0
SMA100 1x/cash,1.0,7.58,13.59,0.391,0.425,0.226,-33.6,1656.67,1987-12-30,2026-06-18,38.47,34.6,11.2,430,1.0,1,1,1,0,0.2,0,1
SMA100 2x/cash,2.0,7.28,27.17,0.374,0.407,0.11,-66.38,1490.65,1987-12-30,2026-06-18,38.47,34.6,11.2,430,2.0,1,0,1,0,0.2,0,0
EMA20 1x/cash,1.0,3.84,13.67,0.362,0.389,0.072,-53.17,425.75,1987-12-30,2026-06-18,38.47,38.3,31.9,1228,1.0,1,0,1,0,0.2,0,1
EMA20 2x/cash,2.0,1.0,27.33,0.346,0.372,0.011,-90.51,146.29,1987-12-30,2026-06-18,38.47,38.3,31.9,1228,2.0,1,0,0,0,0.2,0,0
EMA50 1x/cash,1.0,4.79,13.71,0.271,0.293,0.099,-48.26,602.82,1987-12-30,2026-06-18,38.47,34.6,19.7,758,1.0,0,0,1,0,0.2,0,1
EMA50 2x/cash,2.0,2.15,27.42,0.255,0.275,0.026,-81.3,226.19,1987-12-30,2026-06-18,38.47,34.6,19.7,758,2.0,0,0,0,0,0.2,0,0
