scenario,cagr,ann_volatility,sharpe,start_$,end_$,max_drawdown,risk_off_days,rebalances
Baseline (no pause),0.4852062485712254,0.32945421261829,3.7586118900357235,100.0,14077733.40455974,-0.43885569830026244,0,868
-20% DD -> cash 21 sessions,0.4074852776191835,0.276898662363703,3.165806360156254,100.0,2807639.8176789875,-0.2340789486353884,2499,582
