Strategy,cagr,volatility,downside_volatility,sharpe,sortino,calmar,max_drawdown,final_value
Buy & Hold 1x,0.19253480013700108,0.1911660874354627,0.14887556687396802,0.5188605167299722,0.6662512660118379,0.396355310590403,-0.4857631397702356,19670.60829654066
MACD 12/26/9,0.10659019618091237,0.3752965848632594,0.2675081220679947,1.365688143169224,1.9159720914544043,0.1274983348316146,-0.8360124571170647,2086.526496261035
MACD 8/21/5 (best 2008),0.2152781371533481,0.2554666915857128,0.1963674930039493,0.6438216849027962,0.837587694873452,0.44449788230881454,-0.4843175765768526,34667.52252963484
