name,fast,slow,signal,hist_pct,confirm_days,req_sma200,exit_sma200,final,full_return,full_max_dd,crash_return,crash_max_dd,y2008_return,bh_crash_return,crash_vs_bh,avg_leverage,rebalances,trading_costs
MACD 8/21/5 3x,8,21,5,0.0,1,False,False,9904.809601467183,98.04809601467183,-0.7761072031367746,-0.442902235476062,-0.6377452340021982,-0.47262661771624126,-0.37595493994012186,-0.06694729553594014,1.9917859035506094,973,31759.52193379731
MACD 8/21/5 3x,8,21,5,0.0,1,True,False,1688.9158312977931,15.88915831297793,-0.6779794430096467,-0.4225820151013736,-0.5259259800140278,-0.3758465002718231,-0.37595493994012186,-0.04662707516125175,1.6677265500794913,717,8226.5940402604
MACD 8/21/5 3x,8,21,5,0.0,1,True,True,1588.8421222970564,14.888421222970564,-0.6849254239975384,-0.4067771792360494,-0.5129498305523716,-0.37584650027182376,-0.37595493994012186,-0.030822239295927534,1.6489136195018548,717,7969.720163296167
MACD 8/21/5 3x,8,21,5,0.0,3,False,False,19670.60829654066,195.7060829654066,-0.4857631397702356,-0.37595493994012186,-0.4857631397702356,-0.3758465002718241,-0.37595493994012186,0.0,1.0,0,0.0
MACD 8/21/5 3x,8,21,5,0.0,3,True,False,19670.60829654066,195.7060829654066,-0.4857631397702356,-0.37595493994012186,-0.4857631397702356,-0.3758465002718241,-0.37595493994012186,0.0,1.0,0,0.0
MACD 8/21/5 3x,8,21,5,0.0,3,True,True,19670.60829654066,195.7060829654066,-0.4857631397702356,-0.37595493994012186,-0.4857631397702356,-0.3758465002718241,-0.37595493994012186,0.0,1.0,0,0.0
MACD 8/21/5 3x,8,21,5,0.05,1,False,False,160871.22062357186,1607.7122062357187,-0.6363895130300027,-0.4137525060016728,-0.6200863706655245,-0.4469187033993741,-0.37595493994012186,-0.037797566061550936,1.5741918388977212,455,91982.55634324855
MACD 8/21/5 3x,8,21,5,0.05,1,True,False,25185.115572203405,250.85115572203406,-0.5331520308569864,-0.4206124961353722,-0.5144100933900173,-0.3758465002718231,-0.37595493994012186,-0.04465755619525036,1.3195548489666136,277,14847.04370929402
MACD 8/21/5 3x,8,21,5,0.05,1,True,True,22532.12219776631,224.32122197766313,-0.5203736697401941,-0.4047537514469681,-0.50111873605002,-0.3758465002718241,-0.37595493994012186,-0.028798811506846267,1.3025967143614203,277,13644.14109560839
MACD 8/21/5 3x,8,21,5,0.05,3,False,False,19670.60829654066,195.7060829654066,-0.4857631397702356,-0.37595493994012186,-0.4857631397702356,-0.3758465002718241,-0.37595493994012186,0.0,1.0,0,0.0
MACD 8/21/5 3x,8,21,5,0.05,3,True,False,19670.60829654066,195.7060829654066,-0.4857631397702356,-0.37595493994012186,-0.4857631397702356,-0.3758465002718241,-0.37595493994012186,0.0,1.0,0,0.0
MACD 8/21/5 3x,8,21,5,0.05,3,True,True,19670.60829654066,195.7060829654066,-0.4857631397702356,-0.37595493994012186,-0.4857631397702356,-0.3758465002718241,-0.37595493994012186,0.0,1.0,0,0.0
MACD 8/21/5 3x,8,21,5,0.1,1,False,False,93759.19143287528,936.5919143287528,-0.6334695147798197,-0.40653003312388014,-0.6334695147798197,-0.515239616461845,-0.37595493994012186,-0.030575093183758284,1.2880233174350821,210,28334.07009397979
MACD 8/21/5 3x,8,21,5,0.1,1,True,False,23418.755588620854,233.18755588620854,-0.5027359081782282,-0.4066833000432788,-0.5027359081782282,-0.37584650027182354,-0.37595493994012186,-0.030728360103156938,1.118706942236354,96,5365.586730621249
MACD 8/21/5 3x,8,21,5,0.1,1,True,True,25558.539229124166,254.58539229124165,-0.4891250100792663,-0.39044329141137113,-0.4891250100792663,-0.375846500271824,-0.37595493994012186,-0.014488351471249272,1.1165871754107048,96,5689.072441151807
MACD 8/21/5 3x,8,21,5,0.1,3,False,False,19670.60829654066,195.7060829654066,-0.4857631397702356,-0.37595493994012186,-0.4857631397702356,-0.3758465002718241,-0.37595493994012186,0.0,1.0,0,0.0
MACD 8/21/5 3x,8,21,5,0.1,3,True,False,19670.60829654066,195.7060829654066,-0.4857631397702356,-0.37595493994012186,-0.4857631397702356,-0.3758465002718241,-0.37595493994012186,0.0,1.0,0,0.0
