strategy,cagr,ann_volatility,sharpe,max_drawdown,end_$,rebalances,pct_days_cash,calmar,trading_costs_total,funding_costs_total,pct_days_1x,pct_days_2x,pct_days_3x,tier2_entries,tier3_entries,lead_only_days,guard_blocked_days,pct_cash
Buy & hold 1x,0.16564608375466405,0.14605038786112381,0.8605823959656661,-0.2558185599683074,1259.9513470939264,2,0.0,,,,,,,,,,,
SMA20 1x/cash,0.09225929865562632,0.0967552206652035,0.6171336764387076,-0.2837951130976327,429.8766097627818,472,36.17121354656632,,,,,,,,,,,
Guarded A5/B25 SMA20 Lead (max 1x),0.0813596026842549,0.10847344681083487,0.45899826372441527,-0.25816538870171646,364.1805626474857,438,26.575729068673564,0.3151452760317827,84.42609360019242,0.0,73.42427093132643,0.0,0.0,5.0,0.0,520.0,861.0,26.599247412982127
