label,w_sp500,w_gold,w_tbills,cagr,ann_volatility,sharpe,max_drawdown,final_value,start_value
Equal weight 33/33/33,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.18251969339236984,0.1354955481823307,0.6538474877035525,-0.22961304259079973,7436.861764295392,100.0
Max CAGR (numerical optimum),0.0003352377084572098,0.9993295245830858,0.0003352377084572098,0.2297270796049895,0.20689096552124148,0.6104827957589526,-0.2972367499963265,20339.90201411644,100.0
Max Sharpe (numerical optimum),0.3125197760435657,0.6323588576975369,0.05512136625889752,0.21454379943533963,0.1653818249761244,0.6916433665955667,-0.28656191684299204,14779.753796040242,100.0
