name,cagr,total_return,max_drawdown,avg_drawdown,ulcer_index,max_dd_duration_days,volatility,downside_volatility,sharpe,sortino,calmar,win_rate,profit_factor,expectancy_ann,best_day,worst_day,best_month,worst_month,beta,alpha,information_ratio,tracking_error,skewness,excess_kurtosis,final_value,total_trading_costs,turnover_notional,cost_drag_pct,rebalances,risk_off_days,avg_lev,final
SMA stair 20/50/200 (stack) | DD overlay 15%,0.1338291654225754,42.271774879981514,-0.1500000000000001,-0.1184505614406552,0.12355308025922213,730.0,0.17413265376386328,0.27450243050764284,0.7052955356162129,0.44740945673060994,0.892194436150502,0.8957201537034584,1.2920419138580344,0.12281498330465648,0.14148374808873,-0.12310100774162806,0.2887619839066755,-0.1490625701422148,0.27377466502396575,0.07918601346394732,-0.33800230962205025,0.22714850966591688,-0.38227280494272753,23.79705949466646,4283.90571311817,0.0,0.0,0.0,166,5491,0.6104928457869634,4283.90571311817
SMA stair 20/50/200 (excl) | DD overlay 15%,0.2058824824975667,273.6728215129952,-0.15000000000000005,-0.09693462679972899,0.10222701484414473,648.0,0.1869031754628948,0.19407231821447765,2.597245000726936,2.5013012806623953,1.3725498833171108,0.8937326089837021,2.4237053867435105,0.4854333380909928,0.14148374808873,-0.08560806080788427,0.250099124389475,-0.13183998671176944,0.3254385523701722,0.14092764721796708,1.261424493808535,0.22660225427288735,2.0293960178022816,15.526298318839281,27192.609329786526,0.0,0.0,0.0,509,3963,0.7268150503444621,27192.609329786526
SMA stair 20/100/200 (stack) | DD overlay 15%,0.11920217526750898,28.312678908969268,-0.1500000000000001,-0.11808316139335984,0.12349576866675642,729.0,0.15762663774220054,0.269198411414697,0.6196080468012295,0.3628057558810604,0.7946811684500593,0.9026103087319465,1.2605736493995467,0.09766673313528983,0.07739840628476055,-0.12310100774162806,0.2887619839066753,-0.14906257014221502,0.23790247832400818,0.07171881418566811,-0.45814715160825387,0.22247212649006212,-1.1220037531607887,25.401735870694914,2901.9552119879577,0.0,0.0,0.0,150,5582,0.5524642289348172,2901.9552119879577
SMA stair 20/100/200 (excl) | DD overlay 15%,0.20214044338705217,249.2233824402879,-0.15000000000000008,-0.09487479954772618,0.09973816619573034,648.0,0.18149125356367946,0.18237072273198024,2.6934478236181807,2.6804588729696697,1.3476029559136804,0.8894925135815556,2.4732681118756843,0.48883722191682777,0.1106842465052796,-0.08560806080788427,0.2500991243894748,-0.1318399867117701,0.3145426482207423,0.1393603401854256,1.288663887915511,0.2244538086542926,1.9763909844818697,13.805528222871953,24772.114861588503,0.0,0.0,0.0,506,3841,0.7236354001059884,24772.114861588503
SMA stair 10/50/200 (stack) | DD overlay 15%,0.1358399248037898,44.633809730111395,-0.15000000000000008,-0.11808391029341377,0.12334530195377694,739.0,0.1737717124228917,0.2748546037171212,0.7476148420953563,0.47266558240875195,0.9055994986919316,0.8966476745726779,1.312105394867251,0.12991431134367984,0.14148374808873,-0.12310100774162806,0.28876198390667596,-0.1490625701422148,0.27758465923154196,0.08043632960828351,-0.30819670460093007,0.22608091460771848,-0.3769497646773269,23.97649685421201,4517.747163281028,0.0,0.0,0.0,178,5543,0.6063857975622682,4517.747163281028
SMA stair 10/50/200 (excl) | DD overlay 15%,0.2923829069358157,2193.2125934451483,-0.15000000000000008,-0.09117483812035573,0.09873732874806246,753.0,0.2031988515760263,0.16111008807061444,3.9139529848955794,4.936442907937321,1.9492193795721036,0.8928050881144826,3.701526629398053,0.7953107516533419,0.14148374808873,-0.07053258245730411,0.26507655361878135,-0.10218706295741009,0.4306221889643052,0.20643429037455077,2.724354486219408,0.21866429294268508,2.488427108921512,13.049952621405307,217227.0467510697,0.0,0.0,0.0,846,3275,0.794912559618442,217227.0467510697
SMA stair 50/100/200 (stack) | DD overlay 15%,0.10545146706712494,19.230732321729832,-0.15000000000000008,-0.11898175157576742,0.12385214933499707,729.0,0.15395430129810483,0.27195781384549755,0.4847557870993424,0.2744184380945584,0.7030097804474992,0.9065853981714589,1.2051466174094732,0.07463023850309211,0.07739840628476055,-0.12310100774162806,0.28876198390667485,-0.1490625701422148,0.21379594233920235,0.0627795705848246,-0.5554303780106873,0.2249813309517011,-1.2663370368103875,27.492594974732928,2002.8424998512535,0.0,0.0,0.0,125,5666,0.5401430842607313,2002.8424998512535
SMA stair 50/100/200 (excl) | DD overlay 15%,0.15096366502082947,66.8574662536625,-0.1500000000000001,-0.10855952154460762,0.11328111942111406,664.0,0.17280563677906238,0.23146895846886298,1.464028556383344,1.092986241533495,1.0064244334721957,0.8914800583013118,1.650513304453134,0.2529923869485552,0.09728904664307204,-0.1179179995011439,0.28876198390667573,-0.1275264820139549,0.2635258672569391,0.09836608807451258,0.23395297352942213,0.22825391763142727,0.6053622291828682,16.358281584741082,6717.889159112588,0.0,0.0,0.0,267,4488,0.6967408585055644,6717.889159112588
SMA stair 20/60/120 (stack) | DD overlay 15%,0.15779585826253562,80.03981242304783,-0.1500000000000001,-0.11804322250427217,0.12288133971384044,729.0,0.17210712340588386,0.2670188818348128,0.8711817383215487,0.5615205258743282,1.0519723884169034,0.8996952431429707,1.377811330637775,0.14993658294625917,0.14148374808873,-0.12310100774162806,0.28876198390667507,-0.14906257014221513,0.2653180989544598,0.1048405667373912,-0.21840328770716141,0.22735519127927298,0.02532747636601188,25.83013759419553,8022.9414298817355,0.0,0.0,0.0,168,5464,0.6153948065712772,8022.9414298817355
SMA stair 20/60/120 (excl) | DD overlay 15%,0.2166842066014718,357.91062321784096,-0.15000000000000008,-0.09870744571114386,0.10397191605283748,647.0,0.1937900218974678,0.19696057417029875,2.66270818597535,2.6198455190355676,1.4445613773431447,0.8892275076189214,2.4540501067164286,0.5160062776667298,0.14148374808873,-0.08560806080788427,0.2782659176312581,-0.13183998671177,0.339942549334012,0.14883449385016312,1.3795491883130708,0.22936084928925393,2.047556498034703,15.52946297197197,35532.15169856625,0.0,0.0,0.0,539,3955,0.7639109697933227,35532.15169856625
