strategy,cagr,ann_volatility,sharpe,max_drawdown,end_$,rebalances,pct_days_cash,simulation
SMA20 1x/cash,4.469498909323533,0.5003295189213437,4.1499331157023125,-0.16519726867360848,1310722751.4181626,311,46.98412698412698,0
SMA20 1x/cash,3.7719721786706053,0.4832195788113873,4.028175064910515,-0.16144843398489447,351315322.77674425,323,45.07936507936508,1
SMA20 1x/cash,3.2045287683353676,0.4509724835822672,3.89915012874913,-0.17829826840962157,103534178.88492891,271,48.25396825396825,2
SMA20 1x/cash,4.698231811258299,0.5690812802889469,3.7187039713768133,-0.33944781418995845,1946370916.986562,278,47.1031746031746,3
SMA20 1x/cash,4.11393059419347,0.5398982611218386,3.7733866269294096,-0.274595295314564,685131927.6574737,318,42.857142857142854,4
SMA20 1x/cash,4.165901466142481,0.5485453660107579,3.6391128239814177,-0.20941501475699031,755360377.4398975,262,49.88095238095238,5
SMA20 1x/cash,3.1585493884012728,0.4893708630970768,3.5833824001487353,-0.3271403353623224,93109950.69796377,259,46.70634920634921,6
SMA20 1x/cash,6.558608875033787,0.6109915291512231,3.9285707325226533,-0.24164839486748751,29744794427.751106,264,39.523809523809526,7
SMA20 1x/cash,5.000225177690633,0.5707923790977154,3.8541943011252218,-0.20941501475699026,3203841984.539671,311,45.595238095238095,8
SMA20 1x/cash,3.381991043070477,0.49230494586543366,3.6893480147462334,-0.33944781418995856,154297166.24423668,270,48.492063492063494,9
SMA20 1x/cash,3.5342018726554665,0.5198925865709975,3.646421239528238,-0.3394478141899585,214523581.54739097,304,50.75396825396825,10
SMA20 1x/cash,3.0608094943576685,0.507424427690352,3.4762737140753672,-0.1924763356705493,74013221.93474011,287,48.92857142857142,11
SMA20 1x/cash,5.1388088033129975,0.5710531022442753,3.89100241487879,-0.3271403353623224,3993696324.711881,308,45.317460317460316,12
SMA20 1x/cash,4.149270016436183,0.547232489612434,3.694787572288651,-0.3394478141899585,732214863.9863122,292,46.666666666666664,13
SMA20 1x/cash,4.595797584314643,0.6166088904600822,3.473641684532088,-0.3271403353623225,1633783490.9985874,295,48.25396825396825,14
SMA20 1x/cash,4.49398791247277,0.5162134123160553,3.998760800814941,-0.17525996118014678,1368469649.8357444,286,42.53968253968254,15
SMA20 1x/cash,3.6951484910235664,0.4953330714170103,3.8281897031783227,-0.33944781418995845,300380592.2048232,283,49.801587301587304,16
SMA20 1x/cash,3.0353047665907296,0.502708924155804,3.5304615286297363,-0.2848692770279606,69646889.34686275,303,54.96031746031746,17
SMA20 1x/cash,3.329388270861636,0.5237990007089531,3.577929783764785,-0.28486927702796055,137321754.3060425,325,49.60317460317461,18
SMA20 1x/cash,3.5851804077586227,0.4810994759361447,3.984366896427483,-0.21099285201639403,238965846.24659702,332,45.317460317460316,19
SMA20 1x/cash,4.166134452332928,0.5036232663143188,4.033182402496335,-0.14976084446643573,755689222.924775,323,44.32539682539682,20
SMA20 1x/cash,4.027247130390715,0.5203675685675975,3.9247327589735024,-0.3394478141899585,580924921.0771539,349,46.46825396825397,21
SMA20 1x/cash,4.093452688718844,0.5516893212158172,3.6189892943655373,-0.3394478141899585,659108571.6477283,275,48.69047619047619,22
SMA20 1x/cash,3.8275782098247646,0.49573534868429703,3.9487349512392207,-0.32714033536232234,392875457.2235595,315,51.626984126984134,23
SMA20 1x/cash,4.744241202707899,0.5540980201373699,3.8719533884307245,-0.3306950659837494,2103449009.1567624,306,42.22222222222222,24
SMA20 1x/cash,4.515027069763107,0.5588328135300479,3.7533405877494403,-0.26146102268009735,1419891667.266389,294,47.73809523809524,25
