strategy,cagr,ann_volatility,sharpe,max_drawdown,calmar,end_$,rebalances,trading_costs_total,pct_cash,family,exit_pct,entry_pct,y_le_x,tier2_entries,tier3_entries,lead_only_days,guard_blocked_days,pct_days_cash,pct_days_1x,pct_days_2x,pct_days_3x,max_leverage,beats_cagr_vs_sma,beats_sharpe_vs_sma,beats_max_dd_vs_sma,fewer_rebalances_vs_sma,cagr_delta_pp_vs_sma,sharpe_delta_vs_sma,max_dd_delta_pp_vs_sma,rebalances_delta_vs_sma,cagr_delta_pp_vs_guard,sharpe_delta_vs_guard,max_dd_delta_pp_vs_guard,rebalances_delta_vs_guard,beats_cagr_vs_guard,beats_sharpe_vs_guard,beats_max_dd_vs_guard,fewer_rebalances_vs_guard
SMA20 1x/cash entry-0.5%/exit-0%,2.2325860428101096,0.36613666568395076,4.1167228752003915,-0.254853672171689,8.760266327675545,725746782.5598977,400.0,186328589.21480635,34.86078886310905,asymmetric_xy,0.0,0.005,False,,,,,,,,,,,,,,,,,,,,,,,,,
SMA20 1x/cash entry-1.5%/exit-1.5%,2.203020997014277,0.3802703528287482,3.794147811868132,-0.2223211663027443,9.909182439310923,641244785.5340264,318.0,125635670.24254659,29.988399071925755,asymmetric_xy,0.015,0.015,True,,,,,,,,,,False,False,False,True,-8.388226781071717,-0.3672153123095758,-0.4111374469973006,-88.0,-18.06142807832609,-0.29028435240622263,-3.9276772310464696,-48.0,False,False,False,True
SMA20 1x/cash entry-0.5%/exit-0.5%,2.2000584682795066,0.36986283883888776,3.935879794291696,-0.23861861161111672,9.219978498010047,633299924.5797979,342.0,141318695.12306878,33.75870069605568,asymmetric_xy,0.005,0.005,True,,,,,,,,,,True,True,True,False,19.470084181978464,0.5677042178363396,3.51653978404915,276.0,9.79688288472409,0.6446351777396928,-1.942890293094024e-14,316.0,True,True,False,False
SMA20 1x/cash entry-2%/exit-2%,2.1856236188109572,0.3865453389014158,3.7205130634224806,-0.22232116630274418,9.83092907957626,595876057.3212879,316.0,99623204.78419471,28.045243619489558,asymmetric_xy,0.02,0.02,True,,,,,,,,,,False,False,True,True,-11.441738009189972,-0.45662323784538517,2.459387211175454,-94.0,-21.11493930644435,-0.379692277942032,-1.0571525728737152,-54.0,False,False,False,True
SMA20 1x/cash entry-1%/exit-1%,2.184190263898234,0.37521668982003303,3.8329849042710595,-0.22921755740673022,9.528895991254911,592273921.5509764,322.0,112172121.3557937,31.728538283062644,asymmetric_xy,0.01,0.01,True,,,,,,,,,,False,False,False,True,-17.43848745794141,-0.3923338562988108,-0.3232963430675695,-82.0,-27.111688755195786,-0.3154028963954576,-3.8398361271167385,-42.0,False,False,False,True
SMA20 1x/cash entry-1%/exit-1.5%,2.0968922841457314,0.3776883371340141,3.6936663354252754,-0.23289272157144356,9.003683197984683,407253411.6111014,300.0,78155065.11586565,30.916473317865428,asymmetric_xy,0.015,0.01,True,,,,,,,,,,False,False,False,True,-25.80887361481161,-0.5193731983062264,-3.2325301997224223,-96.0,-35.48207491206598,-0.4424422384028732,-6.749069983771591,-56.0,False,False,False,True
SMA20 1x/cash entry-0.5%/exit-1%,2.0939023327464303,0.373693269232597,3.7227184807079405,-0.23145760382142566,9.04659124684415,401987752.4587923,298.0,74778116.80346385,32.627610208816705,asymmetric_xy,0.01,0.005,True,,,,,,,,,,True,True,True,False,26.54194783235524,0.4379844093298719,3.5165397840491552,200.0,16.868746535100865,0.5149153692332251,-1.3877787807814457e-14,240.0,True,True,False,False
SMA20 1x/cash entry-1.5%/exit-2%,2.0807747560138927,0.3848467462618366,3.598900494918004,-0.22232116630274426,9.359319180524686,379605882.4247858,290.0,65760562.635832086,28.973317865429234,asymmetric_xy,0.02,0.015,True,,,,,,,,,,False,False,False,True,-20.566233314246674,-0.5610421719287428,-0.4111332485861874,-112.0,-30.239434611501046,-0.48411121202538965,-3.9276730326353566,-72.0,False,False,False,True
SMA20 1x/cash entry-3%/exit-3%,2.0301068513297618,0.40254736712683536,3.431633132198764,-0.2626919445767183,7.72808947225588,303599184.272173,298.0,41989755.009189144,24.129930394431554,asymmetric_xy,0.03,0.03,True,,,,,,,,,,False,False,False,True,-34.1963162076091,-0.8502365626070678,-0.5205380433482509,-140.0,-43.869517504863474,-0.7733056027037146,-4.03707782739742,-100.0,False,False,False,True
SMA20 1x/cash entry-0%/exit-0.5%,2.015327366283602,0.36704577177209274,3.7726186776670083,-0.25748655151248223,7.826922821582411,284243871.9112839,328.0,65897254.30178357,34.88979118329466,asymmetric_xy,0.005,0.0,True,,,,,,,,,,True,True,True,False,26.34116175739618,0.45854054069879124,3.516539784049172,162.0,16.667960460141806,0.5354715006021444,2.7755575615628914e-15,202.0,True,True,True,False
SMA20 1x/cash entry-0.5%/exit-1.5%,2.0000924542137444,0.3761416249502462,3.587389987459959,-0.26159793861320896,7.645673604374316,265492875.99726033,282.0,50442839.23619238,31.81554524361949,asymmetric_xy,0.015,0.005,True,,,,,,,,,,True,True,True,False,30.04159658369496,0.28233820908088214,3.5165397840491774,124.0,20.368395286440588,0.35926916898423533,8.326672684688674e-15,164.0,True,True,True,False
SMA20 1x/cash entry-1%/exit-2%,1.9695573419325618,0.38226837588962226,3.4979820619241497,-0.2328926920314814,8.45693063510265,231309534.7872281,276.0,41400509.61320138,29.78538283062645,asymmetric_xy,0.02,0.01,True,,,,,,,,,,False,False,False,True,-36.03181120826831,-0.701117455325349,-3.232522708508201,-120.0,-45.70501250552268,-0.6241864954219958,-6.74906249255737,-80.0,False,False,False,True
SMA20 1x/cash entry-0%/exit-1%,1.9095898474450475,0.37085084835676396,3.562271443470724,-0.26071952757391165,7.324306948598991,175721070.87547472,288.0,34245068.903779134,33.7877030162413,asymmetric_xy,0.01,0.0,True,,,,,,,,,,True,True,True,False,29.03461494965116,0.2987489285154079,3.5165397840491552,90.0,19.361413652396784,0.3756798884187611,-1.3877787807814457e-14,130.0,True,True,False,False
SMA20 1x/cash entry-0.5%/exit-2%,1.8783123888819948,0.38071044232471046,3.393563127840792,-0.2615978966290978,7.180150961019111,151909113.38755578,258.0,26771324.807516377,30.655452436194896,asymmetric_xy,0.02,0.005,True,,,,,,,,,,True,True,True,False,32.25976558091852,0.1771066750004091,3.516539784049172,72.0,22.586564283664146,0.2540376349037623,2.7755575615628914e-15,112.0,True,True,True,False
SMA20 1x/cash entry-2%/exit-3%,1.844295795094875,0.39772661715471946,3.2135986551694766,-0.26269194457671846,7.020755044722178,129425740.17641698,246.0,17956288.823241744,25.60904872389791,asymmetric_xy,0.03,0.02,True,,,,,,,,,,False,False,False,True,-42.939028658458554,-0.9249044397345929,-2.612477510402239,-146.0,-52.612229955712934,-0.8479734798312397,-6.129017294451408,-106.0,False,False,False,True
SMA20 1x/cash entry-0%/exit-1.5%,1.8258859858763454,0.37325666628649834,3.4352321014633085,-0.2898118661404602,6.3002457773465075,118583764.95038398,274.0,23620054.035795655,32.917633410672856,asymmetric_xy,0.015,0.0,True,,,,,,,,,,True,True,True,False,23.81081804219196,0.0984689385998192,3.5165397840491663,28.0,14.137616744937587,0.1753998985031724,-2.7755575615628914e-15,68.0,True,True,False,False
SMA20 1x/cash entry-1.5%/exit-3%,1.7420115599483705,0.39593030800518,3.104368737162467,-0.26269194457671846,6.631385529370966,79018126.97280887,230.0,11480190.464003364,26.5661252900232,asymmetric_xy,0.03,0.015,True,,,,,,,,,,False,False,False,True,-50.402426572694694,-1.009336498224474,-6.727040272471036,-158.0,-60.07562786994907,-0.9324055383211207,-10.243580056520205,-118.0,False,False,False,True
SMA20 1x/cash entry-0%/exit-2%,1.7236566099417785,0.37782205009750436,3.253487844444186,-0.28981179122831796,5.94750338706494,72181690.67594206,250.0,13210779.420097638,31.69953596287703,asymmetric_xy,0.02,0.0,True,,,,,,,,,,True,False,True,True,20.34580522559928,-0.038230511251180044,3.516539784049147,-16.0,10.672603928344904,0.03870044865217315,-2.220446049250313e-14,24.0,True,True,False,False
