strategy,sma_type,period,leverage,cagr,total_return,max_drawdown,avg_drawdown,ulcer_index,max_dd_duration_days,volatility,downside_volatility,sharpe,sortino,calmar,win_rate,profit_factor,expectancy_ann,best_day,worst_day,best_month,worst_month,beta,alpha,information_ratio,tracking_error,skewness,excess_kurtosis,final_value,total_trading_costs,turnover_notional,cost_drag_pct,pct_days_in_market,borrowing_costs,trading_costs
SMA200d @ 1x/cash,daily,200,1.0,0.2198948874682667,387.4345295462835,-0.10797363210998788,-0.033044876678175905,0.037691632534062075,250.0,0.11534414437770618,0.09647339462241226,1.5526511096738294,1.856358579102167,2.036560993375398,0.6852637158759608,1.3703254210969293,0.17908921376242384,0.051152220494071754,-0.06865683637945197,0.16179657453808094,-0.0710181960640709,0.2875461691914948,0.16250305752345867,-0.11238086575507146,0.1824375555283875,-0.12897464276090564,5.122571755906248,38455.01842508207,0.0,0.0,0.0,71.78060413354531,0.0,8745.447586474558
SMA3m @ 1x/cash,monthly,3,1.0,0.22322823721897023,420.56598523397685,-0.11866588416709574,-0.032835413616326824,0.03813202833964835,259.0,0.11082643137924571,0.08848740523086843,2.350983103271699,2.9444989022868873,1.8811492349784222,0.713016967126193,1.6437895544169867,0.260551067568507,0.07075754864749229,-0.05894405927443824,0.16744874295954126,-0.07375712477283891,0.2722715512747221,0.16888509429515858,0.3320760977852937,0.18357046404760438,0.4219952039695744,6.774075853733227,41735.03253816371,0.0,0.0,0.0,68.20349761526232,0.0,27858.769599545674
SMA150d @ 1x/cash,daily,150,1.0,0.21884441885029537,377.5255682029501,-0.12403683343724728,-0.03502989734422155,0.04134165001933082,367.0,0.11295824625979424,0.09209548537552273,1.8607142503220468,2.2822293367580095,1.764350256176228,0.6939289501590669,1.4608627557838878,0.21018301850698617,0.051152220494071754,-0.04097922480422822,0.16744874295954193,-0.06577773136683518,0.2788721415372353,0.16318385286726977,0.057819550970751504,0.18317877137096594,0.0577902217194429,4.223326894425049,37474.03125209206,0.0,0.0,0.0,70.90620031796503,0.0,12369.0120602419
SMA10m @ 1x/cash,monthly,10,1.0,0.22277429045023478,415.8984244945438,-0.1261064811192276,-0.03295784151706397,0.037147455604568065,250.0,0.11597976685987241,0.09665662810440558,1.536195820561655,1.8433048681089912,1.7665570276250309,0.6824807845216009,1.3645404509305885,0.17816763311985112,0.051152220494071754,-0.06865683637945197,0.16179657453808094,-0.07551221148514398,0.29066431499983897,0.16476010446959855,-0.11769111224158892,0.18203643988947837,-0.12763774048694518,5.0530723672692615,41272.944024959834,0.0,0.0,0.0,72.28404875463698,0.0,9047.983794958385
SMA8m @ 1x/cash,monthly,8,1.0,0.21886487547607425,377.71617940768016,-0.13662288008216955,-0.03641818868471713,0.042744480144484495,354.0,0.11509962493320501,0.09608997443006907,1.676703049591336,2.0084081953083843,1.6019635608943512,0.6878313891834571,1.4068263912774208,0.1929878921323238,0.051152220494071754,-0.06865683637945197,0.1674487429595417,-0.08162593734353552,0.2865585476757485,0.16167016659269756,-0.036177810188009765,0.18253763929602984,-0.10756910881805838,5.171651914989563,37492.901761360336,0.0,0.0,0.0,71.54213036565977,0.0,11736.340658606494
SMA6m @ 1x/cash,monthly,6,1.0,0.2149904356820207,343.22186602055837,-0.13728739880881302,-0.03579525410053287,0.041983121128509285,323.0,0.11263492678165386,0.09188553394512051,1.956796752613086,2.398676369326984,1.565988120886588,0.6968451749734889,1.4947679258298938,0.220403658957153,0.05543448436034493,-0.05894405927443824,0.1674487429595417,-0.06266734346134428,0.277507888468438,0.15960216329395496,0.11352193669856613,0.1833298071144772,0.10693690704592784,5.2097085923890605,34077.964736035276,0.0,0.0,0.0,70.57498675145733,0.0,12771.661491501383
SMA250d @ 1x/cash,daily,250,1.0,0.21640609778101916,355.45791171346445,-0.13969387908531114,-0.033353903906900906,0.038965064302618486,267.0,0.11804031549797493,0.10015058893745658,1.4216141401723799,1.6755546163300645,1.54914516797733,0.679697853167241,1.3339838796237755,0.16780778162233007,0.051152220494071754,-0.06865683637945197,0.16179657453808094,-0.0951162682235509,0.3008055993609915,0.1563677955719744,-0.17585751385374887,0.18073679014389954,-0.22648487754337512,5.5206654494430305,35289.33325963298,0.0,0.0,0.0,72.76099629040806,0.0,8884.746549989084
SMA12m @ 1x/cash,monthly,12,1.0,0.2183042498609875,372.5257923525862,-0.1429865686168709,-0.03239835380132651,0.037674958104206194,250.0,0.11900910536853887,0.10073062662672203,1.384640073636037,1.63589547627353,1.5267465467048764,0.676914921812881,1.3231785769212743,0.1647847764208525,0.051152220494071754,-0.06865683637945197,0.16179657453808094,-0.09245304165232093,0.304555532622777,0.1575174920815907,-0.19294710772517001,0.18039621421881435,-0.2276532852545045,5.402755239693742,36979.053442906035,0.0,0.0,0.0,73.13195548489666,0.0,7598.2460753366895
SMA300d @ 1x/cash,daily,300,1.0,0.21137924543125308,313.81966016129076,-0.14298656861687153,-0.03291600880466779,0.038292442693148514,250.0,0.1208052655294182,0.1024750788104688,1.2407412235882291,1.4626782892852848,1.4783153933684343,0.672806785051683,1.2849110857798363,0.14988807296887122,0.051152220494071754,-0.06865683637945197,0.1617965745380805,-0.09245304165232138,0.31472165920434814,0.14856341312233828,-0.27777573613321244,0.1789343875817701,-0.22853121204301566,5.495305485969696,31167.146355967783,0.0,0.0,0.0,73.59565447800742,0.0,4934.270432650546
SMA80d @ 1x/cash,daily,80,1.0,0.22105709075928748,398.6896414636426,-0.15133469685361434,-0.03367946023578115,0.039417398790535595,382.0,0.10961171259881594,0.0893342966688455,2.2248171254103446,2.7298140180069113,1.4607165134979947,0.7091728525980912,1.58905447652696,0.2438660153354025,0.05543448436034493,-0.05894405927443824,0.16744874295954126,-0.06113265509295418,0.26369826254475953,0.16842510514367864,0.2392801300863194,0.1850312899800236,0.15640877690718097,5.263359069568556,39569.27450490062,0.0,0.0,0.0,68.60095389507154,0.0,20197.58313465105
