strategy,sma_type,period,leverage,cagr,total_return,max_drawdown,avg_drawdown,ulcer_index,max_dd_duration_days,volatility,downside_volatility,sharpe,sortino,calmar,win_rate,profit_factor,expectancy_ann,best_day,worst_day,best_month,worst_month,beta,alpha,information_ratio,tracking_error,skewness,excess_kurtosis,final_value,total_trading_costs,turnover_notional,cost_drag_pct,pct_days_in_market,borrowing_costs,trading_costs
Buy & Hold 1x SPX,none,0,1.0,0.19253480013700108,195.7060829654066,-0.4857631397702356,-0.06878589896616477,0.10225269762621181,946.0,0.1911660874354627,0.14887556687396802,0.5188605167299722,0.6662512660118379,0.396355310590403,0.537717088691502,1.1024802106721439,0.09918853490801123,0.11580036951513706,-0.11984055240393443,0.18655284183240894,-0.16942452401777075,,,,,-0.1444456760893708,9.95590215331308,19670.60829654066,0.0,0.0,0.0,100.0,0.0,0.0
SMA20d @ 1x/cash,daily,20,1.0,0.25632044127671594,937.8707316247163,-0.16919120234236995,-0.03003253748469717,0.036911783250138865,270.0,0.10983838198701662,0.08002892385571381,3.9177344824496028,5.377026153479672,1.514974997092544,0.7637857900318133,2.4884155774001298,0.4303176166070063,0.07075754864749229,-0.05267708721725084,0.16639135654663506,-0.05010562934893992,0.2748282325702617,0.20146700597603395,1.2655173577100869,0.18231746171032728,1.2805091275009,9.427284604413025,92948.20243084691,0.0,0.0,0.0,62.90408055113937,0.0,89789.04832951247
SMA20d @ 2x/cash,daily,20,2.0,0.37634603466148686,14495.373022321124,-0.31511070630039273,-0.06901220936570658,0.0838962621278999,715.0,0.21964501250879023,0.1599592511701436,3.7984202744182274,5.215728772078403,1.1943295709626538,0.7605671127600371,2.426213428509229,0.834304068688234,0.14148374808873,-0.10539306332320135,0.32703903769416653,-0.10267635498651617,0.5494578770678384,0.2666788005919837,3.039968274751527,0.20878914091337672,1.2807932245909894,9.432746866055979,1435140.9292097914,0.0,0.0,0.0,62.90408055113937,103788.39601020348,1802453.6806280923
SMA20d @ 3x/cash,daily,20,3.0,0.4852062485712254,142198.32731878525,-0.43885569830026244,-0.1126842387425812,0.13778679466829358,732.0,0.32945421261829,0.23991918080459088,3.7586118900357235,5.16128188090982,1.105616835899554,0.7601696038160859,2.405754673970273,1.238290520769462,0.21220994752996766,-0.15810903942915186,0.5043912720299137,-0.15456606466085765,0.8240875215654155,0.32072521573290097,3.717641139134076,0.2793972784614859,1.2808582629442424,9.434275141213547,14077733.40455974,0.0,0.0,0.0,62.90408055113937,1691081.3912958603,20186582.6912887
SMA50d @ 1x/cash,daily,50,1.0,0.2265449244340969,456.23512595507975,-0.1585445865306661,-0.03624954886286723,0.042882693162496086,464.0,0.10952457260636347,0.08757978015690329,2.6538543667890893,3.318828441466412,1.4289035620290826,0.7279957582184517,1.7768713332529291,0.29066226528210637,0.07075754864749229,-0.05894405927443824,0.1674487429595417,-0.05834905812499713,0.26700956893184197,0.17325202953356544,0.49458299061943806,0.18413605564781454,0.5626995876889417,7.3708803195990305,45266.27746955289,0.0,0.0,0.0,66.01748807631161,0.0,30860.72300658949
SMA50d @ 2x/cash,daily,50,2.0,0.31353735110758296,3569.9714990436387,-0.30080195035051094,-0.08118331648677606,0.09593384369079522,535.0,0.21902791888482182,0.1751434123346332,2.5330403740843415,3.1677272595722705,1.0423381588524676,0.7249238107857426,1.733870235752076,0.5548065615869239,0.14148374808873,-0.1179179995011439,0.23134215859438978,-0.11853590678463699,0.5338907194981903,0.20697719254693933,1.6784920993054457,0.2116273633548633,0.5622319371554966,7.371010226430042,353526.1784053202,0.0,0.0,0.0,66.01748807631161,27417.209380942357,316066.7276991889
SMA50d @ 3x/cash,daily,50,3.0,0.387421930629827,18435.251813027215,-0.42693094972395196,-0.13328620095667168,0.15651311144533162,748.0,0.3285338375719124,0.26271857351569694,2.4927443210852895,3.117217206733999,0.9074580582183818,0.7246588048231085,1.7197153125319327,0.8189508578917415,0.21220994752996766,-0.17689193972784956,0.29704181342940617,-0.17667856564904771,0.8007718700645385,0.22759450840907122,2.1945732301309993,0.28222305147494553,0.5620631687097021,7.370826305258105,1825188.9294896943,0.0,0.0,0.0,66.01748807631161,231658.44824718157,1827663.8659332183
SMA80d @ 1x/cash,daily,80,1.0,0.22105709075928748,398.6896414636426,-0.15133469685361434,-0.03367946023578115,0.039417398790535595,382.0,0.10961171259881594,0.0893342966688455,2.2248171254103446,2.7298140180069113,1.4607165134979947,0.7091728525980912,1.58905447652696,0.2438660153354025,0.05543448436034493,-0.05894405927443824,0.16744874295954126,-0.06113265509295418,0.26369826254475953,0.16842510514367864,0.2392801300863194,0.1850312899800236,0.15640877690718097,5.263359069568556,39569.27450490062,0.0,0.0,0.0,68.60095389507154,0.0,20197.58313465105
SMA80d @ 2x/cash,daily,80,2.0,0.3021566881232365,2749.593933108835,-0.29223243930744136,-0.08127500190561258,0.09584792032971941,780.0,0.21920740237123004,0.1787011294478714,2.1033005672116043,2.5800567414929816,1.033960120373065,0.7061083874387174,1.5513021733837968,0.4610590537443905,0.1106842465052796,-0.1179179995011439,0.23134215859438934,-0.12419153116314763,0.5272941519685931,0.19691314971768858,1.225978067582196,0.213272452794444,0.15483552681839466,5.259908799450691,272308.79937777465,0.0,0.0,0.0,68.60095389507154,24267.49643753747,187343.91840721414
SMA80d @ 3x/cash,daily,80,3.0,0.37010429268015743,12647.73791643503,-0.4175016976177369,-0.1407618036869855,0.16725209458169202,863.0,0.32880566471536493,0.2680685296359188,2.0627749608283565,2.5301444114852143,0.8864737432014554,0.7058433814760832,1.5388739004392955,0.6782520921533786,0.16593400865021427,-0.17689193972784956,0.29704181342940705,-0.1851967352553312,0.7908900413924271,0.21224920148467036,1.6843610468538748,0.28417920780612865,0.15430780672474748,5.25860324728029,1252225.053727068,0.0,0.0,0.0,68.60095389507154,189217.7664114238,1000051.5119335226
