strategy,cagr,ann_volatility,sharpe,max_drawdown,calmar,end_$,rebalances,trading_costs_total,pct_cash,family,sma_window,tier2_entries,tier3_entries,lead_only_days,guard_blocked_days,pct_days_cash,pct_days_1x,pct_days_2x,pct_days_3x,max_leverage,exit_buffer,entry_buffer,confirm_days,fast,slow,min_hold_days
Guarded max 1x + min hold 5d,0.5189215235852787,0.4683402011854204,1.2705663712882302,-0.5736721745006292,0.9045610832301393,27634.664364154458,136,3750.5149153897105,17.111368909512763,min_hold,,,,,,,,,,,,,,,,5.0
SMA20 1x/cash + min hold 5d,0.5529124248124331,0.4574902295601108,1.3442066086866942,-0.4967759697579304,1.1130015509442956,37234.99642631872,140,4808.387423527574,18.85150812064965,min_hold,,,,,,,,,,,,,,,,5.0
SMA20 1x/cash in+1%/out-5%,1.2291457079492405,0.39619505378363923,2.4127119387603906,-0.39130921919285067,3.1411110386936096,4853913.101460311,142,498469.1805517661,26.595127610208817,buffer,20.0,,,,,,,,,,0.05,0.01,,,,
SMA50 1x/cash exit-2% below MA,1.0265454589540841,0.38475373347715386,2.239851256658265,-0.3070237490184618,3.3435376326290522,1344473.8895477753,146,138161.24492255307,30.249419953596288,exit_buffer,50.0,,,,,,,,,,0.02,,,,,
SMA20 1x/cash out-1% 3d confirm,0.35232945424468975,0.3947153124515292,1.1487405526499224,-0.5583914177403454,0.6309721873421138,5777.035806680503,150,1701.589611474525,32.77262180974478,confirm,,,,,,,,,,,0.01,,3.0,,,
SMA20 1x/cash in+0.5%/out-5%,1.2870802799135443,0.3998704870492503,2.477161758420975,-0.39130985586715017,3.2891588612337648,6858364.899054661,152,761002.3065720652,25.66705336426914,buffer,20.0,,,,,,,,,,0.05,0.005,,,,
SMA20 1x/cash exit-5% below MA,1.2826161738249189,0.4018426281422336,2.472747346880037,-0.3959041589070408,3.239713817015194,6680185.486786718,158,740537.6560627157,24.94199535962877,exit_buffer,20.0,,,,,,,,,,0.05,,,,,
SMA20 1x/cash in+0%/out-5%,1.2826161738249189,0.4018426281422336,2.472747346880037,-0.3959041589070408,3.239713817015194,6680185.486786718,158,740537.6560627157,24.94199535962877,buffer,20.0,,,,,,,,,,0.05,0.0,,,,
SMA30 1x/cash in+1%/out-3%,1.1208233172474689,0.37934031658283385,2.413675174365137,-0.30898539222387283,3.6274314108525414,2480951.8644930013,162,308879.2299726716,31.322505800464036,buffer,30.0,,,,,,,,,,0.03,0.01,,,,
SMA20 1x/cash out-2% 2d confirm,0.4142140037067603,0.39634390892807725,1.2796285319540537,-0.492333011839853,0.8413289252305848,10556.504233909318,166,2466.579769335722,31.438515081206496,confirm,,,,,,,,,,,0.02,,2.0,,,
SMA50 1x/cash exit-1.5% below MA,1.0780381380555761,0.3819260587867307,2.361042482548792,-0.2626919445767184,4.103811176214953,1885252.2314974272,168,261659.55109435288,30.858468677494198,exit_buffer,50.0,,,,,,,,,,0.015,,,,,
SMA30 1x/cash in+0.5%/out-3%,1.190883332927862,0.3825227176185525,2.4970448517163693,-0.29510162010642466,4.035502524514725,3844023.318232336,170,454566.915194816,30.539443155452435,buffer,30.0,,,,,,,,,,0.03,0.005,,,,
SMA20 1x/cash out-0% 3d confirm,0.3211343642514981,0.38849816942055065,1.1235025771197806,-0.5038956625377152,0.6373032913881493,4218.417818410764,170,1423.9671363205102,35.29582366589327,confirm,,,,,,,,,,,0.0,,3.0,,,
SMA30 1x/cash exit-3% below MA,1.226544357487645,0.38357164097228674,2.537695139842141,-0.2926016041608958,4.191857939415781,4778150.052121296,172,601292.2623749103,29.814385150812065,exit_buffer,30.0,,,,,,,,,,0.03,,,,,
SMA30 1x/cash in+0%/out-3%,1.226544357487645,0.38357164097228674,2.537695139842141,-0.2926016041608958,4.191857939415781,4778150.052121296,172,601292.2623749103,29.814385150812065,buffer,30.0,,,,,,,,,,0.03,0.0,,,,
SMA50 1x/cash exit-1% below MA,1.1120189254471442,0.38091728789212637,2.4246720762975884,-0.2626919445767187,4.233167207464107,2345724.206028465,176,322829.7405587104,31.29350348027842,exit_buffer,50.0,,,,,,,,,,0.01,,,,,
