strategy,cagr,total_return,max_drawdown,avg_drawdown,ulcer_index,max_dd_duration_days,volatility,downside_volatility,sharpe,sortino,calmar,win_rate,profit_factor,expectancy_ann,best_day,worst_day,best_month,worst_month,beta,alpha,information_ratio,tracking_error,skewness,excess_kurtosis,final_value,total_trading_costs,turnover_notional,cost_drag_pct,max_dd_check,risk_off_days,rebalances,pct_days_3x,pct_days_cash,borrowing,trading
(Ref) SMA20 @ 3x no DD stop,0.4852062485712254,142198.32731878525,-0.43885569830026244,-0.1126842387425812,0.13778679466829358,732.0,0.32945421261829,0.23991918080459088,3.7586118900357235,5.16128188090982,1.105616835899554,0.7601696038160859,2.405754673970273,1.238290520769462,0.21220994752996766,-0.15810903942915186,0.5043912720299137,-0.15456606466085765,0.8240875215654155,0.32072521573290097,3.717641139134076,0.2793972784614859,1.2808582629442424,9.434275141213547,14077733.40455974,0.0,0.0,0.0,-0.43885569830026244,0,868,62.90408055113937,37.09591944886063,1691081.3912958603,20186582.6912887
(1) SMA20 @ 3x + portfolio DD stop 15%,0.17829142887700344,136.1794121685095,-0.15000000000000008,-0.10658791369051146,0.1110215846292482,641.0,0.17950810097228462,0.2072396905494693,2.3512420376990684,2.0366127356902934,1.188609525846689,0.9142705710878495,2.5194953774821784,0.4220669931135646,0.21220994752996766,-0.10451325381922366,0.29285127965277935,-0.13183998671176989,0.25789331319942826,0.12681806299401782,0.9487162438991729,0.23450140159955532,3.176941809202691,37.813490271114176,13580.76180468244,0.0,0.0,0.0,-0.15000000000000008,4940,334,22.164811870694223,77.83518812930578,1487.6288844945896,30463.336425738955
(4) SMA20 @ 3x + RSI>55 + portfolio DD stop 15%,0.2613166238157205,1056.5709857881795,-0.15000000000000008,-0.09403526617970578,0.10091702858089448,655.0,0.20989887635414017,0.19611137714582436,3.0587320988750886,3.2737745253036787,1.742110825438136,0.9011527759374586,3.004777072363308,0.6420244306222218,0.21220994752996766,-0.10543308670169749,0.30651124546375375,-0.1278206424495203,0.3403799385046721,0.19337961181444163,1.8204143703971538,0.24303957034065532,2.9198440535145997,24.167670806160753,104699.52759302978,0.0,0.0,0.0,-0.15000000000000008,3542,477,27.172760996290407,72.8272390037096,13621.743953476918,224301.24156797535
(5) SMA20 @ 3x + MACD bull + index DD < 15%,0.04041514941377744,2.2819303124411334,-0.6345795954789384,-0.3254706431736675,0.3458163736854829,3731.0,0.19960564810035725,0.19230855967650123,2.6588092703786637,2.759696960353349,0.06368806955300033,0.875182191599311,2.3474312421152326,0.5307133475891711,0.14980930995892075,-0.10543308670169749,0.2900739845024545,-0.19656898259441102,0.2877626626922919,-0.017019890837802677,1.3540429910945895,0.24454293221705908,2.11504546909434,17.56642820640217,324.9111009316722,0.0,0.0,0.0,-0.6345795954789384,0,558,32.0217276099629,67.97827239003709,139.71114374436493,3791.7250274139797
