Strategy,cagr,total_return,max_drawdown,avg_drawdown,ulcer_index,max_dd_duration_days,volatility,downside_volatility,sharpe,sortino,calmar,win_rate,profit_factor,expectancy_ann,best_day,worst_day,best_month,worst_month,beta,alpha,information_ratio,tracking_error,skewness,excess_kurtosis,final_value,total_trading_costs,turnover_notional,cost_drag_pct,pct_days_levered,pct_days_cash,avg_leverage,borrowing_costs,trading_costs,rebalances,crash_07_09,calendar_2008
Buy & Hold 1x SPX,0.19253480013700108,195.7060829654066,-0.4857631397702356,-0.06878589896616477,0.10225269762621181,946.0,0.1911660874354627,0.14887556687396802,0.5188605167299722,0.6662512660118379,0.396355310590403,0.537717088691502,1.1024802106721439,0.09918853490801123,0.11580036951513706,-0.11984055240393443,0.18655284183240894,-0.16942452401777075,,,,,-0.1444456760893708,9.95590215331308,19670.60829654066,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,-0.37595493994012186,-0.3758465002718241
Buy & Hold 2x,0.21109044014092793,311.5760454204139,-0.8226211270989978,-0.2180587651849042,0.2871357403461031,1702.0,0.38233106879462975,0.29737328579546635,0.4441724957672528,0.5710699418799674,0.2566071222670219,0.5334570027825626,1.0871260854124503,0.1698209450358719,0.23156859617339143,-0.23971225560161427,0.27302128154148453,-0.3492372628213257,1.5639288272083267,-0.10105677972743621,-0.13861863727159335,0.21476736280953082,-0.1425034120975275,9.954271758004644,30945.028496620973,1.0,0.0,0.010101010101010102,100.0,0.0,2.0,3490.601825222335,1.0,1,-0.7504406492452207,-0.6779354599208134
Buy & Hold 3x,0.1846357832554293,160.15478651951645,-0.9701890780158186,-0.43803892083951185,0.5208683609410013,4205.0,0.5734975065128406,0.4459600280058229,0.4192753280233292,0.5391814065465818,0.19030907215842607,0.5327944878759772,1.0820536875286157,0.2404533551637326,0.3473368228316458,-0.3595839587992941,0.37216429772387194,-0.5191398823887803,2.345887662138778,-0.2835839330901235,0.10368445039703744,0.3940962295534066,-0.14185477678663286,9.953626388849113,15793.169078912613,2.0,0.0,0.02040816326530612,100.0,0.0,3.0,3246.3726750542796,2.0,1,-0.9207521234421495,-0.8609107994385771
200d SMA + cash (1x),0.2198948874682667,387.4345295462835,-0.10797363210998788,-0.033044876678175905,0.037691632534062075,250.0,0.11534414437770618,0.09647339462241226,1.5526511096738294,1.856358579102167,2.036560993375398,0.6852637158759608,1.3703254210969293,0.17908921376242384,0.051152220494071754,-0.06865683637945197,0.16179657453808094,-0.0710181960640709,0.2875461691914948,0.16250305752345867,-0.11238086575507146,0.1824375555283875,-0.12897464276090564,5.122571755906248,38455.01842508207,8745.447586474558,0.0,88.33785440883392,0.0,28.21939586645469,0.7178060413354531,0.0,8745.447586474558,206,0.18771908461789022,0.013358401094240913
200d SMA @ 2x / cash,0.298641842459765,2535.387934417268,-0.21291824103747356,-0.06911285815281965,0.0806496364806385,371.0,0.23067342653865713,0.19304503501950376,1.4362931897081865,1.7162558547576812,1.4026127634935897,0.6818603418576918,1.3393901512868198,0.33131467158412486,0.10207864733129478,-0.13753391084657318,0.22409477172772907,-0.14126333706676486,0.5750307112343491,0.18387048283777102,0.6131338287591078,0.2148355892412097,-0.13255364955411103,5.123455412468025,251102.40550730954,69876.94323318546,0.0,705.8277094261158,71.78060413354531,28.21939586645469,1.4356120826709062,22750.164070618084,69876.94323318546,206,0.13493081016361907,0.013358401094240913
200d SMA @ 3x / cash,0.3631026263811319,10845.863097945383,-0.31345207764040706,-0.10972461360417007,0.12794568920183783,473.0,0.3460051562107714,0.28961742130633844,1.3974939989370394,1.6695823311484037,1.1583991693865372,0.6813303299324235,1.3291980060498745,0.48354012940582586,0.1530050741685178,-0.20641098531369442,0.3473681207764707,-0.20835153438676068,0.8625152532772032,0.19095173708195198,0.9703537636580791,0.2926236140275713,-0.13374376269671004,5.123621985347211,1073839.446696593,316212.2002990135,0.0,3194.0626292829647,71.78060413354531,28.21939586645469,2.1534181240063592,161982.03209026696,316212.2002990135,206,0.0803566440451382,0.013358401094241357
10m SMA + cash (1x),0.22277429045023478,415.8984244945438,-0.1261064811192276,-0.03295784151706397,0.037147455604568065,250.0,0.11597976685987241,0.09665662810440558,1.536195820561655,1.8433048681089912,1.7665570276250309,0.6824807845216009,1.3645404509305885,0.17816763311985112,0.051152220494071754,-0.06865683637945197,0.16179657453808094,-0.07551221148514398,0.29066431499983897,0.16476010446959855,-0.11769111224158892,0.18203643988947837,-0.12763774048694518,5.0530723672692615,41272.944024959834,9047.983794958385,0.0,91.39377570665036,0.0,27.71595124536301,0.7228404875463699,0.0,9047.983794958385,196,0.21761724408029792,0.01335840109424069
10m SMA @ 2x / cash,0.30459413567495064,2908.299468808096,-0.24626204623394685,-0.06833571496331324,0.07824049288133689,274.0,0.23194561008837875,0.19341338020276727,1.4203386022101738,1.7033015155225562,1.2368699941102121,0.6790777792500331,1.3339194553416003,0.3294413036217138,0.10207864733129478,-0.13753391084657318,0.22409477172772885,-0.14960902837132717,0.5812679081434186,0.1885778832924511,0.6044007955437692,0.2148402192388701,-0.13120698881897647,5.053839663251215,288020.6474120015,77937.51608460413,0.0,787.2476372182235,72.28404875463698,27.71595124536301,1.4456809750927397,26454.727222702357,77937.51608460413,196,0.19123065888106305,0.013358401094240024
10m SMA @ 3x / cash,0.37223376700147415,13250.91592687139,-0.35729363469012776,-0.10600484720813491,0.1237748368217214,561.0,0.34791388871390333,0.2901709504931838,1.3817067662937663,1.656661265735037,1.041814717254349,0.6785477673247649,1.3238308954679363,0.48071497412357655,0.1530050741685178,-0.20641098531369442,0.3473681207764703,-0.2199059429644168,0.8718715012869976,0.1982154482171114,0.9582145578458025,0.2933823824975455,-0.13239396452226046,5.053970674937184,1311939.6767602677,378339.05723979656,0.0,3821.6066387858236,72.28404875463698,27.71595124536301,2.16852146263911,201520.26986368155,378339.05723979656,196,0.15956862168720432,0.013358401094240913
