strategy,start_date,end_date,trading_days,cagr,ann_volatility,sharpe,max_drawdown,end_$,rebalances,pct_days_3x,pct_cash
3x when 3x benchmark > SMA20 (tier-native),1996-06-05,2026-06-04,7548,0.32865412091421375,0.3060933219629363,3.845638724265089,-0.5218242486272087,498295.0066348771,840,59.22098569157392,40.77901430842607
3x when SPX > SMA20 (index signal),1996-06-05,2026-06-04,7548,0.3305522405434236,0.3247960588329145,3.735955513986863,-0.6257915787777798,520096.27332625486,868,63.049814520402755,36.950185479597245
3x when 3x benchmark >= SMA20 - 0.75% (tier-native lead),1996-06-05,2026-06-04,7548,0.3787803571342163,0.3149257094644555,3.6978285185860593,-0.47830281133959157,1513264.8586986999,788,63.46051934287228,36.53948065712772
3x tier-native SMA + positive 20d mom,1996-06-05,2026-06-04,7548,0.1222642971272403,0.2714878861787079,3.5061126230979873,-0.818442278050978,3149.8064618829435,822,51.73555908850026,48.26444091149973
Guarded signals -> binary 3x/cash (SPX),1996-06-05,2026-06-04,7548,0.4519218700672121,0.3549908261384659,3.4003960193053144,-0.48074446981624247,7132923.06899356,764,71.25066242713302,28.749337572866985
Buy & hold 3x ETP,1996-06-05,2026-06-04,7548,0.12516543087371979,0.5561442373301843,0.2937091298181085,-0.9840253623085089,3369.047699239777,1,100.0,0.0
