strategy,median_cagr,p10_cagr,p90_cagr,median_max_drawdown,p10_max_drawdown,p90_max_drawdown,median_sharpe,median_end_$,prob_cagr_gt_original_full_sample,prob_max_dd_worse_35pct,prob_max_dd_worse_40pct,prob_max_dd_worse_50pct,median_pct_days_2x,median_pct_days_3x
Lead 0.75 default X/Y,0.35547848161160345,0.2449663728372909,0.47353534361613714,-0.2963564412935906,-0.40552879105195483,-0.20242518233686665,3.1587935201760224,1864.0608308918477,0.745,0.255,0.13,0.03,18.611111111111114,24.166666666666668
Lead 0.75 selected X/Y,0.34388175425436573,0.244559307022976,0.45086687195370007,-0.2863574201452617,-0.3970561824336121,-0.19042654585674637,3.220443500317944,1715.692331047229,0.695,0.23,0.1,0.02,30.892857142857146,15.674603174603174
Original strict SMA20,0.3016734673834284,0.20625130460867258,0.4138207051841426,-0.2895741763495508,-0.4277282100984669,-0.18737083717619818,3.5029744209393394,1261.1692164915862,0.52,0.285,0.165,0.025,14.86111111111111,20.654761904761905
