asset,ticker,strategy,start_date,end_date,trading_days,cagr,ann_volatility,sharpe,max_drawdown,calmar,end_$,rebalances,trading_costs_total,pct_cash,pct_invested,pct_days_cash,pct_days_1x,tier2_entries,tier3_entries,lead_only_days,guard_blocked_days
LQQ3.L (3x Nasdaq ETP),LQQ3.L,Buy & hold (always in ETP/index),2012-12-13,2026-06-15,3455,0.45251152930418836,0.5633921424976549,0.9050835959563664,-0.7912873611837571,0.571867505411986,15441.136840752684,2,0.19990000000000002,0.02894356005788712,99.97105643994212,,,,,,
LQQ3.L (3x Nasdaq ETP),LQQ3.L,SMA20 1x/cash,2012-12-13,2026-06-15,3455,0.29556870636003274,0.38188472538257934,0.8356416509202568,-0.4810184217933158,0.6144644216703884,3297.0682860369393,371,379.2501734040859,36.26628075253256,63.73371924746744,,,,,,
LQQ3.L (3x Nasdaq ETP),LQQ3.L,Guarded A5/B25 SMA20 Lead (max 1x),2012-12-13,2026-06-15,3455,0.36244197321361127,0.39173170595008544,0.9497301151015825,-0.5068020033524225,0.7151549733744335,6505.375894642196,331,495.2210560817554,33.34298118668596,66.65701881331404,33.31403762662807,66.68596237337192,22.0,12.0,114.0,1108.0
Nasdaq 100 index,^NDX,Buy & hold (always in ETP/index),1990-01-02,2026-06-15,9180,0.15932117342985763,0.2638461906680426,0.6383682334505216,-0.826152790963191,0.19284710427971685,21863.973981779494,2,0.19990000000000002,0.010893246187363835,99.98910675381264,,,,,,
Nasdaq 100 index,^NDX,SMA20 1x/cash,1990-01-02,2026-06-15,9180,0.08658627287539034,0.16317606764972772,0.6314638818337647,-0.4866196091028886,0.17793420416209108,2060.963509090145,1075,661.2313471538017,38.453159041394336,61.546840958605664,,,,,,
Nasdaq 100 index,^NDX,Guarded A5/B25 SMA20 Lead (max 1x),1990-01-02,2026-06-15,9180,0.08487681099235522,0.17413386738386166,0.5784740854248207,-0.6071459379863924,0.13979639108490177,1946.0182756058568,991,594.863048372379,30.980392156862745,69.01960784313725,30.980392156862745,69.01960784313725,17.0,4.0,734.0,2728.0
