strategy,cagr,ann_volatility,sharpe,max_drawdown,end_$,rebalances,pct_days_cash,calmar,trading_costs_total,funding_costs_total,pct_days_1x,pct_days_2x,pct_days_3x,tier2_entries,tier3_entries,lead_only_days,guard_blocked_days,pct_cash
Buy & hold 1x,0.14040914791762704,0.1779837733057887,0.691574840884742,-0.4160455833986049,2959.32307366633,2,0.0,,,,,,,,,,,
SMA20 1x/cash,0.0768882375736828,0.13062898474968057,0.5640982776729602,-0.2911469067960713,674.9381215281091,745,43.935891508707044,,,,,,,,,,,
Guarded A5/B25 SMA20 Lead (max 1x),0.06902061602869125,0.14249664460264005,0.44728207159504824,-0.4765941198668464,558.6407066195206,703,32.17753120665742,0.1448205362835249,210.3145146272022,0.0,67.82246879334258,0.0,0.0,10.0,2.0,814.0,1972.0,32.17753120665742
Guarded A5/B25 lead 0.75% (full 2x/3x),0.048173281965000925,0.30644148811641153,0.3335003737237389,-0.8576519774672082,336.1600398425153,716,32.17753120665742,,,,4.838958237016489,45.369086145785175,17.614424410540916,,,,,
