strategy,cagr,ann_volatility,sharpe,max_drawdown,calmar,end_$,rebalances,trading_costs_total,funding_costs_total,pct_days_cash,pct_days_1x,pct_days_2x,pct_days_3x,tier2_entries,tier3_entries,lead_only_days,guard_blocked_days,pct_cash,simulation
Guarded A5/B25 SMA20 Lead (max 1x),0.09557489715284495,0.15074118632018646,0.4642769277742105,-0.23625762663562586,0.4045367699399084,241.0727490381357,280,45.35756116184205,0.0,33.57142857142857,66.42857142857143,0.0,0.0,4,1,312,811,33.611111111111114,0
Guarded A5/B25 SMA20 Lead (max 1x),0.1340732279880219,0.14455731525655538,0.7978709086398996,-0.19940435596496747,0.6723686016747632,336.4360888208341,251,58.10234908152746,0.0,29.484126984126984,70.51587301587303,0.0,0.0,5,1,291,625,29.484126984126984,1
Guarded A5/B25 SMA20 Lead (max 1x),0.10336601374078525,0.13855956546699535,0.5724508232849552,-0.2753045836155184,0.37546056220096546,258.1363272837233,270,49.11536018789736,0.0,33.57142857142857,66.42857142857143,0.0,0.0,4,1,277,814,33.611111111111114,2
Guarded A5/B25 SMA20 Lead (max 1x),0.10770478551332352,0.15245099971963816,0.5763096139181819,-0.18387424703927627,0.5857524218185778,268.1010071861453,303,54.6343616163067,0.0,32.06349206349206,67.93650793650794,0.0,0.0,5,0,306,625,32.1031746031746,3
Guarded A5/B25 SMA20 Lead (max 1x),0.08510226151464528,0.13909269400520247,0.43956287605961014,-0.2055680825120654,0.4139857728626251,219.73043533418212,266,43.3687923929408,0.0,30.0,70.0,0.0,0.0,4,0,317,723,30.03968253968254,4
Guarded A5/B25 SMA20 Lead (max 1x),0.10290592310486435,0.1382265341514409,0.5490495439155364,-0.18779471828834088,0.5479702733005628,257.0993753654579,252,42.856171868846545,0.0,32.5,67.5,0.0,0.0,4,0,366,744,32.53968253968254,5
Guarded A5/B25 SMA20 Lead (max 1x),0.087052641907863,0.13159525163957067,0.5288102397082415,-0.3052994674329097,0.28513853181546417,223.57180942477783,291,55.86062156806063,0.0,32.93650793650794,67.06349206349206,0.0,0.0,3,0,336,675,32.93650793650794,6
Guarded A5/B25 SMA20 Lead (max 1x),0.07736315522717918,0.1304575661716657,0.38158672874016425,-0.3461096061534414,0.22352212666666535,205.06419623644018,302,47.074821379185025,0.0,33.53174603174603,66.46825396825396,0.0,0.0,6,2,316,765,33.53174603174603,7
Guarded A5/B25 SMA20 Lead (max 1x),0.15292384665519854,0.14571699148331135,0.7641447524706814,-0.22464967199096694,0.6807214330646676,394.4560272748927,239,42.926997590896,0.0,31.26984126984127,68.73015873015873,0.0,0.0,7,2,275,713,31.26984126984127,8
Guarded A5/B25 SMA20 Lead (max 1x),0.1774304309039414,0.15510112287424216,0.9977716315164427,-0.1761708707094802,1.007149650730502,483.232633187238,220,63.12770169164784,0.0,26.944444444444443,73.05555555555556,0.0,0.0,6,0,266,604,26.984126984126984,9
Guarded A5/B25 SMA20 Lead (max 1x),0.07523405706524633,0.13657641726183703,0.27390333471365297,-0.28114762507717517,0.26759627453582274,201.18641958142754,316,38.9416635885579,0.0,33.45238095238095,66.54761904761905,0.0,0.0,4,1,365,795,33.492063492063494,10
Guarded A5/B25 SMA20 Lead (max 1x),0.08501478151105157,0.12742663233579055,0.49615044350727266,-0.2506797554860555,0.3391370050852817,219.55953386501042,287,51.333147366610724,0.0,35.079365079365076,64.92063492063492,0.0,0.0,3,0,330,822,35.07936507936508,11
Guarded A5/B25 SMA20 Lead (max 1x),0.11712319268309623,0.14455396242591623,0.4575921053328968,-0.2392542673593158,0.4895343935796923,290.9278142934782,244,30.384296718691818,0.0,38.41269841269842,61.58730158730159,0.0,0.0,3,1,279,936,38.45238095238095,12
Guarded A5/B25 SMA20 Lead (max 1x),0.13771049045766226,0.16161086519209003,0.71373506652139,-0.19729965079896353,0.6979763517066787,346.9954434969208,241,55.96237112676407,0.0,33.29365079365079,66.7063492063492,0.0,0.0,5,0,234,794,33.29365079365079,13
