strategy,cagr,ann_volatility,sharpe,max_drawdown,calmar,sortino,end_value,rebalances,trading_costs_total,funding_costs_total,turnover_notional,pct_days_cash,pct_days_1x,pct_days_2x,pct_days_3x,win_rate,profit_factor
Buy & Hold 1x,0.13013804963380426,0.19308457022788816,0.6054111568529019,-0.5244834464703275,0.24812613345494172,0.7781094991655824,3920.055363016173,2,0.19990000000000002,0.0,199.9,0.013246787653993907,99.986753212346,0.0,0.0,0.5456964214447253,1.1205735313273821
Buy & Hold 2x,0.15278277282559416,0.37691430568530637,0.48792021333749985,-0.8512148279326669,0.1794879128182664,0.6283484446565603,7107.817003494973,2,0.2998,0.0,299.8,0.013246787653993907,0.0,99.986753212346,0.0,0.5399840595111584,1.095634047298618
Buy & Hold 3x,0.15546459521975153,0.5715483774412933,0.4511412813132593,-0.9750752726361519,0.15943855780430907,0.5780249294376176,7620.913682388098,2,0.39970000000000006,0.0,399.70000000000005,0.013246787653993907,0.0,0.0,99.986753212346,0.5361741669985397,1.0885838378614798
SMA10 Cash/2x,0.0409573834596737,0.23049034577531977,0.3021004724429106,-0.8312682683950038,0.049270957423592505,0.2992215036821077,333.0292612154293,1346,370.6286660434455,0.0,370628.6660434455,39.66088223605776,0.0,60.33911776394224,0.0,0.7184388689765033,1.0734684226715967
SMA20 Cash/2x,0.06646458810491884,0.22438907503043456,0.40320650208874886,-0.7180809413494974,0.09255862992270929,0.4180566917811804,688.4048121398845,868,372.200207741843,0.0,372200.2077418425,36.958537554643,0.0,63.041462445357,0.0,0.7081619110816191,1.0954401426026223
SMA50 Cash/2x,0.08317504098766704,0.21814266189290876,0.44302550957470593,-0.6013849111326706,0.1383058328334379,0.46905444814335534,1097.4438675091842,524,309.98991492532167,0.0,309989.91492532194,33.911776394224404,0.0,66.0882236057756,0.0,0.6966679941590336,1.099214636511491
SMA100 Cash/2x,0.09910796200988736,0.22596250628536446,0.44459927904944885,-0.7384972090121187,0.13420221606857963,0.47717251262853255,1700.621098404433,348,238.21523873697458,0.0,238215.23873697477,30.467611604185986,0.0,69.53238839581401,0.0,0.6828620735430772,1.096814084496465
SMA200 Cash/2x,0.1235209011762004,0.23253027930365472,0.5551630315543743,-0.4527060448384368,0.2728501255605786,0.6061040858800639,3286.9450724862368,206,241.52813736006965,0.0,241528.13736006958,28.228904490661016,0.0,71.77109550933899,0.0,0.6750763510821935,1.1204521659706388
SMA10 Cash/3x,0.03452900558446559,0.35080338223965996,0.21145537826551844,-0.9713402502055611,0.03554779653901745,0.20592118199421613,276.557279384115,1346,420.6121357900414,0.0,420612.1357900421,39.66088223605776,0.0,0.0,60.33911776394224,0.7154989384288747,1.051351582664694
SMA20 Cash/3x,0.06187252243795416,0.3397928419323633,0.3301403355684633,-0.9269261305481333,0.06675021924494257,0.3400704939138524,604.8252342658578,868,418.9999654327077,0.0,418999.96543270786,36.958537554643,0.0,0.0,63.041462445357,0.7052813163481954,1.0778865780108482
