strategy,cagr,ann_volatility,sharpe,max_drawdown,calmar,end_$,rebalances,trading_costs_total,funding_costs_total,pct_days_cash,pct_days_1x,pct_days_2x,pct_days_3x,tier2_entries,tier3_entries,lead_only_days,simulation
Guarded A5/B25 SMA20 Lead,0.8948030359452692,0.4170605408094311,3.4118437175645258,-0.3291548337166849,2.7184866946704402,47248.166985243275,291,70776.52144100201,0.0,33.96825396825397,1.4682539682539681,30.317460317460316,34.24603174603175,5,4,211,0
Guarded A5/B25 SMA20 Lead,1.0047932381344564,0.4368225684436491,3.2944484842112156,-0.35290392202322673,2.847214710377531,81449.01689743003,293,56498.86221721897,0.0,31.944444444444443,4.2063492063492065,43.01587301587302,20.833333333333336,6,3,193,1
Guarded A5/B25 SMA20 Lead,0.8085843450162511,0.4466439020919122,2.999110642112274,-0.425351671640307,1.900978411341521,30143.389571694224,288,31243.586024927463,0.0,34.48412698412698,2.5,36.507936507936506,26.50793650793651,9,6,210,2
Guarded A5/B25 SMA20 Lead,1.2843972940712445,0.41938585206840656,3.1611438636607034,-0.34296527159725443,3.744977700189766,287152.7673733636,211,117041.76398630998,0.0,35.992063492063494,16.19047619047619,24.365079365079364,23.452380952380953,4,1,164,3
Guarded A5/B25 SMA20 Lead,0.6193784710225025,0.35208094060474526,3.389102024320308,-0.31465039286516105,1.9684655893244931,10376.247526002715,299,9629.365496078164,0.0,33.17460317460317,1.4682539682539681,44.920634920634924,20.436507936507937,5,2,214,4
Guarded A5/B25 SMA20 Lead,0.7662920424388018,0.3772626924074115,3.235112165487985,-0.5280285929262247,1.4512320974744388,23989.253322081644,286,80935.37915695965,0.0,29.563492063492063,12.3015873015873,41.11111111111111,17.023809523809526,7,3,190,5
Guarded A5/B25 SMA20 Lead,1.1296374267721792,0.39452557141602257,3.3627596896759777,-0.3023017795036907,3.736787221784739,145911.08213613534,260,222109.67121778196,0.0,31.428571428571427,11.587301587301587,44.72222222222222,12.261904761904761,8,3,167,6
Guarded A5/B25 SMA20 Lead,1.237065661134999,0.4107573696667254,3.441131462713094,-0.21127980699612522,5.855105978763443,234616.23703478443,289,98514.2420787754,0.0,31.865079365079364,15.476190476190476,36.78571428571429,15.873015873015872,7,3,189,7
Guarded A5/B25 SMA20 Lead,0.9248587238849704,0.3529705549278251,3.493938927279316,-0.24057646092246546,3.8443442069880636,54998.01086221936,282,64538.38835567731,0.0,32.420634920634924,16.30952380952381,44.920634920634924,6.349206349206349,7,2,176,8
Guarded A5/B25 SMA20 Lead,0.7824336832965217,0.49673243789392296,2.834447941668139,-0.41237042179234906,1.8974049591037827,26190.648972948464,252,42101.41219903977,0.0,37.06349206349206,0.5158730158730158,0.6349206349206349,61.78571428571429,1,1,168,9
