strategy,cagr,ann_volatility,sharpe,max_drawdown,end_$,rebalances,pct_days_cash,calmar,trading_costs_total,funding_costs_total,pct_days_1x,pct_days_2x,pct_days_3x,tier2_entries,tier3_entries,lead_only_days
Buy & hold 1x,0.1630947881150291,0.27196337613621335,0.6179305450005675,-0.816388720758029,9280.463486409846,2,0.0,,,,,,,,,
Buy & hold 2x,0.19971980626258756,0.5457149415175423,0.5467886133004527,-0.9864805966910822,23519.01221431999,2,0.0,,,,,,,,,
Buy & hold 3x,0.21274797046445615,0.821680751961593,0.5264960234629426,-0.9994354637187517,32516.875276213872,2,0.0,,,,,,,,,
SMA20 1x/cash,0.08998296743767153,0.1680093026107667,0.5837073470044661,-0.45923873305571455,1324.0387929473368,879,38.12110772492381,,,,,,,,,
SMA20 2x/cash,0.10825687977677667,0.33286285775531715,0.5406409782781102,-0.8150975810868105,2180.0829589437453,879,38.12110772492381,,,,,,,,,
SMA20 3x/cash,0.11078071378846732,0.5009784115730894,0.5065295529138926,-0.9562650088528348,2334.0120677985,879,38.12110772492381,,,,,,,,,
Guarded A5/B25 SMA20 Lead,0.08814509826859163,0.4475574461883602,0.37033066310074486,-0.96077313809314,1258.6897108405617,824,31.230952696435672,0.09174392452679771,527.2084751556372,0.0,5.220617463892937,31.469458062806417,32.078971776864975,13.0,3.0,560.0
Original Guarded A10/B20 SMA20,0.1029682411295183,0.409368725934582,0.4218808353724973,-0.9223607423151982,1888.706115901265,888,38.12110772492381,0.1116355417198914,471.2510363890109,0.0,19.90194779382536,5.989134755532,35.987809725718826,8.0,3.0,0.0
