start_date,peak_date,trough_date,recovery_date,depth,calendar_days_to_recovery,trading_days_to_recovery
1999-07-08,1999-07-07,1999-07-08,1999-07-09,-0.0010315801164594296,1.0,1
1999-07-12,1999-07-09,1999-07-13,1999-07-15,-0.006926608018497427,3.0,3
1999-07-19,1999-07-16,1999-10-15,1999-11-16,-0.12078686729338572,120.0,85
1999-11-17,1999-11-16,1999-11-17,1999-11-18,-0.006591214310268323,1.0,1
1999-11-19,1999-11-18,1999-11-30,1999-12-03,-0.025285211102304528,14.0,9
1999-12-06,1999-12-03,1999-12-14,1999-12-21,-0.021021421793327222,15.0,11
1999-12-27,1999-12-23,1999-12-27,1999-12-29,-0.0008502751508133732,2.0,2
2000-01-03,1999-12-31,2000-02-25,2000-03-21,-0.0924893752924536,78.0,54
2000-03-27,2000-03-24,2002-10-09,2007-05-30,-0.4914694789846552,2620.0,1802
2007-06-05,2007-06-04,2007-06-07,2007-07-12,-0.031484349664599676,37.0,26
2007-07-16,2007-07-13,2007-07-18,2007-07-19,-0.004077266379830968,3.0,3
2007-07-20,2007-07-19,2007-08-15,2007-10-05,-0.09425142878970882,77.0,54
2007-10-08,2007-10-05,2007-10-08,2007-10-09,-0.003216513893620543,1.0,1
2007-10-10,2007-10-09,2009-03-09,2013-03-28,-0.5677538774277282,1996.0,1375
2013-04-01,2013-03-28,2013-04-01,2013-04-02,-0.0044735804606589324,1.0,1
2013-04-03,2013-04-02,2013-04-05,2013-04-10,-0.010807177648861632,7.0,5
2013-04-12,2013-04-11,2013-04-18,2013-04-29,-0.03248461432325278,17.0,11
2013-05-01,2013-04-30,2013-05-01,2013-05-02,-0.009307883608932754,1.0,1
2013-05-09,2013-05-08,2013-05-09,2013-05-10,-0.0036871039064235722,1.0,1
2013-05-16,2013-05-15,2013-05-16,2013-05-17,-0.005009741163373271,1.0,1
2013-05-20,2013-05-17,2013-05-20,2013-05-21,-0.000707617924973758,1.0,1
2013-05-22,2013-05-21,2013-06-24,2013-07-11,-0.05755593615479104,50.0,34
2013-07-16,2013-07-15,2013-07-16,2013-07-18,-0.003708760911961373,2.0,2
2013-07-23,2013-07-22,2013-07-29,2013-08-01,-0.006015861156064228,9.0,7
2013-08-05,2013-08-02,2013-08-27,2013-09-18,-0.04631891618912609,44.0,31
2013-09-19,2013-09-18,2013-10-08,2013-10-17,-0.04060808774528735,28.0,20
2013-10-23,2013-10-22,2013-10-23,2013-10-25,-0.004724557241463034,2.0,2
2013-10-30,2013-10-29,2013-11-07,2013-11-13,-0.01399583929637016,14.0,10
2013-11-18,2013-11-15,2013-11-20,2013-11-22,-0.00934837340624417,4.0,4
2013-11-25,2013-11-22,2013-11-25,2013-11-27,-0.0012633420978621634,2.0,2
2013-11-29,2013-11-27,2013-12-05,2013-12-09,-0.012283965744147807,10.0,6
2013-12-10,2013-12-09,2013-12-13,2013-12-18,-0.018276154170531522,8.0,6
2013-12-19,2013-12-18,2013-12-19,2013-12-20,-0.0005799292044108562,1.0,1
2013-12-27,2013-12-26,2013-12-30,2013-12-31,-0.0005157779134394858,4.0,2
2014-01-02,2013-12-31,2014-01-13,2014-01-15,-0.01577616612066035,13.0,9
2014-01-16,2014-01-15,2014-02-03,2014-02-27,-0.05761260668967605,42.0,28
2014-03-03,2014-02-28,2014-03-03,2014-03-04,-0.007378510346287226,1.0,1
2014-03-05,2014-03-04,2014-03-05,2014-03-06,-5.335132643191631e-05,1.0,1
2014-03-10,2014-03-07,2014-03-14,2014-04-01,-0.019653486300597045,22.0,16
2014-04-03,2014-04-02,2014-04-11,2014-05-12,-0.03977475384036655,39.0,26
