strategy,cagr,ann_volatility,sharpe,max_drawdown,calmar,end_$,rebalances,trading_costs_total,funding_costs_total,pct_days_cash,pct_days_1x,pct_days_2x,pct_days_3x,tier2_entries,tier3_entries,lead_only_days,family,pct_cash,dd_cap_days,lead_blocked_days,cap_type,default_cap,allow_3x_dd,mode,use_spx_lead,min_margin,score_lambda,trigger_a,trigger_b
"flat cap 2x, 3x if DD<=-25% + score_blend λ=1.0",0.18456224929090204,0.1963557769010975,4.168685887662555,-0.6363531865977644,0.2900311543620239,15924.644640703431,1219,42745.395707685464,,48.82087970323264,4.425013248542661,40.911499735029146,5.842607313195549,,,,risk_cap_sweep,48.82087970323264,2899.0,0.0,flat,2.0,0.25,score_blend,False,0.0,1.0,,
"flat cap 2x, 3x if DD<=-30% + score_blend λ=1.0",0.18273565405834358,0.19166799262907305,4.15588916694309,-0.6241240765491617,0.292787381426952,15204.303531177466,1208,40838.217925574885,,48.82087970323264,4.425013248542661,43.653948065712775,3.100158982511924,,,,risk_cap_sweep,48.82087970323264,3106.0,0.0,flat,2.0,0.3,score_blend,False,0.0,1.0,,
"flat cap 2x, 3x if DD<=-25% + score_blend λ=0.75",0.21325951797308607,0.20738278050803355,4.14754950729977,-0.5599607191568031,0.38084728209902885,32651.386383898745,1232,76168.80389633858,,45.05829358770535,4.2262851086380495,44.38261791202967,6.33280339162692,,,,risk_cap_sweep,45.05829358770535,3148.0,0.0,flat,2.0,0.25,score_blend,False,0.0,0.75,,
"flat cap 2x, 3x if DD<=-30% + score_blend λ=0.75",0.20904169373837211,0.2028505145620396,4.127572760261254,-0.5505488601744892,0.37969689678790564,29412.704446254687,1217,68778.31956450925,,45.05829358770535,4.2262851086380495,47.270800211976685,3.4446210916799154,,,,risk_cap_sweep,45.05829358770535,3366.0,0.0,flat,2.0,0.3,score_blend,False,0.0,0.75,,
"flat cap 2x, 3x if DD<=-15% + best_margin + SPX lead",0.33785251111626047,0.2464500647775993,4.12026003407307,-0.4155213369947636,0.8130810166326502,612862.7258645981,1434,983835.621398099,,34.949655537890834,7.114467408585055,43.32273449920509,14.613142554319026,,,,risk_cap_sweep,34.949655537890834,2994.0,23.0,flat,2.0,0.15,best_margin,True,0.0,,,
"flat cap 2x, 3x if DD<=-20% + best_margin + SPX lead",0.33457798541739314,0.23711474349545725,4.11348407497191,-0.3572644594956766,0.9364994936515425,569428.414412021,1402,894050.6174117718,,34.949655537890834,7.114467408585055,47.37678855325914,10.559088500264972,,,,risk_cap_sweep,34.949655537890834,3300.0,23.0,flat,2.0,0.2,best_margin,True,0.0,,,
"tiered cap base 2x, 2x@<=-5%, 3x@<=-20% + best_margin + SPX lead",0.33457798541739314,0.23711474349545725,4.11348407497191,-0.3572644594956766,0.9364994936515425,569428.414412021,1402,894050.6174117718,,34.949655537890834,7.114467408585055,47.37678855325914,10.559088500264972,,,,risk_cap_sweep,34.949655537890834,3300.0,23.0,tiered,2.0,,best_margin,True,0.0,,0.05,0.2
"tiered cap base 2x, 2x@<=-10%, 3x@<=-20% + best_margin + SPX lead",0.33457798541739314,0.23711474349545725,4.11348407497191,-0.3572644594956766,0.9364994936515425,569428.414412021,1402,894050.6174117718,,34.949655537890834,7.114467408585055,47.37678855325914,10.559088500264972,,,,risk_cap_sweep,34.949655537890834,3300.0,23.0,tiered,2.0,,best_margin,True,0.0,,0.1,0.2
"tiered cap base 2x, 2x@<=-15%, 3x@<=-20% + best_margin + SPX lead",0.33457798541739314,0.23711474349545725,4.11348407497191,-0.3572644594956766,0.9364994936515425,569428.414412021,1402,894050.6174117718,,34.949655537890834,7.114467408585055,47.37678855325914,10.559088500264972,,,,risk_cap_sweep,34.949655537890834,3300.0,23.0,tiered,2.0,,best_margin,True,0.0,,0.15,0.2
"flat cap 2x, 3x if DD<=-25% + best_margin + SPX lead",0.3232704681061953,0.23032399336213363,4.081669814234122,-0.3173845065603989,1.0185452075452093,441158.06182495924,1374,662076.4757528878,,34.949655537890834,7.114467408585055,50.51669316375199,7.419183889772126,,,,risk_cap_sweep,34.949655537890834,3537.0,23.0,flat,2.0,0.25,best_margin,True,0.0,,,
"tiered cap base 2x, 2x@<=-5%, 3x@<=-25% + best_margin + SPX lead",0.3232704681061953,0.23032399336213363,4.081669814234122,-0.3173845065603989,1.0185452075452093,441158.06182495924,1374,662076.4757528878,,34.949655537890834,7.114467408585055,50.51669316375199,7.419183889772126,,,,risk_cap_sweep,34.949655537890834,3537.0,23.0,tiered,2.0,,best_margin,True,0.0,,0.05,0.25
"tiered cap base 2x, 2x@<=-10%, 3x@<=-25% + best_margin + SPX lead",0.3232704681061953,0.23032399336213363,4.081669814234122,-0.3173845065603989,1.0185452075452093,441158.06182495924,1374,662076.4757528878,,34.949655537890834,7.114467408585055,50.51669316375199,7.419183889772126,,,,risk_cap_sweep,34.949655537890834,3537.0,23.0,tiered,2.0,,best_margin,True,0.0,,0.1,0.25
"tiered cap base 2x, 2x@<=-15%, 3x@<=-25% + best_margin + SPX lead",0.3232704681061953,0.23032399336213363,4.081669814234122,-0.3173845065603989,1.0185452075452093,441158.06182495924,1374,662076.4757528878,,34.949655537890834,7.114467408585055,50.51669316375199,7.419183889772126,,,,risk_cap_sweep,34.949655537890834,3537.0,23.0,tiered,2.0,,best_margin,True,0.0,,0.15,0.25
"flat cap 2x, 3x if DD<=-35% + best_margin + SPX lead",0.32158948103640994,0.2223489098899847,4.077762617468554,-0.29144655802535135,1.103425215296029,424653.8609247722,1340,636831.9051921313,,34.949655537890834,7.114467408585055,55.43190249072602,2.5039745627980925,,,,risk_cap_sweep,34.949655537890834,3908.0,23.0,flat,2.0,0.35,best_margin,True,0.0,,,
"flat cap 2x, 3x if DD<=-30% + best_margin + SPX lead",0.30867916014987995,0.22565456819361582,4.0505897032355245,-0.2914465580253511,1.0591278285847174,316337.7237750771,1369,476443.71861692076,,34.949655537890834,7.114467408585055,53.81558028616852,4.12029676735559,,,,risk_cap_sweep,34.949655537890834,3786.0,23.0,flat,2.0,0.3,best_margin,True,0.0,,,
"tiered cap base 2x, 2x@<=-5%, 3x@<=-30% + best_margin + SPX lead",0.30867916014987995,0.22565456819361582,4.0505897032355245,-0.2914465580253511,1.0591278285847174,316337.7237750771,1369,476443.71861692076,,34.949655537890834,7.114467408585055,53.81558028616852,4.12029676735559,,,,risk_cap_sweep,34.949655537890834,3786.0,23.0,tiered,2.0,,best_margin,True,0.0,,0.05,0.3
"tiered cap base 2x, 2x@<=-10%, 3x@<=-30% + best_margin + SPX lead",0.30867916014987995,0.22565456819361582,4.0505897032355245,-0.2914465580253511,1.0591278285847174,316337.7237750771,1369,476443.71861692076,,34.949655537890834,7.114467408585055,53.81558028616852,4.12029676735559,,,,risk_cap_sweep,34.949655537890834,3786.0,23.0,tiered,2.0,,best_margin,True,0.0,,0.1,0.3
"tiered cap base 2x, 2x@<=-15%, 3x@<=-30% + best_margin + SPX lead",0.30867916014987995,0.22565456819361582,4.0505897032355245,-0.2914465580253511,1.0591278285847174,316337.7237750771,1369,476443.71861692076,,34.949655537890834,7.114467408585055,53.81558028616852,4.12029676735559,,,,risk_cap_sweep,34.949655537890834,3786.0,23.0,tiered,2.0,,best_margin,True,0.0,,0.15,0.3
