strategy,cagr,ann_volatility,sharpe,max_drawdown,calmar,end_$,rebalances,trading_costs_total,funding_costs_total,pct_days_cash,pct_days_1x,pct_days_2x,pct_days_3x,tier2_entries,tier3_entries,lead_only_days,family,pct_cash,dd_cap_days,lead_blocked_days,cap_type,default_cap,allow_3x_dd,mode,use_spx_lead,min_margin,score_lambda,trigger_a,trigger_b
"flat cap 1x, 3x if DD<=-20% + greedy",0.18777161847187007,0.20490006335544356,2.9429155012337063,-0.3457362698301763,0.5431065087967265,17270.964603101704,944,36016.44042997877,,34.44621091679915,53.24589295177531,0.6094329623741388,11.698463169051404,,,,risk_cap_sweep,34.44621091679915,3735.0,0.0,flat,1.0,0.2,greedy,False,0.0,,,
"flat cap 1x, 3x if DD<=-20% + greedy min_m=0.5%",0.15126463844620108,0.19867791920405348,2.9132197428761732,-0.39039474648088307,0.3874658657928642,6770.783419686212,947,24203.265341069142,,40.62003179650239,47.774244833068366,0.4239533651298357,11.181770005299416,,,,risk_cap_sweep,40.62003179650238,3497.0,0.0,flat,1.0,0.2,greedy,False,0.005,,,
"flat cap 1x, 3x if DD<=-20% + greedy + SPX lead",0.1990381431379291,0.20378609893892932,3.024673947053297,-0.3457362698301763,0.5756935575075636,22924.581214963317,957,42787.391425618756,,34.85691573926868,52.874933757286705,0.5696873343932167,11.698463169051404,,,,risk_cap_sweep,34.85691573926868,3707.0,31.0,flat,1.0,0.2,greedy,True,0.0,,,
"flat cap 1x, 3x if DD<=-20% + greedy + SPX lead min_m=0.5%",0.16335796327166285,0.1977559767802319,2.9731500637704253,-0.3418859382740835,0.4778142210128042,9263.312888116752,944,27703.871059907357,,40.85850556438791,47.57551669316375,0.3842077371489136,11.181770005299416,,,,risk_cap_sweep,40.85850556438792,3482.0,18.0,flat,1.0,0.2,greedy,True,0.005,,,
"flat cap 1x, 3x if DD<=-20% + best_margin",0.20037973200919934,0.1958135397319624,3.1579601077289947,-0.33318597011953155,0.6014050709797668,23706.58885562196,1015,47839.43623356683,,34.64493905670376,53.78908320084791,1.00688924218336,10.559088500264972,,,,risk_cap_sweep,34.64493905670376,3523.0,0.0,flat,1.0,0.2,best_margin,False,0.0,,,
"flat cap 1x, 3x if DD<=-20% + best_margin min_m=0.5%",0.16096108046647672,0.1920133047577413,3.0791588116208928,-0.36206695107219355,0.44456164803172615,8707.607198169964,985,29909.604023023752,,40.62003179650239,48.012718600953896,0.8611552729199788,10.50609432962374,,,,risk_cap_sweep,40.62003179650238,3440.0,0.0,flat,1.0,0.2,best_margin,False,0.005,,,
"flat cap 1x, 3x if DD<=-20% + best_margin + SPX lead",0.2135905081702798,0.19473307285019534,3.2346910291779163,-0.33318597011953155,0.6410549282541924,32919.63873997465,1019,58723.08574513873,,34.949655537890834,53.52411234764176,0.9671436142024377,10.559088500264972,,,,risk_cap_sweep,34.949655537890834,3503.0,23.0,flat,1.0,0.2,best_margin,True,0.0,,,
"flat cap 1x, 3x if DD<=-20% + best_margin + SPX lead min_m=0.5%",0.17322565224252817,0.19105683554755126,3.1425476918889865,-0.3435908185852388,0.5041626343678155,11934.294872867273,983,34534.03885551146,,40.85850556438791,47.813990461049286,0.8214096449390567,10.50609432962374,,,,risk_cap_sweep,40.85850556438792,3425.0,18.0,flat,1.0,0.2,best_margin,True,0.005,,,
"flat cap 1x, 3x if DD<=-20% + momentum",0.06503675928118247,0.19275110007804422,2.0506442909081355,-0.7082324371544487,0.09182968171083569,655.3310413914035,869,2116.3783655413217,,34.07525172231055,54.71648118706942,0.9406465288818231,10.267620561738209,,,,risk_cap_sweep,34.07525172231055,3554.0,0.0,flat,1.0,0.2,momentum,False,0.0,,,
"flat cap 1x, 3x if DD<=-20% + momentum min_m=0.5%",0.06503675928118247,0.19275110007804422,2.0506442909081355,-0.7082324371544487,0.09182968171083569,655.3310413914035,869,2116.3783655413217,,34.07525172231055,54.71648118706942,0.9406465288818231,10.267620561738209,,,,risk_cap_sweep,34.07525172231055,3554.0,0.0,flat,1.0,0.2,momentum,False,0.005,,,
