Strategy,Variant,Leverage,CAGR_pct,Vol_pct,Sharpe,Sortino,Calmar,MaxDD_pct,End_Value,Trades_Per_Year,Total_Trades,Pct_Cash_Time,Avg_Leverage,Direction,SMA,UpBand,LoBand,Stop,Trail,Bmode,N,Param
Buy & Hold 1x,benchmark,1,9.311063989458068,15.755477042995064,0.32073305780073125,0.4090375770855401,0.16418336520209006,-56.711372543724295,90526.41979275561,0.026149054982817867,2,0.005196694902042301,1.0,,0,0,0,0,0,,0,
Buy & Hold 2x,benchmark,2,10.424501016182575,31.245133031840343,0.32058295973715756,0.4111457065598392,0.11537791092585223,-90.35092534204311,196520.94323961475,0.026149054982817867,2,0.005196694902042301,1.0,,0,0,0,0,0,,0,
Buy & Hold 3x,benchmark,3,8.613131765524917,47.16305150436313,0.31232014325149904,0.39938823734787166,0.08711530416566542,-98.87047801779465,55464.05510368884,0.026149054982817867,2,0.005196694902042301,1.0,,0,0,0,0,0,,0,
INC Water: SMA200 +-3% Band 1x/cash,incumbent,1,9.96958985648433,10.498063155197618,0.4782622197387146,0.5399500034308686,0.4930132226024419,-20.221749436776566,143312.5353777035,1.0459621993127146,80,29.33534272202879,1.0,,0,0,0,0,0,,0,
INC Octane: SMA200 +-3% + RSI>20 Exit 2x,incumbent,2,13.683683337950402,20.982173978931858,0.49198510197386713,0.5557651908829034,0.33352178723366227,-41.02785443627928,1818088.9874867497,1.0459621993127146,80,29.31975263732266,1.0,,0,0,0,0,0,,0,
