Strategy,Variant,Leverage,CAGR_pct,Vol_pct,Sharpe,Sortino,Calmar,MaxDD_pct,End_Value,Trades_Per_Year,Total_Trades,Pct_Cash_Time,Avg_Leverage,Direction,SMA,UpBand,LoBand,Stop,Trail,Bmode,N,Param,Class
A' conv SMA50 +1/-1% TS8% 1x,A-trail,1,7.446378539739507,9.873497437451949,0.31236942131760553,0.33116078421023376,0.18944397947116473,-39.30649345799305,24280.435092330234,6.432667525773195,492,35.571376604479546,1.0,conv,50,0.01,0.01,0.0,0.08,,0,,Neither
A' conv SMA50 +1/-1% TS8% 2x,A-trail,2,8.292506674733445,19.674825519358727,0.31775995844361893,0.3366190612336875,0.1183133941676699,-70.08933124665137,44239.55605508515,6.432667525773195,492,35.571376604479546,2.0,conv,50,0.01,0.01,0.0,0.08,,0,,Neither
A' conv SMA50 +1/-1% TS8% 3x,A-trail,3,7.931815214008298,29.543272550648968,0.3097466996385239,0.32815833118481197,0.08960009065698689,-88.52463380169343,34276.01158001875,6.432667525773195,492,35.571376604479546,3.0,conv,50,0.01,0.01,0.0,0.08,,0,,Neither
A' conv SMA50 +2/-2% TS3% 1x,A-trail,1,5.903544680812933,6.329477836194557,0.13204905275391568,0.10244467431901698,0.2150727713467593,-27.44905663253261,8032.2060822560925,4.5368610395189,347,67.61419737047238,1.0,conv,50,0.02,0.02,0.0,0.03,,0,,Neither
A' conv SMA50 +2/-2% TS3% 2x,A-trail,2,5.664095723434737,12.614297725960116,0.13848491511882693,0.10704624524342965,0.09514364624139941,-59.53204388513487,6755.324382037105,4.5368610395189,347,67.61419737047238,2.0,conv,50,0.02,0.02,0.0,0.03,,0,,Neither
A' conv SMA50 +2/-2% TS3% 3x,A-trail,3,4.966162954118003,18.91854414635333,0.13236572679274555,0.10250071325308296,0.06128297889697398,-81.03657889194452,4069.2506327974475,4.5368610395189,347,67.61419737047238,3.0,conv,50,0.02,0.02,0.0,0.03,,0,,Neither
A' conv SMA50 +2/-2% TS5% 1x,A-trail,1,6.541820569904977,9.076156463265612,0.20169449480216792,0.20209943588186363,0.1707107345329921,-38.32108500851588,12718.338007700513,4.523786512027491,346,42.11921218105285,1.0,conv,50,0.02,0.02,0.0,0.05,,0,,Neither
A' conv SMA50 +2/-2% TS5% 2x,A-trail,2,6.597501618222812,18.095158082588906,0.20704466630677157,0.20714868798960837,0.08912051630305107,-74.02898784594389,13236.88096068674,4.523786512027491,346,42.11921218105285,2.0,conv,50,0.02,0.02,0.0,0.05,,0,,Neither
A' conv SMA50 +2/-2% TS5% 3x,A-trail,3,5.741293832134642,27.15092481910364,0.2000209169874089,0.20021612723146545,0.06314796728406237,-90.91810994181695,7143.409470444604,4.523786512027491,346,42.11921218105285,3.0,conv,50,0.02,0.02,0.0,0.05,,0,,Neither
A' conv SMA50 +2/-2% TS8% 1x,A-trail,1,6.7013146152021585,9.96600443132882,0.20761169139397123,0.21866891543696682,0.15193862361607247,-44.10540556254766,14259.985426732717,4.523786512027491,346,36.44442134802266,1.0,conv,50,0.02,0.02,0.0,0.08,,0,,Neither
A' conv SMA50 +2/-2% TS8% 2x,A-trail,2,6.72405782571901,19.856890323599572,0.21180128351670358,0.22300020039637763,0.08788997081698122,-76.50540514708938,14494.339921982022,4.523786512027491,346,36.44442134802266,2.0,conv,50,0.02,0.02,0.0,0.08,,0,,Neither
A' conv SMA50 +2/-2% TS8% 3x,A-trail,3,5.630642522105234,29.816039877826135,0.20413206908912082,0.21485247139789718,0.06093404549770855,-92.40552594389906,6593.683664127667,4.523786512027491,346,36.44442134802266,3.0,conv,50,0.02,0.02,0.0,0.08,,0,,Neither
A' conv SMA50 +3/-3% TS3% 1x,A-trail,1,6.244212125514448,5.454267046862879,0.1824187915736655,0.1160653151256543,0.3411358412348559,-18.304180829875342,10268.672826133208,3.150961125429553,241,77.0150184482669,1.0,conv,50,0.03,0.03,0.0,0.03,,0,,Neither
A' conv SMA50 +3/-3% TS3% 2x,A-trail,2,6.434018779705952,10.871564018966053,0.1909861315888397,0.12109477002686622,0.1425982233067559,-45.11990844279423,11770.737754100055,3.150961125429553,241,77.0150184482669,2.0,conv,50,0.03,0.03,0.0,0.03,,0,,Neither
A' conv SMA50 +3/-3% TS3% 3x,A-trail,3,6.226983992808455,16.30079523017529,0.18609979767301107,0.11824292677008717,0.09016998272487901,-69.05828086723535,10142.092599842175,3.150961125429553,241,77.0150184482669,3.0,conv,50,0.03,0.03,0.0,0.03,,0,,Neither
A' conv SMA50 +3/-3% TS5% 1x,A-trail,1,6.73591409563532,8.420811588937221,0.2230411318922828,0.20372393117079654,0.1792748184221187,-37.5731190521973,14618.014473602158,3.1378865979381443,240,50.26762978745518,1.0,conv,50,0.03,0.03,0.0,0.05,,0,,Neither
A' conv SMA50 +3/-3% TS5% 2x,A-trail,2,7.154966606911195,16.788047468481935,0.23180131262048326,0.21146345935693747,0.09951977285388645,-71.89492501571539,19726.254913363387,3.1378865979381443,240,50.26762978745518,2.0,conv,50,0.03,0.03,0.0,0.05,,0,,Neither
A' conv SMA50 +3/-3% TS5% 3x,A-trail,3,6.703580808141396,25.18335893143164,0.22578465927071867,0.20609971969181984,0.07475889151236774,-89.66934464286952,14283.16835885856,3.1378865979381443,240,50.26762978745518,3.0,conv,50,0.03,0.03,0.0,0.05,,0,,Neither
A' conv SMA50 +3/-3% TS8% 1x,A-trail,1,7.200431404009722,10.134117211533663,0.23846630136511596,0.25366848568544853,0.17810768634634214,-40.42740407063628,20376.76467210237,3.1378865979381443,240,34.92698643662631,1.0,conv,50,0.03,0.03,0.0,0.08,,0,,Neither
A' conv SMA50 +3/-3% TS8% 2x,A-trail,2,7.639415165244179,20.20059650721013,0.2410022235219398,0.2563745659558773,0.10637139736473163,-71.81832103840627,27853.502868183532,3.1378865979381443,240,34.92698643662631,2.0,conv,50,0.03,0.03,0.0,0.08,,0,,Neither
A' conv SMA50 +3/-3% TS8% 3x,A-trail,3,6.851379042967465,30.32622135551429,0.23412779492966213,0.24896230634415123,0.0760153919629333,-90.13147029891446,15878.238872216643,3.1378865979381443,240,34.92698643662631,3.0,conv,50,0.03,0.03,0.0,0.08,,0,,Neither
A' conv SMA50 +5/-5% TS3% 1x,A-trail,1,6.087227900201908,3.9944157559057327,0.10762377587427435,0.04312648920684067,0.33234032609215125,-18.31624820189303,9170.594989757092,1.4251234965635737,109,90.28737722808295,1.0,conv,50,0.05,0.05,0.0,0.03,,0,,Neither
A' conv SMA50 +5/-5% TS3% 2x,A-trail,2,6.149739367001827,7.9616957080745845,0.10730053952696302,0.04296252840962828,0.15561468721293495,-39.51901634186269,9593.225135605902,1.4251234965635737,109,90.28737722808295,2.0,conv,50,0.05,0.05,0.0,0.03,,0,,Neither
A' conv SMA50 +5/-5% TS3% 3x,A-trail,3,6.037093373928726,11.935075804863596,0.10509581989751268,0.04210225464311367,0.1047848903253259,-57.61415940013248,8844.967559336588,1.4251234965635737,109,90.28737722808295,3.0,conv,50,0.05,0.05,0.0,0.03,,0,,Neither
A' conv SMA50 +5/-5% TS5% 1x,A-trail,1,6.375869765162889,5.910216652128277,0.16436975093952033,0.09825803360329437,0.24110656422035406,-26.44419817345082,11288.885876348073,1.412048969072165,108,79.62895598399417,1.0,conv,50,0.05,0.05,0.0,0.05,,0,,Neither
A' conv SMA50 +5/-5% TS5% 2x,A-trail,2,6.522767811286023,11.788924743206843,0.1601201495130562,0.09573116908166483,0.12795053802509768,-50.978822847986564,12545.549839087696,1.412048969072165,108,79.62895598399417,2.0,conv,50,0.05,0.05,0.0,0.05,,0,,Neither
A' conv SMA50 +5/-5% TS5% 3x,A-trail,3,6.299979799859878,17.68637886764028,0.15600396943359462,0.09317015395170668,0.08744652329017387,-72.04379960258282,10689.202114342474,1.412048969072165,108,79.62895598399417,3.0,conv,50,0.05,0.05,0.0,0.05,,0,,Neither
A' conv SMA50 +5/-5% TS8% 1x,A-trail,1,7.830435139157554,9.346916893516664,0.29489232277927013,0.2794370992749617,0.2962566283720395,-26.431257191397194,31898.857386715863,1.412048969072165,108,48.01226419996882,1.0,conv,50,0.05,0.05,0.0,0.08,,0,,Neither
A' conv SMA50 +5/-5% TS8% 2x,A-trail,2,8.96537563962334,18.631491226847945,0.2919195644765681,0.2766890927662536,0.15758138362766957,-56.89362177962954,71049.82889982822,1.412048969072165,108,48.01226419996882,2.0,conv,50,0.05,0.05,0.0,0.08,,0,,Neither
A' conv SMA50 +5/-5% TS8% 3x,A-trail,3,9.104754574718953,27.977418273135697,0.28644922932558886,0.2712739270033606,0.11529626168084832,-78.96834157487112,78347.28456417099,1.412048969072165,108,48.01226419996882,3.0,conv,50,0.05,0.05,0.0,0.08,,0,,Neither
A' conv SMA50 +3/-1% TS3% 1x,A-trail,1,6.497477405095453,6.389427295007972,0.21595139562627938,0.16435132354408052,0.33076368332676753,-19.643865794892832,12319.76697157981,4.4584138745704465,341,67.54664033674584,1.0,conv,50,0.03,0.01,0.0,0.03,,0,,Neither
A' conv SMA50 +3/-1% TS3% 2x,A-trail,2,6.845189703415322,12.739109404345289,0.22424947391314182,0.17000654199007278,0.1516230360209716,-45.146106311105235,15808.04626511407,4.4584138745704465,341,67.54664033674584,2.0,conv,50,0.03,0.01,0.0,0.03,,0,,Neither
A' conv SMA50 +3/-1% TS3% 3x,A-trail,3,6.662877514371224,19.100734659148618,0.21934717415063637,0.16660318168515184,0.09727642045481905,-68.49427110104098,13872.387035317246,4.4584138745704465,341,67.54664033674584,3.0,conv,50,0.03,0.01,0.0,0.03,,0,,Neither
A' conv SMA50 +3/-1% TS5% 1x,A-trail,1,6.485150566974562,8.42675300705774,0.20068266672858456,0.17923694483296873,0.2276080642181114,-28.492622127658873,12211.176200036138,4.445339347079037,340,52.53858545964767,1.0,conv,50,0.03,0.01,0.0,0.05,,0,,Neither
A' conv SMA50 +3/-1% TS5% 2x,A-trail,2,6.5658237145452825,16.806137058984746,0.20644341809335548,0.18401518211886442,0.10940802285171584,-60.012269149988676,12939.36747927354,4.445339347079037,340,52.53858545964767,2.0,conv,50,0.03,0.01,0.0,0.05,,0,,Neither
A' conv SMA50 +3/-1% TS5% 3x,A-trail,3,5.839869076004112,25.20854749787803,0.20100329152464602,0.17926428117358434,0.06973161096971993,-83.74780095844912,7671.086266412208,4.445339347079037,340,52.53858545964767,3.0,conv,50,0.03,0.01,0.0,0.05,,0,,Neither
A' conv SMA50 +3/-1% TS8% 1x,A-trail,1,6.706110824366918,8.9921998681347,0.21892269676146686,0.20169749576288415,0.21142255510125196,-31.718994319954685,14309.094123172874,4.445339347079037,340,49.86748427999792,1.0,conv,50,0.03,0.01,0.0,0.08,,0,,Neither
A' conv SMA50 +3/-1% TS8% 2x,A-trail,2,6.92033160889709,17.91899238273187,0.22472573141562127,0.20687813582505582,0.10786381515143004,-64.1580459506428,16681.32987683609,4.445339347079037,340,49.86748427999792,2.0,conv,50,0.03,0.01,0.0,0.08,,0,,Neither
A' conv SMA50 +3/-1% TS8% 3x,A-trail,3,6.184601119571642,26.900909543477248,0.21844870507254283,0.2010861724625718,0.07432939823517933,-83.20531669048997,9837.209882521674,4.445339347079037,340,49.86748427999792,3.0,conv,50,0.03,0.01,0.0,0.08,,0,,Neither
A' conv SMA50 +1/-3% TS3% 1x,A-trail,1,6.58789481709543,6.021221099912992,0.25658067817675645,0.1843050808944812,0.26140618962434437,-25.201755270457106,13145.949323457045,3.8831346649484533,297,72.48869718858806,1.0,conv,50,0.01,0.03,0.0,0.03,,0,,Neither
A' conv SMA50 +1/-3% TS3% 2x,A-trail,2,7.0844577201721215,11.999748372448199,0.2643304593478864,0.18928975694286895,0.13036655658711224,-54.342600630386485,18757.73869442719,3.8831346649484533,297,72.48869718858806,2.0,conv,50,0.01,0.03,0.0,0.03,,0,,Neither
A' conv SMA50 +1/-3% TS3% 3x,A-trail,3,7.097985795713191,18.004571011309565,0.2578307622649493,0.1849685902893375,0.09172910976824615,-77.37986135095252,18939.849761575028,3.8831346649484533,297,72.48869718858806,3.0,conv,50,0.01,0.03,0.0,0.03,,0,,Neither
A' conv SMA50 +1/-3% TS5% 1x,A-trail,1,7.284347463289387,9.197529505455138,0.28110956104615414,0.2852745841368119,0.14360881365941128,-50.72354041281375,21633.513761995255,3.8700601374570445,296,40.596580574754455,1.0,conv,50,0.01,0.03,0.0,0.05,,0,,Neither
A' conv SMA50 +1/-3% TS5% 2x,A-trail,2,8.147065293254308,18.33060790068808,0.28982915997937375,0.293901248105244,0.09772004697374659,-83.37148359581829,39918.03605162125,3.8700601374570445,296,40.596580574754455,2.0,conv,50,0.01,0.03,0.0,0.05,,0,,Neither
A' conv SMA50 +1/-3% TS5% 3x,A-trail,3,7.974418455716492,27.51028264624213,0.28326410312532424,0.2873307564426166,0.0834478794036136,-95.5616669076335,35326.38246148501,3.8700601374570445,296,40.596580574754455,3.0,conv,50,0.01,0.03,0.0,0.05,,0,,Neither
A' conv SMA50 +1/-3% TS8% 1x,A-trail,1,7.6540775819200935,10.797584916171676,0.2804495816404313,0.32299795419099553,0.14882613968382258,-51.42965878293283,28145.19360774001,3.8700601374570445,296,25.167593410590865,1.0,conv,50,0.01,0.03,0.0,0.08,,0,,Neither
A' conv SMA50 +1/-3% TS8% 2x,A-trail,2,8.433664701918953,21.51867101122847,0.2833391182248811,0.3264006050472091,0.09950841676674971,-84.75327993296969,48874.27531329217,3.8700601374570445,296,25.167593410590865,2.0,conv,50,0.01,0.03,0.0,0.08,,0,,Neither
A' conv SMA50 +1/-3% TS8% 3x,A-trail,3,7.837428361226562,32.31305788010524,0.27597383331454833,0.3177503820338665,0.0814021190308446,-96.28039729846384,32057.47394943799,3.8700601374570445,296,25.167593410590865,3.0,conv,50,0.01,0.03,0.0,0.08,,0,,Neither
A' conv SMA50 +5/-2% TS3% 1x,A-trail,1,5.917007740713642,4.814155027587875,0.07649583415913162,0.03946752242376746,0.34167391377065326,-17.317704109788732,8110.680382363271,2.235744201030928,171,85.28815673231824,1.0,conv,50,0.05,0.02,0.0,0.03,,0,,Neither
A' conv SMA50 +5/-2% TS3% 2x,A-trail,2,5.744548946484884,9.604147082818029,0.07697853223388246,0.03963328225032221,0.14270583989221394,-40.25447697742262,7160.248065378252,2.235744201030928,171,85.28815673231824,2.0,conv,50,0.05,0.02,0.0,0.03,,0,,Neither
A' conv SMA50 +5/-2% TS3% 3x,A-trail,3,5.3381754036530005,14.396843054674665,0.0756067612717115,0.038947118000227356,0.08581997522576744,-62.20201520228608,5333.726102010992,2.235744201030928,171,85.28815673231824,3.0,conv,50,0.05,0.02,0.0,0.03,,0,,Neither
A' conv SMA50 +5/-2% TS5% 1x,A-trail,1,6.427350762519546,6.905054489776724,0.1620009423576907,0.11236925578489564,0.3038600132694912,-21.152341479098062,11714.468985295704,2.2226696735395186,170,72.8004988827106,1.0,conv,50,0.05,0.02,0.0,0.05,,0,,Neither
A' conv SMA50 +5/-2% TS5% 2x,A-trail,2,6.511383387234715,13.772121911751736,0.16015960012888977,0.11098075249402257,0.12176035815968554,-53.477038714810654,12443.413180033216,2.2226696735395186,170,72.8004988827106,2.0,conv,50,0.05,0.02,0.0,0.05,,0,,Neither
A' conv SMA50 +5/-2% TS5% 3x,A-trail,3,6.093774827673193,20.65931911372168,0.15714468615396854,0.10884242003346234,0.07866040492293208,-77.46940577846756,9213.981813826935,2.2226696735395186,170,72.8004988827106,3.0,conv,50,0.05,0.02,0.0,0.05,,0,,Neither
A' conv SMA50 +5/-2% TS8% 1x,A-trail,1,6.523827115374936,7.935118180626712,0.16411284984252833,0.12462842368550203,0.26181153569742266,-24.91802776373676,12555.095476080496,2.2226696735395186,170,67.7025411838071,1.0,conv,50,0.05,0.02,0.0,0.08,,0,,Neither
A' conv SMA50 +5/-2% TS8% 2x,A-trail,2,6.552009304039097,15.80773020139671,0.1622140507074276,0.12327618945009214,0.10846926362221308,-60.4042941312762,12811.700597077956,2.2226696735395186,170,67.7025411838071,2.0,conv,50,0.05,0.02,0.0,0.08,,0,,Neither
A' conv SMA50 +5/-2% TS8% 3x,A-trail,3,5.885793456359201,23.742245004458155,0.1580338899035572,0.1199088160016457,0.07088055204686,-83.0381999912759,7929.881036302644,2.2226696735395186,170,67.7025411838071,3.0,conv,50,0.05,0.02,0.0,0.08,,0,,Neither
A' conv SMA50 +2/-5% TS3% 1x,A-trail,1,6.043154207128554,4.423765519405473,0.14493514927290682,0.07230435474966297,0.30536642205437564,-19.789845152170884,8883.718474641622,2.052700816151203,157,86.37946266174713,1.0,conv,50,0.02,0.05,0.0,0.03,,0,,Neither
A' conv SMA50 +2/-5% TS3% 2x,A-trail,2,6.114181911030214,8.826647453311317,0.15259832619425476,0.0758970459333914,0.13399558371685638,-45.62972705093012,9350.524627997216,2.052700816151203,157,86.37946266174713,2.0,conv,50,0.02,0.05,0.0,0.03,,0,,Neither
A' conv SMA50 +2/-5% TS3% 3x,A-trail,3,5.911936428251607,13.237707904187612,0.14705462484187432,0.07327985451643136,0.08556366974848578,-69.09400269565027,8081.031975589175,2.052700816151203,157,86.37946266174713,3.0,conv,50,0.02,0.05,0.0,0.03,,0,,Neither
A' conv SMA50 +2/-5% TS5% 1x,A-trail,1,6.194255726317177,6.6368148786104895,0.1639892621910362,0.11472141227682842,0.15876920743062262,-39.014213313522276,9905.855075758083,2.0396262886597936,156,72.16650210466143,1.0,conv,50,0.02,0.05,0.0,0.05,,0,,Neither
A' conv SMA50 +2/-5% TS5% 2x,A-trail,2,6.269430138836118,13.238373373185322,0.1705144475490654,0.11924733830600567,0.08654774598635125,-72.43897651389813,10456.773355887279,2.0396262886597936,156,72.16650210466143,2.0,conv,50,0.02,0.05,0.0,0.05,,0,,Neither
A' conv SMA50 +2/-5% TS5% 3x,A-trail,3,5.797110462908206,19.871123886088128,0.16353637479197522,0.11432291715990123,0.06453290984514931,-89.83184667821007,7437.633429065187,2.0396262886597936,156,72.16650210466143,3.0,conv,50,0.02,0.05,0.0,0.05,,0,,Neither
A' conv SMA50 +2/-5% TS8% 1x,A-trail,1,7.648841728520206,10.289166494690093,0.27082947489264153,0.2898523968288984,0.15974398607730528,-47.881875971335056,28040.68832164671,2.0396262886597936,156,34.46448059034454,1.0,conv,50,0.02,0.05,0.0,0.08,,0,,Neither
A' conv SMA50 +2/-5% TS8% 2x,A-trail,2,8.554744101615519,20.513639881747956,0.27427406127042686,0.2935063602978283,0.10862027246615305,-78.75826406420813,53229.24266564061,2.0396262886597936,156,34.46448059034454,2.0,conv,50,0.02,0.05,0.0,0.08,,0,,Neither
A' conv SMA50 +2/-5% TS8% 3x,A-trail,3,8.097230320794747,30.7996714459894,0.2648357772020762,0.2832177085972118,0.08615842399001343,-93.98071535910744,38535.32902294774,2.0396262886597936,156,34.46448059034454,3.0,conv,50,0.02,0.05,0.0,0.08,,0,,Neither
A' conv SMA50 +3/-2% TS3% 1x,A-trail,1,6.241683400401965,5.920296454281497,0.16970302249232255,0.12067760887798926,0.31331683383229564,-19.92131518775291,10249.996365311728,3.8046875,291,71.69879956347764,1.0,conv,50,0.03,0.02,0.0,0.03,,0,,Neither
A' conv SMA50 +3/-2% TS3% 2x,A-trail,2,6.393690057967594,11.80183509129151,0.17859439975783356,0.12651146171013058,0.13586756498181207,-47.0582516056977,11434.44700999701,3.8046875,291,71.69879956347764,2.0,conv,50,0.03,0.02,0.0,0.03,,0,,Neither
A' conv SMA50 +3/-2% TS3% 3x,A-trail,3,6.095428211163667,17.695382456204968,0.17351806064999586,0.12314870594105613,0.08639002359753782,-70.55708468792908,9224.970872977947,3.8046875,291,71.69879956347764,3.0,conv,50,0.03,0.02,0.0,0.03,,0,,Neither
A' conv SMA50 +3/-2% TS5% 1x,A-trail,1,6.665867794252889,8.562232957661877,0.21353874815823795,0.19755884429263368,0.21457802957725836,-31.065006083732623,13902.164199913035,3.7916129725085908,290,49.467338772540664,1.0,conv,50,0.03,0.02,0.0,0.05,,0,,Neither
A' conv SMA50 +3/-2% TS5% 2x,A-trail,2,6.9294599753571,17.074236040779567,0.2198588540956542,0.20314334158255204,0.11387081573561708,-60.853695748046434,16790.609090385595,3.7916129725085908,290,49.467338772540664,2.0,conv,50,0.03,0.02,0.0,0.05,,0,,Neither
A' conv SMA50 +3/-2% TS5% 3x,A-trail,3,6.313209834272482,25.614991819404114,0.21362340581954203,0.19745958407275707,0.07607837012385951,-82.98297957743115,10791.434533754855,3.7916129725085908,290,49.467338772540664,3.0,conv,50,0.03,0.02,0.0,0.05,,0,,Neither
A' conv SMA50 +3/-2% TS8% 1x,A-trail,1,6.828041405899232,9.500340290983488,0.21755186527414003,0.2135151033107049,0.1853769854910973,-36.833274571870454,15615.16501956693,3.7916129725085908,290,43.79254793951047,1.0,conv,50,0.03,0.02,0.0,0.08,,0,,Neither
A' conv SMA50 +3/-2% TS8% 2x,A-trail,2,7.064543730312245,18.93121381836608,0.22254943085625364,0.21839200205761491,0.10409354230009672,-67.86726221637748,18492.80238089487,3.7916129725085908,290,43.79254793951047,2.0,conv,50,0.03,0.02,0.0,0.08,,0,,Neither
A' conv SMA50 +3/-2% TS8% 3x,A-trail,3,6.2105409122402255,28.42448076789923,0.21557540049604101,0.2114483478061307,0.07096463037850073,-87.51600450978682,10022.717154257864,3.7916129725085908,290,43.79254793951047,3.0,conv,50,0.03,0.02,0.0,0.08,,0,,Neither
A' conv SMA50 +2/-3% TS3% 1x,A-trail,1,6.026103386589732,5.675561438858491,0.15475229682708863,0.10467173538567283,0.32370284332058263,-18.616158340696792,8775.126337268439,3.569346005154639,273,75.25853557137661,1.0,conv,50,0.02,0.03,0.0,0.03,,0,,Neither
A' conv SMA50 +2/-3% TS3% 2x,A-trail,2,5.9809130886694595,11.309255182193349,0.1626918362497899,0.10966191640181344,0.1260652923465683,-47.4429795651227,8493.618001449138,3.569346005154639,273,75.25853557137661,2.0,conv,50,0.02,0.03,0.0,0.03,,0,,Neither
A' conv SMA50 +2/-3% TS3% 3x,A-trail,3,5.526897062913916,16.963163666030248,0.15724221899832108,0.10621671586746341,0.07629004865167291,-72.44584530478892,6116.289811571524,3.569346005154639,273,75.25853557137661,3.0,conv,50,0.02,0.03,0.0,0.03,,0,,Neither
A' conv SMA50 +2/-3% TS5% 1x,A-trail,1,6.873246133201283,8.849333362868423,0.23361721964248605,0.2276229918147809,0.16391501069756617,-41.93176759072339,16128.703124578902,3.55627147766323,272,44.655199293249495,1.0,conv,50,0.02,0.03,0.0,0.05,,0,,Neither
A' conv SMA50 +2/-3% TS5% 2x,A-trail,2,7.352255425617149,17.63643205716632,0.24239732463555372,0.23592350504745305,0.09567434266798856,-76.84667822731875,22706.266679338612,3.55627147766323,272,44.655199293249495,2.0,conv,50,0.02,0.03,0.0,0.05,,0,,Neither
A' conv SMA50 +2/-3% TS5% 3x,A-trail,3,6.86004709960093,26.465807822919317,0.23549136711546295,0.22928154990018024,0.07410601609705934,-92.57071774869232,15977.059653138262,3.55627147766323,272,44.655199293249495,3.0,conv,50,0.02,0.03,0.0,0.05,,0,,Neither
A' conv SMA50 +2/-3% TS8% 1x,A-trail,1,7.248592829024902,10.502452196649067,0.23947913230381002,0.2673712384152233,0.16006375301385298,-45.28566082289449,21088.95447359241,3.55627147766323,272,29.236605518889984,1.0,conv,50,0.02,0.03,0.0,0.08,,0,,Neither
A' conv SMA50 +2/-3% TS8% 2x,A-trail,2,7.661360530467953,20.930233501240018,0.24221797776419698,0.27044073223120785,0.0972218318250031,-78.80288189033728,28291.197466801445,3.55627147766323,272,29.236605518889984,2.0,conv,50,0.02,0.03,0.0,0.08,,0,,Neither
A' conv SMA50 +2/-3% TS8% 3x,A-trail,3,6.779300119047238,31.428193660235525,0.234593845699242,0.2617910098794656,0.07229387741531113,-93.77419446050419,15079.523829575824,3.55627147766323,272,29.236605518889984,3.0,conv,50,0.02,0.03,0.0,0.08,,0,,Neither
A' conv SMA50 +5/-3% TS3% 1x,A-trail,1,5.981268154926922,4.606997350830415,0.08858402061855335,0.043184884856988834,0.37972828173206874,-15.751442393609297,8495.794725542813,2.052700816151203,157,86.44701969547368,1.0,conv,50,0.05,0.03,0.0,0.03,,0,,Neither
A' conv SMA50 +5/-3% TS3% 2x,A-trail,2,5.9018476181697865,9.188474965923126,0.09020003945394865,0.043883543847420096,0.174543560774859,-33.813035507981226,8022.367476041959,2.052700816151203,157,86.44701969547368,2.0,conv,50,0.05,0.03,0.0,0.03,,0,,Neither
A' conv SMA50 +5/-3% TS3% 3x,A-trail,3,5.607077717455788,13.775749910184826,0.08909359858280547,0.04338131546324975,0.10517799734986095,-53.31036774549502,6482.1196296557355,2.052700816151203,157,86.44701969547368,3.0,conv,50,0.05,0.03,0.0,0.03,,0,,Neither
A' conv SMA50 +5/-3% TS5% 1x,A-trail,1,6.52454348408793,7.042439598359655,0.16837740564899986,0.12030967006910764,0.2576891298434923,-25.319436206139613,12561.554904666627,2.0396262886597936,156,70.63347710855896,1.0,conv,50,0.05,0.03,0.0,0.05,,0,,Neither
A' conv SMA50 +5/-3% TS5% 2x,A-trail,2,6.684764976326396,14.04746916070238,0.16661896015328914,0.11894411964283487,0.13305101233536806,-50.242120364156214,14091.80639304282,2.0396262886597936,156,70.63347710855896,2.0,conv,50,0.05,0.03,0.0,0.05,,0,,Neither
A' conv SMA50 +5/-3% TS5% 3x,A-trail,3,6.323425760966894,21.07447764688186,0.1635964099827231,0.11674483781075697,0.08446055187226037,-74.86839264951234,10871.035749141241,2.0396262886597936,156,70.63347710855896,3.0,conv,50,0.05,0.03,0.0,0.05,,0,,Neither
A' conv SMA50 +5/-3% TS8% 1x,A-trail,1,6.794174465813052,8.65228344068319,0.177558873549288,0.15084275712521517,0.2725511064786757,-24.928075154758638,15241.033174094297,2.0396262886597936,156,59.30987891700879,1.0,conv,50,0.05,0.03,0.0,0.08,,0,,Neither
A' conv SMA50 +5/-3% TS8% 2x,A-trail,2,6.934408684139259,17.246008426969226,0.17349555719490534,0.14749956408842,0.1253171733303093,-55.3348635295311,16850.147025912825,2.0396262886597936,156,59.30987891700879,2.0,conv,50,0.05,0.03,0.0,0.08,,0,,Neither
A' conv SMA50 +5/-3% TS8% 3x,A-trail,3,6.280318185638145,25.899862199230505,0.1696178144416853,0.14400303858646255,0.07837257771612202,-80.13412814347461,10539.034310535464,2.0396262886597936,156,59.30987891700879,3.0,conv,50,0.05,0.03,0.0,0.08,,0,,Neither
A' conv SMA50 +3/-5% TS3% 1x,A-trail,1,6.222449989211665,4.33566429669897,0.18112478696927903,0.08721870849805193,0.37870419595711546,-16.430897929412687,10109.036688119704,1.8696574312714775,143,86.80559164371459,1.0,conv,50,0.03,0.05,0.0,0.03,,0,,Neither
A' conv SMA50 +3/-5% TS3% 2x,A-trail,2,6.468665603484047,8.654878046726468,0.18787004728352166,0.09022282048460614,0.1474467279471506,-43.871204831365354,12067.430373740974,1.8696574312714775,143,86.80559164371459,2.0,conv,50,0.03,0.05,0.0,0.03,,0,,Neither
A' conv SMA50 +3/-5% TS3% 3x,A-trail,3,6.45524120907619,12.97129175923241,0.1831627083926515,0.08813755670347463,0.09631810637134505,-67.02001785820661,11951.606921537637,1.8696574312714775,143,86.80559164371459,3.0,conv,50,0.03,0.05,0.0,0.03,,0,,Neither
A' conv SMA50 +3/-5% TS5% 1x,A-trail,1,6.073269238353829,6.395431903830437,0.15066868858188462,0.10070683030147688,0.15803405912656115,-38.430128745159095,9078.762328724666,1.8565829037800687,142,74.23998337057631,1.0,conv,50,0.03,0.05,0.0,0.05,,0,,Neither
