Strategy,Variant,Leverage,CAGR_pct,Vol_pct,Sharpe,Sortino,Calmar,MaxDD_pct,End_Value,Trades_Per_Year,Total_Trades,Pct_Cash_Time,Avg_Leverage,Direction,SMA,UpBand,LoBand,Stop,Trail,Bmode,N,Param,Class
B-accel conv SMA200 e3% N10 s2% 2x,B-accel,2,13.464213647893963,20.722662221943587,0.5054534619663675,0.5616446014217237,0.34478615482893765,-39.05091158481727,1568292.528054961,2.588756443298969,198,31.1178090734293,2.0,conv,200,0.03,0.03,0.0,0.0,accel,10,0.02,Octane
B-accel conv SMA200 e3% N20 s2% 2x,B-accel,2,13.43995745401032,20.83250372898116,0.49276290302495196,0.5506830046799931,0.34412007001947115,-39.056011621902364,1542855.5694970808,1.4904961340206184,114,30.463025515771967,2.0,conv,200,0.03,0.03,0.0,0.0,accel,20,0.02,Octane
A conv SMA200 +5/-3% 2x,A,2,12.961189952713493,20.51228980978557,0.47036820123254036,0.5157065387549538,0.3365460049121834,-38.51238690560454,1116448.3694746848,0.9152169243986253,70,32.863898560515516,2.0,conv,200,0.05,0.03,0.0,0.0,,0,,Octane
