strategy,sell_buffer_x,sell_label,cagr,ann_volatility,sharpe,max_drawdown,calmar,end_$,rebalances,trading_costs_total,pct_days_cash,pct_cash_sessions,tier2_entries,tier3_entries,lead_only_days,guard_blocked_days,buffer_exits,pct_days_1x
Guarded max 1x (X=0.139),0.139,cross below SMA20+13.90%,0.14177481983985052,0.17755719357121488,0.6999232816252442,-0.4158084547671292,0.3409618496556319,3011.448552223037,2,1.994238437938141,0.29316463508717794,0.2931646350871779,10,2,814,1964,0,99.70683536491282
Guarded max 1x (X=0.14),0.14,cross below SMA20+14.00%,0.14177481983985052,0.17755719357121488,0.6999232816252442,-0.4158084547671292,0.3409618496556319,3011.448552223037,2,1.994238437938141,0.29316463508717794,0.2931646350871779,10,2,814,1964,0,99.70683536491282
Guarded max 1x (X=0.141),0.141,cross below SMA20+14.10%,0.14177481983985052,0.17755719357121488,0.6999232816252442,-0.4158084547671292,0.3409618496556319,3011.448552223037,2,1.994238437938141,0.29316463508717794,0.2931646350871779,10,2,814,1964,0,99.70683536491282
Guarded max 1x (X=0.142),0.142,cross below SMA20+14.20%,0.14177481983985052,0.17755719357121488,0.6999232816252442,-0.4158084547671292,0.3409618496556319,3011.448552223037,2,1.994238437938141,0.29316463508717794,0.2931646350871779,10,2,814,1964,0,99.70683536491282
Guarded max 1x (X=0.143),0.143,cross below SMA20+14.30%,0.14177481983985052,0.17755719357121488,0.6999232816252442,-0.4158084547671292,0.3409618496556319,3011.448552223037,2,1.994238437938141,0.29316463508717794,0.2931646350871779,10,2,814,1964,0,99.70683536491282
Guarded max 1x (X=0.144),0.144,cross below SMA20+14.40%,0.14177481983985052,0.17755719357121488,0.6999232816252442,-0.4158084547671292,0.3409618496556319,3011.448552223037,2,1.994238437938141,0.29316463508717794,0.2931646350871779,10,2,814,1964,0,99.70683536491282
Guarded max 1x (X=0.145),0.145,cross below SMA20+14.50%,0.14177481983985052,0.17755719357121488,0.6999232816252442,-0.4158084547671292,0.3409618496556319,3011.448552223037,2,1.994238437938141,0.29316463508717794,0.2931646350871779,10,2,814,1964,0,99.70683536491282
Guarded max 1x (X=0.146),0.146,cross below SMA20+14.60%,0.14177481983985052,0.17755719357121488,0.6999232816252442,-0.4158084547671292,0.3409618496556319,3011.448552223037,2,1.994238437938141,0.29316463508717794,0.2931646350871779,10,2,814,1964,0,99.70683536491282
Guarded max 1x (X=0.147),0.147,cross below SMA20+14.70%,0.14177481983985052,0.17755719357121488,0.6999232816252442,-0.4158084547671292,0.3409618496556319,3011.448552223037,2,1.994238437938141,0.29316463508717794,0.2931646350871779,10,2,814,1964,0,99.70683536491282
Guarded max 1x (X=0.148),0.148,cross below SMA20+14.80%,0.14177481983985052,0.17755719357121488,0.6999232816252442,-0.4158084547671292,0.3409618496556319,3011.448552223037,2,1.994238437938141,0.29316463508717794,0.2931646350871779,10,2,814,1964,0,99.70683536491282
Guarded max 1x (X=0.149),0.149,cross below SMA20+14.90%,0.14177481983985052,0.17755719357121488,0.6999232816252442,-0.4158084547671292,0.3409618496556319,3011.448552223037,2,1.994238437938141,0.29316463508717794,0.2931646350871779,10,2,814,1964,0,99.70683536491282
