name,cagr,total_return,max_drawdown,avg_drawdown,ulcer_index,max_dd_duration_days,volatility,downside_volatility,sharpe,sortino,calmar,win_rate,profit_factor,expectancy_ann,best_day,worst_day,best_month,worst_month,beta,alpha,information_ratio,tracking_error,skewness,excess_kurtosis,final_value,total_trading_costs,turnover_notional,cost_drag_pct,rebalances,avg_lev,final
SMA stair 20/50/200 (stack),0.47453126214312547,114531.01858509105,-0.31127847372068285,-0.09697426798697276,0.11483098713456384,287.0,0.37023216585412333,0.2827095131148558,1.6748394510015476,2.1933447890390423,1.5244589722864454,0.6266065986484696,1.3705961374952964,0.6200794374022338,0.1530050741685178,-0.20641098531369442,0.3473681207764705,-0.20835153438676102,1.086997655560452,0.25757554760955925,1.4695676551724632,0.2861302313801564,-0.09431803526175662,4.039677157749685,11338669.839924013,0.0,0.0,0.0,457,2.373873873873874,11338669.839924013
SMA stair 20/50/200 (excl),0.3548849552897455,9046.548450753082,-0.5021953635238416,-0.1381555911885649,0.17285497129810246,1243.0,0.2615604650120723,0.18330913693408515,3.9302908679315025,5.608060374091006,0.7066671281064055,0.7675897707698424,2.456544572375327,1.028008707048865,0.14243811404838344,-0.10543308670169749,0.28876198390667485,-0.15456606466085832,0.6116385921663755,0.23280696632541636,3.442326798122602,0.2406561176300082,1.1128623715777617,6.029389737821636,895707.2966245551,0.0,0.0,0.0,1055,1.6445416004239535,895707.2966245551
SMA stair 20/100/200 (stack),0.4460777428004308,63838.77996470602,-0.3094156800278625,-0.10059587742556174,0.11862442091401673,561.0,0.36309609140778193,0.2808393572673192,1.6393316164614018,2.1194853465348054,1.441677883810743,0.6271366105737379,1.362746608086047,0.595234902458336,0.1530050741685178,-0.20641098531369442,0.3473681207764714,-0.2083515343867608,1.0458238302890381,0.23733998222117555,1.3943774899169776,0.28374181390646946,-0.14874822122483308,4.167806524366207,6320138.216505895,0.0,0.0,0.0,453,2.3404875463698995,6320138.216505895
SMA stair 20/100/200 (excl),0.33988471219626626,6477.897670888575,-0.5513807687298232,-0.1345100678652728,0.17588292503269812,1195.0,0.2540208143305328,0.1770895758756397,3.9593672307516004,5.679395205596062,0.6164246768693703,0.7675897707698424,2.464790448216181,1.005761688189148,0.14243811404838344,-0.10543308670169749,0.28876198390667507,-0.15456606466085876,0.579319894834386,0.22425726710991875,3.3746822543468076,0.23888767096570543,1.0686908091381893,5.571671939027589,641410.8694179689,0.0,0.0,0.0,991,1.6269210386857447,641410.8694179689
SMA stair 10/50/200 (stack),0.5262682845747673,322233.66824730596,-0.30941568002786257,-0.09108939558128142,0.10787895735330867,269.0,0.3734941299748321,0.28212458776296406,1.8425414119800725,2.439271270422877,1.70084555678425,0.622366503246323,1.409649524808103,0.6881784016100958,0.1530050741685178,-0.20641098531369442,0.3473681207764705,-0.20783509233535824,1.1449436390974435,0.297747032435569,1.7399962452313003,0.28079755847186005,-0.08863184409596059,3.923271159471434,31901232.15648329,0.0,0.0,0.0,548,2.3946740858505566,31901232.15648329
SMA stair 10/50/200 (excl),0.2797419467203537,1632.9254226368332,-0.8080401603533736,-0.24624953420585616,0.33071755594944036,1681.0,0.2475670224521261,0.14729657338819935,5.383179801874647,9.047717568841296,0.34619807337053204,0.8076056711276004,3.765872835241792,1.3326977948745324,0.14243811404838344,-0.07053258245730411,0.271872793307516,-0.19276768063660243,0.621387196903887,0.15571821712290274,5.073793349862287,0.22332523469966398,1.6653058177526097,6.696755787789901,161758.6168410465,0.0,0.0,0.0,1514,1.5060943296237415,161758.6168410465
SMA stair 50/100/200 (stack),0.40911026217229063,29357.755980131158,-0.3094156800278624,-0.10778055777210889,0.12558520967269424,778.0,0.3603546641398476,0.2830638782981183,1.5117633950047085,1.9245514254280567,1.3222027472410283,0.6378693520604214,1.3370221094063526,0.5447709904658374,0.1530050741685178,-0.20641098531369442,0.3473681207764705,-0.20835153438676102,0.9997195073110319,0.20957454198715417,1.1991336202258878,0.28785723329304286,-0.13671262862504788,4.347634823893188,2906516.842032985,0.0,0.0,0.0,384,2.308161102278749,2906516.842032985
SMA stair 50/100/200 (excl),0.3296179437701734,5142.963823294514,-0.45234464791223233,-0.14090228139049457,0.1656080516522522,770.0,0.28490639307430504,0.22788633495140537,2.5723655599229565,3.2160041254886784,0.7286876174870286,0.7327414866834504,1.743352716566802,0.7328833933462146,0.14243811404838344,-0.1179179995011439,0.2887619839066755,-0.1589889067626752,0.6563206476691746,0.19862178720092882,2.06846386968687,0.25782016160040677,0.40078201581346673,4.732349759545315,509252.4185061569,0.0,0.0,0.0,654,1.8004769475357711,509252.4185061569
SMA stair 20/60/120 (stack),0.4422887592730844,59007.33647506237,-0.3368147329787095,-0.10740218299913831,0.12473789532331966,482.0,0.35065091321016834,0.26697572260265884,1.9993118413432949,2.6259336097099775,1.3131514627094476,0.6507221412481781,1.4718802397065651,0.7010605229589295,0.16593400865021427,-0.17689193972784956,0.3473681207764705,-0.1851236171187468,0.9763732561027433,0.2474127571532669,1.7937323052728678,0.27956725609828476,0.09764837274560204,4.359280568857762,5841825.311031175,0.0,0.0,0.0,629,2.259009009009009,5841825.311031175
SMA stair 20/60/120 (excl),0.3614119482480247,10449.485553681929,-0.49500393779853563,-0.1390080636040743,0.17288660964800567,1243.0,0.2701576932268946,0.1901109478535448,3.9000525816872305,5.54218060994519,0.7301193397679954,0.7638796872929641,2.4443048684820217,1.0536292089322168,0.16593400865021427,-0.10543308670169749,0.28876198390667485,-0.15456606466085865,0.6328311708253779,0.23510409639277513,3.472336546267232,0.24595470322465302,1.187885986668038,7.091770737603537,1034598.069814511,0.0,0.0,0.0,1057,1.6853471118177001,1034598.069814511
