cagr,sharpe,rebalances,strategy,family
0.17960913667312184,5.207535842609535,1346,SMA10 1x/cash,binary
0.17960913667312184,5.207535842609535,1346,SMA10 tier 1x/2x@10%/3x@25%,tier
0.2411336755100184,5.034442187959466,1346,SMA10 2x/cash,binary
0.2962492534712895,4.939741311184347,1346,SMA10 3x/cash,binary
0.17549146998902487,4.436091019480693,1044,SMA15 1x/cash,binary
0.1842641925004167,4.416858926094465,1002,SMA10 1x/cash in+0.5%/out-0%,buffer
0.30991708311832467,4.409350431537759,1002,SMA10 2x/cash in+0.5%/out-0%,buffer
0.40687661477911385,4.306085500223873,1002,SMA10 3x/cash in+0.5%/out-0%,buffer
0.23524455406534583,4.1349805212731505,910,SMA10 1x/cash in+0%/out-0.5%,buffer
0.40917540884854686,4.089069313648952,910,SMA10 2x/cash in+0%/out-0.5%,buffer
0.5601567757683776,3.97769336669919,910,SMA10 3x/cash in+0%/out-0.5%,buffer
0.16893526936786363,3.96718641055675,868,SMA20 1x/cash,binary
0.16929020446166976,3.911648365034394,878,SMA20 tier 1x/2x@10%/3x@25%,tier
0.2713458824771908,3.8491336370888827,868,SMA20 2x/cash,binary
0.32540338064627505,3.813056332891506,776,SMA15 2x/cash in+0.5%/out-0%,buffer
0.2758473482332422,3.7385377839243112,744,SMA10 2x/cash in+1%/out-0%,buffer
0.3305522405434236,3.735955513986863,868,SMA20 3x/cash,binary
0.41002631553801794,3.678309917432907,776,SMA15 3x/cash in+0.5%/out-0%,buffer
0.3945210227207423,3.6656124713074854,742,SMA15 2x/cash in+0%/out-0.5%,buffer
0.5270868417696846,3.53548606186371,742,SMA15 3x/cash in+0%/out-0.5%,buffer
0.2884931437713478,3.4129098500483677,670,SMA20 2x/cash in+0.5%/out-0%,buffer
0.44276091877312784,3.360064123032884,672,SMA10 2x/cash in+0%/out-1%,buffer
0.2768816751908947,3.3492400216071307,624,SMA15 2x/cash in+1%/out-0%,buffer
0.35652842164633336,3.2805078839562434,670,SMA20 3x/cash in+0.5%/out-0%,buffer
0.3306354264402078,3.240533353187389,640,SMA20 2x/cash in+0%/out-0.5%,buffer
0.29650361145302573,3.2356159872821455,632,SMA10 2x/cash in+1%/out-0.5%,buffer
0.5965793572084328,3.220434327297536,672,SMA10 3x/cash in+0%/out-1%,buffer
0.3477284216969274,3.216068075179442,606,SMA15 2x/cash in+0.5%/out-0.5%,buffer
0.42177152232903325,3.1197658521917364,640,SMA20 3x/cash in+0%/out-0.5%,buffer
0.37215898216232945,3.114979316841988,632,SMA10 3x/cash in+1%/out-0.5%,buffer
0.44006716548299263,3.0710495893473775,606,SMA15 3x/cash in+0.5%/out-0.5%,buffer
0.370403918163448,3.047231334052671,598,SMA10 2x/cash in+0.5%/out-1%,buffer
0.3767626379196696,3.0082684401522606,578,SMA15 2x/cash in+0%/out-1%,buffer
0.15682197899049855,2.9424613686699304,536,SMA30 1x/cash in+0.5%/out-0%,buffer
0.24723920980292946,2.93198771159882,536,SMA20 2x/cash in+1%/out-0%,buffer
0.4847632171988747,2.9168498671813254,598,SMA10 3x/cash in+0.5%/out-1%,buffer
0.1638295175608364,2.889529495788197,532,SMA20 1x/cash in+0.5%/out-0.5%,buffer
0.2931912977869555,2.8848893186170583,510,SMA15 2x/cash in+1%/out-0.5%,buffer
0.2966087711091514,2.8836533145178294,532,SMA20 2x/cash in+0.5%/out-0.5%,buffer
0.4940081407360939,2.880698439600244,578,SMA15 3x/cash in+0%/out-1%,buffer
0.17625677417047614,2.81508325440642,496,SMA30 1x/cash in+0%/out-0.5%,buffer
0.2980851106239346,2.7993886480093306,536,SMA20 3x/cash in+1%/out-0%,buffer
0.31295488345158584,2.7901584973231097,520,SMA10 2x/cash in+1%/out-1%,buffer
0.18752103136991116,2.7640826698301026,492,SMA20 1x/cash in+0%/out-1%,buffer
0.36544764486172965,2.7468575400648385,532,SMA20 3x/cash in+0.5%/out-0.5%,buffer
0.36043147028883515,2.736138618736813,510,SMA15 3x/cash in+1%/out-0.5%,buffer
0.33672770314860156,2.724787509907439,492,SMA15 2x/cash in+0.5%/out-1%,buffer
0.38719071559309404,2.6503341735230324,520,SMA10 3x/cash in+1%/out-1%,buffer
0.42356042054297194,2.589291119943239,492,SMA15 3x/cash in+0.5%/out-1%,buffer
0.4253032855533676,2.5885096675462607,492,SMA20 3x/cash in+0%/out-1%,buffer
0.13102753136732637,2.581120221550997,373,SMA10 1x/cash in+2%/out-0%,buffer
0.14829630531115634,2.5743241275938566,440,SMA20 1x/cash in+1%/out-0.5%,buffer
0.21714618591380153,2.5690041047759484,373,SMA10 2x/cash in+2%/out-0%,buffer
0.2571554794446336,2.539940299088801,440,SMA20 2x/cash in+1%/out-0.5%,buffer
0.1253686646294303,2.482691762207729,370,SMA15 1x/cash in+2%/out-0%,buffer
0.2853866686034612,2.4786774368639812,426,SMA15 2x/cash in+1%/out-1%,buffer
0.2732111118754894,2.4728304335534337,373,SMA10 3x/cash in+2%/out-0%,buffer
0.20295660986046693,2.4559957494752505,370,SMA15 2x/cash in+2%/out-0%,buffer
0.29433416606826346,2.4445247261640475,422,SMA20 2x/cash in+0.5%/out-1%,buffer
0.1389503770321192,2.428174788800661,351,SMA10 1x/cash in+2%/out-0.5%,buffer
0.31275028859262166,2.4131358798218314,440,SMA20 3x/cash in+1%/out-0.5%,buffer
0.23260644003492703,2.4053127451258813,351,SMA10 2x/cash in+2%/out-0.5%,buffer
0.2839427961763441,2.353524951171856,404,SMA30 2x/cash in+0%/out-1%,buffer
0.34724183829240296,2.337848539877108,426,SMA15 3x/cash in+1%/out-1%,buffer
0.3679712771590484,2.324714187603571,422,SMA20 3x/cash in+0.5%/out-1%,buffer
0.23983164978942773,2.319433006968863,370,SMA15 3x/cash in+2%/out-0%,buffer
0.29695173332817193,2.3081326054463958,351,SMA10 3x/cash in+2%/out-0.5%,buffer
0.11962740127716365,2.294536154791537,344,SMA20 1x/cash in+2%/out-0%,buffer
0.12678844218359608,2.259962803294023,340,SMA15 1x/cash in+2%/out-0.5%,buffer
0.30924116118671785,2.246055398765284,410,SMA30 3x/cash in+0.5%/out-0.5%,buffer
0.18802454789939893,2.2255741683315233,344,SMA20 2x/cash in+2%/out-0%,buffer
0.20546807921784804,2.224736997661925,340,SMA15 2x/cash in+2%/out-0.5%,buffer
0.34425027900522975,2.213662218807861,404,SMA30 3x/cash in+0%/out-1%,buffer
0.1395846205712321,2.2094744918591065,324,SMA10 1x/cash in+2%/out-1%,buffer
0.14746679944398733,2.198897420696422,332,SMA30 1x/cash in+1%/out-0.5%,buffer
0.3676752121766489,2.1893590262249094,396,SMA10 2x/cash in+0%/out-2%,buffer
0.23270448628136475,2.180305383502828,324,SMA10 2x/cash in+2%/out-1%,buffer
0.1291439913109913,2.1383939103294063,302,SMA20 1x/cash in+2%/out-0.5%,buffer
0.2490619571545316,2.111013686768192,350,SMA30 2x/cash in+0.5%/out-1%,buffer
0.3550348098853702,2.109081888212276,340,SMA15 2x/cash in+0%/out-2%,buffer
0.2358244956200597,2.1084101330564917,332,SMA30 2x/cash in+1%/out-0.5%,buffer
0.14058860092135173,2.071027523201763,302,SMA50 1x/cash in+1%/out-0%,buffer
0.2900983184024202,2.0700413971092138,324,SMA10 3x/cash in+2%/out-1%,buffer
0.46827598883505606,2.068822180516434,396,SMA10 3x/cash in+0%/out-2%,buffer
0.19201640139354503,2.0680849793801426,304,SMA15 1x/cash in+0.5%/out-2%,buffer
0.14920682970641308,2.033403806657393,292,SMA30 1x/cash in+1%/out-1%,buffer
0.2012348586777506,2.032687786588524,302,SMA20 2x/cash in+2%/out-0.5%,buffer
0.33729315175699504,2.0103833126001636,304,SMA15 2x/cash in+0.5%/out-2%,buffer
0.15851695054797266,1.9923993073848074,284,SMA50 1x/cash in+0%/out-1%,buffer
0.45265988058366347,1.9872026118168704,340,SMA15 3x/cash in+0%/out-2%,buffer
0.2189540864714914,1.9823826366665946,302,SMA50 2x/cash in+1%/out-0%,buffer
0.1300500421723101,1.949019440610585,272,SMA20 1x/cash in+2%/out-1%,buffer
0.16970457008845896,1.942076449316688,288,SMA15 1x/cash in+1%/out-2%,buffer
0.2401162402378474,1.9221943999435076,302,SMA20 3x/cash in+2%/out-0.5%,buffer
0.2321998574150188,1.9140699686589915,292,SMA30 2x/cash in+1%/out-1%,buffer
0.16608429701163385,1.9068012346901424,278,SMA20 1x/cash in+0.5%/out-2%,buffer
0.2529200981270845,1.8948350091931827,284,SMA50 2x/cash in+0%/out-1%,buffer
0.4190487978427042,1.8796578427371131,304,SMA15 3x/cash in+0.5%/out-2%,buffer
0.2876343191885846,1.8782951808286104,288,SMA15 2x/cash in+1%/out-2%,buffer
0.14660846218014134,1.8397476703806765,264,SMA100 1x/cash in+0%/out-0.5%,buffer
0.14054803258615367,1.8392996531785226,260,SMA100 1x/cash in+0.5%/out-0%,buffer
0.16196303722336425,1.829421885315668,258,SMA30 1x/cash in+0%/out-2%,buffer
0.19974680344675377,1.8281893899350494,272,SMA20 2x/cash in+2%/out-1%,buffer
0.12045027910451345,1.8230356055635506,252,SMA30 1x/cash in+2%/out-0.5%,buffer
0.275695278420131,1.8216799109846658,278,SMA20 2x/cash in+0.5%/out-2%,buffer
0.14846120392652717,1.8074553221926826,238,SMA50 1x/cash in+0.5%/out-1%,buffer
0.3201039183340155,1.796433178011309,284,SMA50 3x/cash in+0%/out-1%,buffer
0.2620243068184367,1.7449187012932257,258,SMA30 2x/cash in+0%/out-2%,buffer
0.344288242344563,1.7436375900948302,288,SMA15 3x/cash in+1%/out-2%,buffer
0.12352060724849823,1.723488834765584,228,SMA30 1x/cash in+2%/out-1%,buffer
0.14624311244826083,1.722794437163178,212,SMA20 1x/cash in+2%/out-2%,buffer
0.17593279643715998,1.706019409606292,252,SMA30 2x/cash in+2%/out-0.5%,buffer
0.22923360446515328,1.7008174818702804,238,SMA50 2x/cash in+0.5%/out-1%,buffer
0.1515339533097837,1.7007903223064404,230,SMA30 1x/cash in+0.5%/out-2%,buffer
0.3289449063711265,1.6911424192358,278,SMA20 3x/cash in+0.5%/out-2%,buffer
0.14116275026937242,1.670223061411657,202,SMA50 1x/cash in+1%/out-1%,buffer
0.14909063063991201,1.647486479666946,206,SMA30 1x/cash in+1%/out-2%,buffer
0.14269141418082754,1.6462227067883406,200,SMA100 1x/cash in+0.5%/out-0.5%,buffer
0.31646860372040453,1.621292963404838,258,SMA30 3x/cash in+0%/out-2%,buffer
0.24003332724559878,1.6153819928953437,230,SMA30 2x/cash in+0.5%/out-2%,buffer
0.14445472496064493,1.6081555834198396,202,SMA100 1x/cash in+0%/out-1%,buffer
0.228583020019834,1.6051553547597421,212,SMA20 2x/cash in+2%/out-2%,buffer
0.28398311541771415,1.5998554647302463,238,SMA50 3x/cash in+0.5%/out-1%,buffer
0.22303711820134065,1.560415168215347,200,SMA100 2x/cash in+0.5%/out-0.5%,buffer
0.2314718163144358,1.5449358118955445,206,SMA30 2x/cash in+1%/out-2%,buffer
0.13266711327428915,1.512607149293092,182,SMA100 1x/cash in+1%/out-0.5%,buffer
0.14709675740044448,1.5054696227051736,156,SMA200 1x/cash in+0.5%/out-0%,buffer
0.28874293096535064,1.499952431629399,230,SMA30 3x/cash in+0.5%/out-2%,buffer
0.1498926716760911,1.4830912628485071,148,SMA200 1x/cash in+0%/out-0.5%,buffer
0.2651646992127361,1.4726574684385045,212,SMA20 3x/cash in+2%/out-2%,buffer
0.2589030282445335,1.4499552678101302,202,SMA50 3x/cash in+1%/out-1%,buffer
0.26745358873919933,1.440280632255958,200,SMA100 3x/cash in+0.5%/out-0.5%,buffer
0.20061061036843575,1.4245739263626997,182,SMA100 2x/cash in+1%/out-0.5%,buffer
0.2739314600691414,1.422084855568269,206,SMA30 3x/cash in+1%/out-2%,buffer
0.1432673516934193,1.3949626320997495,124,SMA200 1x/cash in+1%/out-0%,buffer
0.145429450367083,1.3869610793620393,124,SMA200 1x/cash in+0.5%/out-0.5%,buffer
0.18939160187237625,1.3655792474699877,178,SMA30 2x/cash in+2%/out-2%,buffer
0.20586214880701448,1.3593518602239003,166,SMA100 2x/cash in+0.5%/out-1%,buffer
0.21029124964836177,1.3407765248417027,156,SMA200 2x/cash in+0.5%/out-0%,buffer
0.22005119354032554,1.3382179378540067,148,SMA200 2x/cash in+0%/out-0.5%,buffer
0.2355335867092987,1.3087544992538527,182,SMA100 3x/cash in+1%/out-0.5%,buffer
0.1422764407447239,1.3036204835801584,100,SMA200 1x/cash in+1%/out-0.5%,buffer
0.21027175178884594,1.254627268411109,124,SMA200 2x/cash in+1%/out-0%,buffer
0.24357150232200664,1.252549060945494,166,SMA100 3x/cash in+0.5%/out-1%,buffer
0.25427015690304855,1.2493381052750387,156,SMA200 3x/cash in+0.5%/out-0%,buffer
0.26549015106916674,1.2407944048242603,148,SMA200 3x/cash in+0%/out-0.5%,buffer
0.21074416128773965,1.2385560316481623,124,SMA200 2x/cash in+0.5%/out-0.5%,buffer
0.12949637025982197,1.2195695219016833,98,SMA200 1x/cash in+2%/out-0%,buffer
0.13628589103471778,1.2158987419227911,90,SMA200 1x/cash in+1%/out-1%,buffer
0.25733784142109273,1.1687761620230215,124,SMA200 3x/cash in+1%/out-0%,buffer
0.1308376358434571,1.16821011792815,80,SMA200 1x/cash in+2%/out-0.5%,buffer
0.2062234421055733,1.1584931095495103,100,SMA200 2x/cash in+1%/out-0.5%,buffer
0.13280713556020673,1.1312081735343356,88,SMA200 1x/cash in+0%/out-2%,buffer
0.12519137096121713,1.0878764005956971,72,SMA200 1x/cash in+2%/out-1%,buffer
0.13009735510311105,1.0857956615500937,78,SMA200 1x/cash in+0.5%/out-2%,buffer
0.1842966877372556,1.0838494393196552,98,SMA200 2x/cash in+2%/out-0%,buffer
0.19532275330793825,1.0774723861980053,90,SMA200 2x/cash in+1%/out-1%,buffer
0.24944112657199158,1.0697636686491954,100,SMA200 3x/cash in+1%/out-0.5%,buffer
0.13042208253736876,1.0619566918238217,66,SMA200 1x/cash in+1%/out-2%,buffer
0.19453475077901428,1.0246389973147143,88,SMA200 2x/cash in+0%/out-2%,buffer
0.18328261543841173,1.0205099933753612,80,SMA200 2x/cash in+2%/out-0.5%,buffer
0.21734117089193306,0.9927720897131834,98,SMA200 3x/cash in+2%/out-0%,buffer
0.2295465975481823,0.9826135542475765,90,SMA200 3x/cash in+1%/out-1%,buffer
0.12136246854078037,0.9787321256064289,58,SMA200 1x/cash in+2%/out-2%,buffer
0.18756565302165518,0.9734571356543862,78,SMA200 2x/cash in+0.5%/out-2%,buffer
0.17411926682246048,0.951148657459777,72,SMA200 2x/cash in+2%/out-1%,buffer
0.18613453880679542,0.9374278320065562,66,SMA200 2x/cash in+1%/out-2%,buffer
0.21438919100870213,0.9276453001335814,80,SMA200 3x/cash in+2%/out-0.5%,buffer
0.22080544801340074,0.9176843788936689,88,SMA200 3x/cash in+0%/out-2%,buffer
0.21278760433753185,0.8706162508874523,78,SMA200 3x/cash in+0.5%/out-2%,buffer
0.19760133182535844,0.852267856464273,72,SMA200 3x/cash in+2%/out-1%,buffer
0.2135683445975225,0.8398610121252369,66,SMA200 3x/cash in+1%/out-2%,buffer
0.1635631614792692,0.835775500936425,58,SMA200 2x/cash in+2%/out-2%,buffer
0.18029743632204642,0.7359524329248814,58,SMA200 3x/cash in+2%/out-2%,buffer
