label,A_pct,B_pct,X_pct,Y_pct,trigger_a,trigger_b,x_return,y_return,cagr,ann_volatility,sharpe,max_drawdown,calmar,end_$,ulcer_index,max_dd_duration_days,rebalances,tier2_entries,tier3_entries,lead_only_days,pct_days_cash,pct_days_1x,pct_days_2x,pct_days_3x
A3/B15,3.0,15.0,40.0,15.0,0.03,0.15,0.4,0.15,0.9195264233511049,0.45480584732646057,3.222541646272823,-0.3551050411675642,2.589449083369126,30649141060.70987,0.10178201338537787,216.0,846,13,5,559,31.06281473628412,4.5056983832494035,27.140206732043463,37.291280148423006
A3/B20,3.0,20.0,40.0,15.0,0.03,0.2,0.4,0.15,0.9192665922712535,0.4498045449443392,3.2173537727847323,-0.3551050411675639,2.588717381338098,30524996636.82187,0.09966475364326792,216.0,832,14,3,559,31.009806520010603,2.7564272462231645,32.21574344023323,34.018022793533
A3/B25,3.0,25.0,40.0,15.0,0.03,0.25,0.4,0.15,0.9170642805690434,0.4438876713450803,3.222393603394215,-0.35510504116756486,2.582515521474404,29492096334.61658,0.09776710881148983,216.0,824,14,3,559,30.95679830373708,2.4516300026504108,34.50834879406308,32.083222899549426
A3/B30,3.0,30.0,40.0,15.0,0.03,0.3,0.4,0.15,0.9002833902262222,0.43691400487164206,3.235247485365546,-0.3551050411675644,2.535259390478219,22658152977.034718,0.09688856399733564,216.0,833,14,2,559,31.16883116883117,3.127484760137821,35.14444738934535,30.559236681685658
A3/B35,3.0,35.0,40.0,15.0,0.03,0.35,0.4,0.15,0.8705052698798734,0.4320598597514372,3.216523499890857,-0.3551050411675632,2.4514021738967897,14111185083.041254,0.09785927594557933,216.0,830,13,1,559,30.864033925258415,2.0805724887357537,39.2790882586801,27.776305327325733
A3/B40,3.0,40.0,40.0,15.0,0.03,0.4,0.4,0.15,0.8744830638985754,0.42819543193861,3.218338089393541,-0.3551050411675646,2.462603912981146,15039195798.83645,0.09601127988551629,216.0,822,13,1,559,30.95679830373708,2.027564272462232,40.55128544924463,26.464351974556056
A3/B45,3.0,45.0,40.0,15.0,0.03,0.45,0.4,0.15,0.8744830638985754,0.42819543193861,3.218338089393541,-0.3551050411675646,2.462603912981146,15039195798.83645,0.09601127988551629,216.0,822,13,1,559,30.95679830373708,2.027564272462232,40.55128544924463,26.464351974556056
A4/B15,4.0,15.0,40.0,15.0,0.04,0.15,0.4,0.15,0.9098500021830846,0.45330186019186347,3.2084962894274778,-0.3551050411675645,2.562199621812046,26339790026.376865,0.10124030617056995,216.0,843,13,5,559,31.129075006626028,5.618870924993374,25.960773919957592,37.291280148423006
A4/B20,4.0,20.0,40.0,15.0,0.04,0.2,0.4,0.15,0.9097696556850159,0.4486532444734382,3.206494748261948,-0.35510504116756453,2.561973360597041,26306586912.218773,0.09942610241493836,216.0,831,14,3,559,31.076066790352503,3.4322820037105752,31.47362841240392,34.018022793533
A4/B25,4.0,25.0,40.0,15.0,0.04,0.25,0.4,0.15,0.9040672066002793,0.44223625497410224,3.2018766335587445,-0.3551050411675647,2.545914875293685,24050613556.265762,0.09736928965859196,216.0,826,14,3,559,31.195335276967928,4.3599257884972165,32.36151603498542,32.083222899549426
A4/B30,4.0,30.0,40.0,15.0,0.04,0.3,0.4,0.15,0.8774018665612606,0.4347072093739932,3.2002828585498544,-0.3551050411675639,2.4708234602257866,15757391344.730118,0.09644924984731144,216.0,830,13,2,559,31.39411608799364,5.76464351974556,32.28200371057514,30.559236681685658
A4/B35,4.0,35.0,40.0,15.0,0.04,0.35,0.4,0.15,0.855857686945712,0.43013363592724335,3.195566997942573,-0.3551050411675642,2.4101535819702895,11147982235.7832,0.0980806047300674,226.0,828,13,1,559,30.99655446594222,3.4322820037105752,37.79485820302147,27.776305327325733
A4/B40,4.0,40.0,40.0,15.0,0.04,0.4,0.4,0.15,0.8620802365743718,0.42646140817280204,3.1988300975083925,-0.3551050411675643,2.4276767058555495,12324860597.074226,0.0956642744539716,216.0,825,13,1,559,31.20858733103631,4.041876490856082,38.285184203551545,26.464351974556056
A4/B45,4.0,45.0,40.0,15.0,0.04,0.45,0.4,0.15,0.8620802365743718,0.42646140817280204,3.1988300975083925,-0.3551050411675643,2.4276767058555495,12324860597.074226,0.0956642744539716,216.0,825,13,1,559,31.20858733103631,4.041876490856082,38.285184203551545,26.464351974556056
A5/B15,5.0,15.0,40.0,15.0,0.05,0.15,0.4,0.15,0.9080904201210989,0.4507833740324346,3.197853926215724,-0.3551050411675641,2.557244518791826,25621832050.89322,0.10036857392372654,216.0,843,12,5,559,31.38086403392526,7.354890007951233,23.972965809700504,37.291280148423006
A5/B20,5.0,20.0,40.0,15.0,0.05,0.2,0.4,0.15,0.9061349998325077,0.4461457865269931,3.195774359405196,-0.3551050411675637,2.551737921977089,24846158178.81809,0.09897284679170595,216.0,830,13,3,559,31.261595547309835,4.717731248343493,30.002650410813676,34.018022793533
A5/B25,5.0,25.0,40.0,15.0,0.05,0.25,0.4,0.15,0.9000118124899195,0.4401877084667476,3.1961417843374575,-0.35510504116756425,2.534494609061967,22561266157.350273,0.09706464124785184,216.0,825,13,3,559,31.301351709514975,5.141796978531672,31.47362841240392,32.083222899549426
A5/B30,5.0,30.0,40.0,15.0,0.05,0.3,0.4,0.15,0.8734036209931166,0.4326209463719724,3.194719162135779,-0.3551050411675641,2.4595641281842067,14781690280.791765,0.09614166718180135,216.0,829,12,2,559,31.500132520540685,6.546514709780016,31.39411608799364,30.559236681685658
