label,A_pct,B_pct,X_pct,Y_pct,trigger_a,trigger_b,x_return,y_return,cagr,ann_volatility,sharpe,max_drawdown,calmar,end_$,ulcer_index,max_dd_duration_days,rebalances,tier2_entries,tier3_entries,lead_only_days,pct_days_cash,pct_days_1x,pct_days_2x,pct_days_3x
A3/B15,3.0,15.0,40.0,15.0,0.03,0.15,0.4,0.15,0.9195264233511048,0.4548058473264605,3.222541646272823,-0.3551050411675642,2.589449083369126,30649141060.70987,0.1017820133853778,216.0,846,13,5,559,31.06281473628412,4.505698383249404,27.140206732043463,37.291280148423006
A3/B20,3.0,20.0,40.0,15.0,0.03,0.2,0.4,0.15,0.9192665922712536,0.4498045449443392,3.2173537727847323,-0.3551050411675639,2.588717381338098,30524996636.82187,0.0996647536432679,216.0,832,14,3,559,31.009806520010603,2.7564272462231645,32.21574344023323,34.018022793533
A3/B25,3.0,25.0,40.0,15.0,0.03,0.25,0.4,0.15,0.9170642805690434,0.4438876713450803,3.222393603394215,-0.3551050411675648,2.582515521474404,29492096334.61658,0.0977671088114898,216.0,824,14,3,559,30.95679830373708,2.4516300026504108,34.50834879406308,32.083222899549426
A7/B20,7.000000000000001,20.0,40.0,15.0,0.07,0.2,0.4,0.15,0.9115886395471248,0.4440299777160726,3.2090840162370844,-0.3551050411675639,2.56709574313526,27068283522.81284,0.098188898053593,216.0,835,13,3,559,31.36761197985688,5.473098330241188,29.14126689636894,34.018022793533
A4/B15,4.0,15.0,40.0,15.0,0.04,0.15,0.4,0.15,0.9098500021830846,0.4533018601918634,3.2084962894274778,-0.3551050411675645,2.562199621812046,26339790026.376865,0.1012403061705699,216.0,843,13,5,559,31.129075006626028,5.618870924993374,25.960773919957592,37.291280148423006
A4/B20,4.0,20.0,40.0,15.0,0.04,0.2,0.4,0.15,0.909769655685016,0.4486532444734382,3.206494748261948,-0.3551050411675645,2.561973360597041,26306586912.218773,0.0994261024149383,216.0,831,14,3,559,31.076066790352503,3.4322820037105752,31.47362841240392,34.018022793533
A5/B15,5.0,15.0,40.0,15.0,0.05,0.15,0.4,0.15,0.9080904201210988,0.4507833740324346,3.197853926215724,-0.3551050411675641,2.557244518791826,25621832050.89322,0.1003685739237265,216.0,843,12,5,559,31.38086403392526,7.354890007951233,23.972965809700504,37.291280148423006
A5/B20,5.0,20.0,40.0,15.0,0.05,0.2,0.4,0.15,0.9061349998325076,0.4461457865269931,3.195774359405196,-0.3551050411675637,2.551737921977089,24846158178.81809,0.0989728467917059,216.0,830,13,3,559,31.261595547309835,4.717731248343493,30.00265041081368,34.018022793533
A7/B25,7.000000000000001,25.0,40.0,15.0,0.07,0.25,0.4,0.15,0.905447924750183,0.4380429765688352,3.2098461618423086,-0.355105041167564,2.549803071714005,24579038084.74953,0.0962699980495784,216.0,830,13,3,559,31.40736814206202,5.897164060429367,30.612244897959183,32.083222899549426
A4/B25,4.0,25.0,40.0,15.0,0.04,0.25,0.4,0.15,0.9040672066002792,0.4422362549741022,3.2018766335587445,-0.3551050411675647,2.545914875293685,24050613556.26576,0.0973692896585919,216.0,826,14,3,559,31.195335276967928,4.3599257884972165,32.36151603498542,32.083222899549426
A3/B30,3.0,30.0,40.0,15.0,0.03,0.3,0.4,0.15,0.9002833902262222,0.436914004871642,3.235247485365546,-0.3551050411675644,2.535259390478219,22658152977.03472,0.0968885639973356,216.0,833,14,2,559,31.16883116883117,3.127484760137821,35.14444738934535,30.559236681685658
A5/B25,5.0,25.0,40.0,15.0,0.05,0.25,0.4,0.15,0.9000118124899195,0.4401877084667476,3.196141784337457,-0.3551050411675642,2.534494609061967,22561266157.350277,0.0970646412478518,216.0,825,13,3,559,31.30135170951497,5.141796978531672,31.47362841240392,32.083222899549426
A7/B15,7.000000000000001,15.0,40.0,15.0,0.07,0.15,0.4,0.15,0.8903058025731823,0.4476260229227834,3.180797877377132,-0.355105041167564,2.507161823571725,19349780624.83002,0.0998078618191534,226.0,853,11,5,559,31.672409223429632,10.031804929764114,21.004505698383248,37.291280148423006
A7/B30,7.000000000000001,30.0,40.0,15.0,0.07,0.3,0.4,0.15,0.8787633407993005,0.4304383187009846,3.208939832688332,-0.3551050411675636,2.474657464478625,16103626260.512163,0.0953393455468324,216.0,834,12,2,559,31.606148953087725,7.30188179167771,30.5327325735489,30.559236681685658
