strategy,cagr,ann_volatility,sharpe,sortino,max_drawdown,calmar,end_$,rebalances,trading_costs_total,funding_costs_total,win_rate,profit_factor,beta,alpha,pct_days_cash,pct_days_1x,pct_days_2x,pct_days_3x,avg_leverage,total_trades
Buy & Hold SPY 1x,0.11391294137205521,0.1913106095396163,0.5175885256525581,0.6644530132948276,-0.5367671637437875,0.2122203984639208,2539.6992829596925,2,0.19990000000000002,0.0,0.5385227423418645,1.1021702111271623,nan,nan,0.0,100.0,0.0,0.0,1.0,0
Buy & Hold SSO 2x,0.1515510239979001,0.37696983570639203,0.48559122926166937,0.6254981920594578,-0.8516550888786272,0.1779488269100195,6880.8422801198085,2,0.2998,0.0,0.5399229440680218,1.0951359620924563,nan,nan,0.0,0.0,100.0,0.0,2.0,0
Buy & Hold UPRO 3x,0.15344763905150627,0.5716325614069521,0.4488068321745313,0.5751683157736829,-0.9752598197276428,0.15734026558620967,7228.9907469235,2,0.39970000000000006,0.0,0.5361125862984599,1.0880866335963408,nan,nan,0.0,0.0,0.0,100.0,3.0,0
SMA200 ±3% Band 3x,0.1983834300328442,0.35246133549184655,0.6486495451775828,0.7175358154207754,-0.531866024096109,0.3729951172759929,22745.809231742573,32,423.103199309689,0.0,0.6760451227604513,1.14252151475767,nan,nan,28.7758346581876,0.0,0.0,100.0,3.0,31
SMA200 ±3% Band 2x,0.16465728395003043,0.23499645567749256,0.6930334348739707,0.7658869048428416,-0.3842571722618516,0.42850803013203076,9661.77238203474,32,146.4708175180058,0.0,0.6791500664010625,1.1529025248462796,nan,nan,28.7758346581876,0.0,100.0,0.0,2.0,31
SMA200 ±3% Band 1x/cash,0.11087403495192216,0.11811978466638083,0.7494226477599656,0.8320403735592503,-0.1968300138657939,0.5632984155938751,2339.9005869950274,32,25.923137576027,0.0,0.6769618239660657,1.1656511377089984,nan,nan,28.7758346581876,71.2241653418124,0.0,0.0,1.0,31
SMA200 ±3% Band + Distance Scale 1-3x + RSI>30 Exit,0.18089428724446455,0.28395195938396167,0.7426847816571162,0.7723227771027218,-0.4938234055356772,0.36631371704271215,14635.308452102188,582,2101.890244755126,0.0,0.677470775770457,1.1831495006999064,nan,nan,28.603603603603606,16.785903550609433,30.48489666136725,24.125596184419713,2.10280200408239,581
