strategy,cagr,ann_volatility,sharpe,sortino,max_drawdown,calmar,end_$,rebalances,trading_costs_total,funding_costs_total,win_rate,profit_factor,beta,alpha,pct_days_cash,pct_days_1x,pct_days_2x,pct_days_3x,avg_leverage,total_trades,simulation
SMA200 ±3% Band 1x/cash,0.05469884180073192,0.1199534274933179,-0.04458592325364989,-0.03884300851684991,-0.28853141084227113,0.18957673149365928,167.02311778042562,26,3.4137604097880265,0.0,0.7713378324732036,0.9886290771559896,,,50.95238095238095,49.047619047619044,0.0,0.0,1.0,25,0
SMA200 ±3% Band 1x/cash,0.08330122831262776,0.14049515958416378,0.2626012544067095,0.2624587142160606,-0.2721438499980615,0.30609263561613137,216.23586140110442,21,3.616914325254476,0.0,0.725466825586015,1.064362436419609,,,42.1031746031746,57.8968253968254,0.0,0.0,1.0,20,1
SMA200 ±3% Band 1x/cash,0.070001055344322,0.12056601344789165,0.14918602161420272,0.14812541544121763,-0.21103189580099393,0.3317084134539263,191.9332548147341,23,3.7256938974794322,0.0,0.722905915045653,1.0346372796804653,,,39.6031746031746,60.39682539682539,0.0,0.0,1.0,22,2
SMA200 ±3% Band 1x/cash,0.0781777849356482,0.12696242174824895,0.2133858894099273,0.18222087753441804,-0.24933767928390727,0.31354180066235154,206.56553152184023,17,3.026653052820095,0.0,0.7787926926131851,1.0569540886264421,,,52.023809523809526,47.976190476190474,0.0,0.0,1.0,16,3
SMA200 ±3% Band 1x/cash,0.09181664190061745,0.1110455902720447,0.20904067065040444,0.17489832271729142,-0.20127068572600953,0.4561848714800314,233.20907060513457,20,2.3756516201584645,0.0,0.7819698173153297,1.0563251296813048,,,53.92857142857142,46.07142857142857,0.0,0.0,1.0,19,4
SMA200 ±3% Band 1x/cash,0.10644435761087578,0.14978214480905144,0.31513415524237354,0.326443949132005,-0.2989073514157286,0.3561115412743062,265.1712964658098,24,3.304532783126459,0.0,0.6861342868494239,1.0696424350845564,,,29.841269841269842,70.15873015873015,0.0,0.0,1.0,23,5
SMA200 ±3% Band 1x/cash,0.11479197792198281,0.1393819843133253,0.4610652114536274,0.4384598269675375,-0.23133461798471558,0.49621616912332245,285.1212608321989,20,3.856499070322087,0.0,0.7373857767183154,1.1205866890744933,,,43.69047619047619,56.30952380952381,0.0,0.0,1.0,19,6
SMA200 ±3% Band 1x/cash,0.06193724655314892,0.11901885012451333,0.11177136227236825,0.09291732518773871,-0.22728459841245532,0.2725096508332292,178.4200025596868,22,3.6838975410010715,0.0,0.7939658594680429,1.0309330989142806,,,57.81746031746032,42.182539682539684,0.0,0.0,1.0,21,7
SMA200 ±3% Band 1x/cash,0.08655839402305121,0.16617743598881807,0.2131174687297212,0.22318530888722543,-0.3147740858713204,0.27498576886801374,222.59271127935128,24,3.5701139275281193,0.0,0.6804451510333863,1.0493313739466759,,,31.944444444444443,68.05555555555556,0.0,0.0,1.0,23,8
SMA200 ±3% Band 1x/cash,0.2188460584834011,0.1578412764134727,1.0682742523757558,1.2567132258342288,-0.23193248120576299,0.9435765846408032,674.6078328407032,11,5.03710038942715,0.0,0.6315998412068281,1.2454479766764888,,,21.626984126984127,78.37301587301587,0.0,0.0,1.0,10,9
