Strategy,cagr,total_return,max_drawdown,avg_drawdown,ulcer_index,max_dd_duration_days,volatility,downside_volatility,sharpe,sortino,calmar,win_rate,profit_factor,expectancy_ann,best_day,worst_day,best_month,worst_month,beta,alpha,information_ratio,tracking_error,skewness,excess_kurtosis,final_value,total_trading_costs,turnover_notional,cost_drag_pct,pct_days_in_sp500,pct_days_cash,crash_07_09,calendar_2008
Buy & Hold 1x SPX,0.19253480013700108,195.7060829654066,-0.4857631397702356,-0.06878589896616477,0.10225269762621181,946.0,0.1911660874354627,0.14887556687396802,0.5188605167299722,0.6662512660118379,0.396355310590403,0.537717088691502,1.1024802106721439,0.09918853490801123,0.11580036951513706,-0.11984055240393443,0.18655284183240894,-0.16942452401777075,,,,,-0.1444456760893708,9.95590215331308,19670.60829654066,0.0,0.0,0.0,100.0,0.0,-0.37595493994012186,-0.3758465002718241
200-day SMA,0.306630119425749,3047.6174887406723,-0.10795223920774964,-0.020425962092245505,0.023548450482297825,190.0,0.11534414437770618,0.09647339462241226,1.5526511096738294,1.856358579102167,2.8404238918625113,0.6852637158759608,1.3703254210969293,0.17908921376242384,0.051152220494071754,-0.06865683637945197,0.16179657453808094,-0.06265072571454333,0.2875461691914948,0.249238289480941,-0.11238086575507146,0.1824375555283875,-0.12897464276090564,5.122571755906248,304861.7488740672,0.0,0.0,0.0,71.78060413354531,28.21939586645469,0.2742873525820766,0.013358401094241357
10-month SMA,0.3053333029744809,2958.1522291243728,-0.10795223920774974,-0.020744469148641437,0.023488932810407807,199.0,0.11597976685987241,0.09665662810440558,1.536195820561655,1.8433048681089912,2.828411019681391,0.6824807845216009,1.3645404509305885,0.17816763311985112,0.051152220494071754,-0.06865683637945197,0.16179657453808116,-0.06265072571454344,0.29066431499983897,0.24731911699384468,-0.11769111224158892,0.18203643988947837,-0.12763774048694518,5.0530723672692615,295915.2229124373,0.0,0.0,0.0,72.28404875463698,27.715951245363016,0.3328891681403128,0.013358401094242245
12-1 month momentum,0.19700996134303894,219.0960288192608,-0.3392496000265327,-0.04070879583192942,0.05146543390154497,381.0,0.14391247657223327,0.13121195648985134,0.6602793076865899,0.7241903325016447,0.5807227520021565,0.6620278330019881,1.1516027224852958,0.09502243039857677,0.09515387644904849,-0.11984055240393443,0.16179657453808116,-0.1457967182501141,0.4415690122874084,0.10887644965915111,-0.6459613643494866,0.16188162260396544,-0.37714351736775015,16.5292902889421,22009.60288192608,0.0,0.0,0.0,74.74827768945416,25.251722310545844,0.0815302185227127,-0.028469799619121217
