scenario,pause_sessions,cagr,ann_volatility,sharpe,start_$,end_$,max_drawdown,risk_off_days,rebalances
Baseline (no DD pause),none,0.4852062485712254,0.32945421261829,3.7586118900357235,100.0,14077733.40455974,-0.43885569830026244,0,868
-20% DD vs session peak -> cash 63d -> reset peak | 3 months (~63 sessions),63,0.4380034468757408,0.3094617876405815,3.618908562471102,100.0,5342999.349133755,-0.33905653197797536,630,790
-20% DD vs session peak -> cash 42d -> reset peak | 2 months (~42 sessions),42,0.4405977352304329,0.31450333610771736,3.655954218488341,100.0,5639828.861148274,-0.3960765135420249,462,816
-20% DD vs session peak -> cash 21d -> reset peak | 1 month (~21 sessions),21,0.4688043094390457,0.3216269858268491,3.718764456510337,100.0,10089453.733369691,-0.37350994221706846,231,840
-20% DD vs session peak -> cash 10d -> reset peak | 2 weeks (~10 sessions),10,0.46117542364432995,0.32447189465302584,3.7168208609335727,100.0,8630373.026016565,-0.41076540208034734,120,854
-20% DD vs session peak -> cash 5d -> reset peak | 1 week (5 sessions),5,0.45305996192864106,0.3258566831779618,3.7040557289401836,100.0,7302554.720307277,-0.4883535224970598,60,860
