scenario,dd_stop_pct,cagr,ann_volatility,sharpe,start_$,end_$,max_drawdown,risk_off_days,rebalances
No DD stop (ref),none,0.4852062485712254,0.32945421261829,3.7586118900357235,100.0,14077733.40455974,-0.43885569830026244,0,868
10% DD stop,0.1,0.14948921100145118,0.12582772533820782,1.6314324276273877,100.0,6464.481483530517,-0.10000000000000002,6228,158
20% DD stop,0.2,0.322808232733796,0.2442613233118285,2.9655447914810527,100.0,436558.96269565704,-0.19727244366078603,3316,502
30% DD stop,0.3,0.44191476159452514,0.29964115850938694,3.3618580441380876,100.0,5796556.902066557,-0.28300444889335313,1632,680
40% DD stop,0.4,0.4889715899237026,0.32494049703822453,3.6318158089102766,100.0,15188592.45768788,-0.3404510022589775,383,810
